"S1516-84842015000200120-scl","Hemoglobin D-Punjab: origin, distribution and laboratory diagnosis","Torres, Lidiane de Souza, Okumura, Jéssika Viviani, Silva, Danilo Grünig Humberto da, Bonini-Domingos, Claudia Regina","Revista Brasileira de Hematologia e Hemoterapia; 37(2); 120-126","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842015000200120&lang=pt" 
"S1516-84842015000200132-scl","Hairy cell leukemia variant: the importance of differential diagnosis","Rudolf-Oliveira, Renata Cristina Messores, Pirolli, Mayara Marin, Souza, Fernanda Santos de, Michels, Juliana, Santos-Silva, Maria Cláudia","Revista Brasileira de Hematologia e Hemoterapia; 37(2); 132-135","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842015000200132&lang=pt" 
"S1516-84842015000200130-scl","Endemic transmission of HTLV-2 in blood donors from São Luís do Maranhão, northeastern Brazil: report of two asymptomatic individuals","Viana, Graça Maria de Castro, Silva, Marcos Antonio Custódio Neto da, Souza, Victor Lima, Lopes, Natália Barbosa da Silva, Nascimento, Maria do Desterro Soares Brandão","Revista Brasileira de Hematologia e Hemoterapia; 37(2); 130-131","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842015000200130&lang=pt" 
"S1516-84842015000200103-scl","Investigating alpha-globin structural variants: a retrospective review of 135,000 Brazilian individuals","Kimura, Elza Miyuki, Oliveira, Denise Madureira, Jorge, Susan Elisabeth, Ribeiro, Daniela Maria, Zaccariotto, Tânia Regina, Santos, Magnun Nueldo Nunes, Almeida, Vanessa, Albuquerque, Dulcinéia Martins, Costa, Fernando Ferreira, Sonati, Maria de Fátima","Revista Brasileira de Hematologia e Hemoterapia; 37(2); 103-108","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842015000200103&lang=pt" 
"S1516-84842015000200071-scl","Metaphase cytogenetics and single nucleotide polymorphism arrays in myeloid malignancies","Silva, Fernanda Borges da, Traina, Fabiola","Revista Brasileira de Hematologia e Hemoterapia; 37(2); 71-72","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842015000200071&lang=pt" 
"S1807-25772015000200074-scl","Edentulismo, uso de prótese e autopercepção de saúde bucal entre idosos","Agostinho, Ana Cláudia Maciel Gava, Campos, Mara Lúcia, Silveira, João Luiz Gurgel Calvet da","Revista de Odontologia da UNESP; 44(2); 74-79","Revista de Odontologia da UNESP","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-25772015000200074&lang=pt" 
"S1727-81202015000100011-cub","Ciencia, tecnología y sociedad: reflexiones sobre el tratamiento antimicrobiano secuencial en la apendicitis aguda complicada","Bueno Rodríguez, José Carlos","Humanidades Médicas; 15(1); 185-195","Humanidades Médicas","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1727-81202015000100011&lang=pt" 
"S1807-25772015000200113-scl","Development of caries adjacent to composite restorations after exposure to dentifrices with different fluoride concentrations","Romão, Dayse Andrade, Oliveira, Guilherme José Pimentel Lopes de, Reis, José Ivo Limeira dos, Santos, Lucineide de Melo","Revista de Odontologia da UNESP; 44(2); 113-117","Revista de Odontologia da UNESP","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-25772015000200113&lang=pt" 
"S1807-25772015000200067-scl","Análise da resistência à fratura entre pilares retos e angulados do sistema cone Morse","Santos, Vanessa Tavares de Gois, Trento, Cleverson Luciano, Santos, Pricila Rejane Silva, Siqueira, Allancardi dos Santos, Santos, Silvando Vieira dos, Griza, Sandro","Revista de Odontologia da UNESP; 44(2); 67-73","Revista de Odontologia da UNESP","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-25772015000200067&lang=pt" 
"S1807-25772015000200092-scl","Análise de hábitos nocivos à saúde entre pacientes com lesões bucais","Souza, João Gabriel Silva, Soares, Luiza Anjos, Sá, Maria Aparecida Barbosa de, Moreira, Geane","Revista de Odontologia da UNESP; 44(2); 92-98","Revista de Odontologia da UNESP","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-25772015000200092&lang=pt" 
