"S1516-84842010000500012-scl","A comparative analysis of the suitability of different peripheral blood samples for reverse transcriptase polymerase chain reaction","Melo, Adriene Siqueira de, Lorena, Virginia Maria Barros de, Braz, Suellen Carvalho de Moura, Gomes, Yara de Miranda","Revista Brasileira de Hematologia e Hemoterapia; 32(5); 391-394","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000500012&lang=pt" 
"S1516-84842010000500018-scl","Síndrome de Chanarin-Dorfman","Garcia, Sheila de Oliveira, Deolindo, Aline de Lima, Pereira, Juliana","Revista Brasileira de Hematologia e Hemoterapia; 32(5); 424-424","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000500018&lang=pt" 
"S1516-84842010000500019-scl","Caracterização molecular e laboratorial da talassemia beta e da interação hemoglobina S/talassemia beta","Silveira, Zama Messala Luna da","Revista Brasileira de Hematologia e Hemoterapia; 32(5); 425-426","Revista Brasileira de Hematologia e Hemoterapia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000500019&lang=pt" 
"S1516-84842010000600003-scl","Análise de ácidos graxos em plasma humano","Visentainer, Jeane Eliete Laguila","Revista Brasileira de Hematologia e Hemoterapia; 32(6); 431-432","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000600003&lang=pt" 
"S1516-84842010000600006-scl","Evaluation of lipid extraction and fatty acid composition of human plasma","Morais, Damila Rodrigues de, Visentainer, Jeane Eliete Laguila, Santos, Leandra Pereira dos, Matsushita, Makoto, Souza, Nilson Evelázio de, Visentainer, Jesuí Vergílio","Revista Brasileira de Hematologia e Hemoterapia; 32(6); 439-443","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000600006&lang=pt" 
"S1516-84842010000500010-scl","Morbimortalidade em doença falciforme","Martins, Paulo Roberto Juliano, Moraes-Souza, Hélio, Silveira, Talita Braga","Revista Brasileira de Hematologia e Hemoterapia; 32(5); 378-383","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000500010&lang=pt" 
"S1516-84842010000600002-scl","Icterícia neonatal e deficiência de glicose-6-fosfato desidrogenase","Leite, Amauri Antiquera","Revista Brasileira de Hematologia e Hemoterapia; 32(6); 430-431","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000600002&lang=pt" 
"S1516-84842010000600004-scl","Palidez como dado semiológico de avaliação de anemias","Stracieri, Ana Beatriz","Revista Brasileira de Hematologia e Hemoterapia; 32(6); 433-433","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000600004&lang=pt" 
"S1516-84842010000600014-scl","Síntese e avaliação farmacológica de protótipos candidatos a fármacos para o tratamento dos sintomas da anemia falciforme","Santos, Jean Leandro dos","Revista Brasileira de Hematologia e Hemoterapia; 32(6); 489-490","Revista Brasileira de Hematologia e Hemoterapia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000600014&lang=pt" 
"S1516-84842010000600020-scl","Atividade peroxidásica em basófilos de Phrynops geoffroanus (Testudines Chelidae)","Silva, Maria Isabel Afonso da, Oliveira, Maria Tercilia Vilela de Azeredo, Bonini-Domingos, Claudia Regina","Revista Brasileira de Hematologia e Hemoterapia; 32(6); 500-500","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000600020&lang=pt" 
"S1516-84842010000600005-scl","Erythrocyte glucose-6-phosphate dehydrogenase deficiency in male newborn babies and its relationship with neonatal jaundice","Iglessias, Marli Auxiliadora C., Santos, Rosa Maria V., Amorim, Maria do Socorro T., Silva, Rosângela T., Moreira, Susiane S., Barretto, Orlando C. O., Medeiros, Tereza Maria D.","Revista Brasileira de Hematologia e Hemoterapia; 32(6); 434-438","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000600005&lang=pt" 
"S1516-84842010000400006-scl","Linfoma de Hodgkin na infância e adolescência: 15 anos de experiência com o protocolo DH-II-90","Souza, Luciana N. S., Maluf Junior, Paulo T., Almeida, Maria Tereza A., Weltman, Eduardo, Cornacchioni, Ana Lucia, Teixeira, Roberto Augusto P., Odone Filho, Vicente, Cristofani, Lilian Maria","Revista Brasileira de Hematologia e Hemoterapia; 32(4); 295-302","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000400006&lang=pt" 
"S1516-84842010000400010-scl","Perspectivas da terapia com células-tronco para o diabetes mellitus tipo 2","Leal, Angela M. O., Voltarelli, Júlio César","Revista Brasileira de Hematologia e Hemoterapia; 32(4); 329-334","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000400010&lang=pt" 
"S1516-84842010000400008-scl","Neoplasias mieloproliferativas: revisão dos critérios diagnósticos e dos aspectos clínicos","Chauffaille, Maria de Lourdes L. F.","Revista Brasileira de Hematologia e Hemoterapia; 32(4); 308-316","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000400008&lang=pt" 
"S1516-84842010000400009-scl","Bancos de sangue de cordão umbilical e placentário para uso familiar, de caráter privado, no Brasil: subsídios técnicos, legais e éticos para uma análise de implementação","Mendes-Takao, Marilia R., Diaz-Bermúdez, Ximena P., Deffune, Elenice, De Santis, Gil C.","Revista Brasileira de Hematologia e Hemoterapia; 32(4); 317-328","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000400009&lang=pt" 
"S1516-84842010000500009-scl","Fatores preditivos da transfusão de concentrado de hemácias em pacientes submetidos a cirurgias eletivas do aparelho digestivo: uma análise interinstitucional","Jorge, Antonio Sergio Barcala, Silva, Marco Aurélio Severo da, Pereira Júnior, Jason Costa, Silva, Camila Xavier e, Silva, Leonel Ribeiro, Gomes, Marcos Sílvio, Bonan, Paulo Rogério Ferreti","Revista Brasileira de Hematologia e Hemoterapia; 32(5); 371-377","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000500009&lang=pt" 
"S1516-84842010000500006-scl","Transplante de células-tronco hematopoéticas em crianças e adolescentes com leucemia aguda: experiência de duas instituições Brasileiras","Morando, Juliane, Mauad, Marcos Augusto, Fortier, Sérgio Costa, Piazera, Flavia Zattar, Souza, Mair Pedro de, Oliveira, Claudia, Machado, Clarisse, Matos, Ederson, Azevedo, Wellington Moraes, Ribeiro, Lisandro Lima, Nunes, Elenaide Coutinho, Bitencourt, Marco Antonio, Setúbal, Daniela Cariranha, Funke, Vaneuza Moreira, Oliveira, Michel Michels de, Medeiros, Larissa Alessandra, Nabhan, Samir Kanaan, Loth, Gisele, Sola, Caroline Bonamim Santos, Koliski, Adriana, Pasquini, Ricardo, Zanis Neto, José, Colturato, Vergilio Antonio Rensi, Bonfim, Carmem Maria Sales","Revista Brasileira de Hematologia e Hemoterapia; 32(5); 350-357","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000500006&lang=pt" 
"S1516-84842010000500011-scl","Doadores de sangue de primeira vez e comportamento de retorno no hemocentro público do Recife","Araújo, Fábia Michelle Rodrigues de, Feliciano, Katia Virginia de Oliveira, Mendes, Marina Ferreira de Medeiros, Figueiroa, José Natal","Revista Brasileira de Hematologia e Hemoterapia; 32(5); 384-390","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000500011&lang=pt" 
"S1516-84842010000500007-scl","Impacto da DECH crônica na qualidade de vida pós-TCTH alogênico","Mastropietro, Ana Paula, Oliveira-Cardoso, Érika Arantes de, Simões, Belinda Pinto, Voltarelli, Júlio César, Santos, Manoel Antônio dos","Revista Brasileira de Hematologia e Hemoterapia; 32(5); 358-364","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000500007&lang=pt" 
"S1516-84842010000500014-scl","Triagem para o tratamento ambulatorial da neutropenia febril","Bellesso, Marcelo, Costa, Silvia Figueiredo, Chamone, Dalton Alencar Fischer, Llacer, Pedro Enrique Dorlhiac","Revista Brasileira de Hematologia e Hemoterapia; 32(5); 402-408","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000500014&lang=pt" 
"S1516-84842010000500015-scl","Risk stratification for indolent lymphomas","Hallack Neto, Abrahão Elias, Costa, Renata Oliveira, Atalla, Angelo, Dulley, Frederico Luiz, Chamone, Dalton Alencar Fischer, Pereira, Juliana","Revista Brasileira de Hematologia e Hemoterapia; 32(5); 409-415","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000500015&lang=pt" 
"S1516-84842010000600007-scl","Avaliação semiológica da palidez: concordância entre observadores e comparação com níveis séricos de hemoglobina","Silva, Rosemeri Maurici da, Machado, Carlos Alexandre","Revista Brasileira de Hematologia e Hemoterapia; 32(6); 444-448","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000600007&lang=pt" 
"S1516-84842010000600008-scl","Avaliação da qualidade de vida em portadores de doença falciforme do Hospital das Clínicas de Goiás, Brasil","Roberti, Maria do Rosário Ferraz, Moreira, Camila Lorena Nunes Seabra de Oliveira, Tavares, Renato Sampaio, Borges Filho, Handel Meireles, Silva, Adriel Gracco da, Maia, Cláudio Humberto Gonçalves, Lima, Flávio Leão, Teixeira, Douglas Fagundes, Reciputti, Bruno Pereira, Silva Filho, Cláudio Rodrigues da, Sado Filho, Joji, Santos, Danilo Borges dos, Lemos, Isadora Pimentel","Revista Brasileira de Hematologia e Hemoterapia; 32(6); 449-454","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000600008&lang=pt" 
"S1516-84842010000600009-scl","Physical and operational infrastructure of transfusion services of the public blood bank network in the State of Minas Gerais, Brazil, 2007/2008","Brener, Stela, Carvalho, Ricardo Vilas Freire de, Ferreira, Ângela Melgaço, Silva, Márcia Maria Ferreira, Valle, Marcele Cunha Ribeiro de, Moraes-Souza, Helio","Revista Brasileira de Hematologia e Hemoterapia; 32(6); 455-462","Revista Brasileira de Hematologia e Hemoterapia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000600009&lang=pt" 
"S1516-84842010000600010-scl","Estudo comparativo entre agregação plaquetária por turbidimetria e impedância elétrica em pacientes sob terapia antiplaquetária à base de ácido acetilsalicílico","Silva, Leonardo Lorenzo da, D&#039;Amico, Elbio Antonio","Revista Brasileira de Hematologia e Hemoterapia; 32(6); 463-468","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000600010&lang=pt" 
"S1516-84842010000600012-scl","Importância da detecção das mutações no gene FLT3 e no gene NPM1 na leucemia mieloide aguda - Classificação da Organização Mundial de Saúde 2008","Licínio, Marley Aparecida, Silva, Maria Cláudia Santos da","Revista Brasileira de Hematologia e Hemoterapia; 32(6); 476-481","Revista Brasileira de Hematologia e Hemoterapia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-84842010000600012&lang=pt" 
