"S0256-95742012000800021-sza","Foreign advertisements for doctors in the SAMJ 2006 - 2010","Dambisya, Yoswa M, Mamabolo, Malema H","SAMJ: South African Medical Journal; 102(8); 669-672","SAMJ: South African Medical Journal","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742012000800021&lang=pt" 
"S0256-95742012000800022-sza","Osteosarcoma presentation stages at a tumour unit in South Africa","Ferreira, N, Marais, L C","SAMJ: South African Medical Journal; 102(8); 673-676","SAMJ: South African Medical Journal","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742012000800022&lang=pt" 
"S0256-95742012000800023-sza","Plasma sarcosine does not distinguish early and advanced stages of prostate cancer","Bohm, L, Serafin, A M, Fernandez, P, Van der Watt, G, Bouic, P J D, Harvey, J","SAMJ: South African Medical Journal; 102(8); 677-679","SAMJ: South African Medical Journal","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742012000800023&lang=pt" 
"S0256-95742012000800024-sza","Profile of cause of death assigned to adults on antiretroviral therapy in Soweto","Karstaedt, A S","SAMJ: South African Medical Journal; 102(8); 680-682","SAMJ: South African Medical Journal","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742012000800024&lang=pt" 
"S0256-95742012000800025-sza","Inherited polyglutamine spinocerebellar ataxias in South Africa","Smith, D C, Bryer, A, Watson, L M, Greenberg, L J","SAMJ: South African Medical Journal; 102(8); 683-686","SAMJ: South African Medical Journal","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742012000800025&lang=pt" 
"S0256-95742012000800026-sza","Traditional eye medication and pterygium occurrence in Limpopo Province","Anguria, P, Ntuli, S, Interewicz, B, Carmichael, T","SAMJ: South African Medical Journal; 102(8); 687-690","SAMJ: South African Medical Journal","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742012000800026&lang=pt" 
"S0256-95742012000800027-sza","Do South African universities provide the required training platforms for otolaryngology specialist training?","Peer, Shazia, Fagan, Johannes","SAMJ: South African Medical Journal; 102(8); 691-692","SAMJ: South African Medical Journal","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742012000800027&lang=pt" 
"S0256-95742012000800028-sza","Allergic rhinitis in South Africa, 2012 guidelines: On Behalf of the South African Allergic Rhinitis Working Group (SAARWG)","Green, R J, Hockman, M, Friedman, R, Vardas, E, Cole, P, Halkas, A, Feldman, C","SAMJ: South African Medical Journal; 102(8); 693-696","SAMJ: South African Medical Journal","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742012000800028&lang=pt" 
"S0256-95742012000800029-sza","South African guidelines for the management of Gaucher disease, 2011","Bhengu, Louisa, Davidson, Alan, du Toit, Paul, Gerntholtz, Trevor, Govendrageloo, Kenny, Heitner, Rene, Henderson, Bertram, Mubaiwa, Lawrence, Varughese, Sheeba","SAMJ: South African Medical Journal; 102(8); 697-702","SAMJ: South African Medical Journal","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742012000800029&lang=pt" 
"S0256-95742012000800030-sza","","","SAMJ: South African Medical Journal; 102(8); 703-714","SAMJ: South African Medical Journal","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-95742012000800030&lang=pt" 
"S0101-31732012000200005-scl","O capital portador de juros em O Capital ou o sistema de Marx","Müller, Leonardo André Paes, Paulani, Leda Maria","Trans/Form/Ação; 35(2); 69-91","Trans/Form/Ação","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31732012000200005&lang=pt" 
"S0101-31732012000200006-scl","Heidegger and Blumenberg on modernity","Negru, Teodor","Trans/Form/Ação; 35(2); 93-119","Trans/Form/Ação","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31732012000200006&lang=pt" 
"S0101-31732012000200007-scl","Filosofía y ciencia a partir del pensamiento temprano de Heidegger","Johnson, Edmundo Felipe","Trans/Form/Ação; 35(2); 121-141","Trans/Form/Ação","Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31732012000200007&lang=pt" 
"S0101-31732012000200008-scl","Uma &quot;possibilidade impossível de dizer&quot;: o acontecimento em filosofia e em literatura, segundo Jacques Derrida","Fontes Filho, Osvaldo","Trans/Form/Ação; 35(2); 143-161","Trans/Form/Ação","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31732012000200008&lang=pt" 
"S0101-31732012000200009-scl","Os bens sociais são sempre bens convergentes?","Helfer, Inácio","Trans/Form/Ação; 35(2); 163-185","Trans/Form/Ação","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31732012000200009&lang=pt" 
