"S0100-46702005000300009-scl","Estudo do comportamento térmico dos compostos de Ag+ e Pb2+ com o ligante 1,4-bis(3-carbóxi-3-oxo-prop-1-enil)benzeno","Oliveira, J. D. S. de, Barilli, D. J., Hamer, M., Siqueira, O. S., Ionashiro, M.","Eclética Química; 30(3); 73-77","Eclética Química","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-46702005000300009&lang=pt" 
"S0100-46702005000300003-scl","Spectrophotometric determination of methyldopa in pharmaceutical formulations","Ribeiro, P. R. S., Pezza, L., Pezza, H. R.","Eclética Química; 30(3); 23-28","Eclética Química","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-46702005000300003&lang=pt" 
"S0100-46702005000300005-scl","Comparative analysis of the trypanocidal activity and chemical properties of E-lychnophoric acid and its derivatives using theoretical calculations","Alcântara, A. F. C., Silveira, D., Chiari, E., Oliveira, A. B., Guimarães, J. E., Raslan, D. S.","Eclética Química; 30(3); 37-45","Eclética Química","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-46702005000300005&lang=pt" 
"S0100-46702005000300006-scl","Determination of Hg in water by CVAAS using 2-aminothiazole modified silica","Silva, F. A., Alcântara, I. L. de, Roldan, P. S., Padilha, C. C. F., Araújo, A. B. de, Valente, J. P. S., Florentino, A. O., Padilha, P. M.","Eclética Química; 30(3); 47-55","Eclética Química","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-46702005000300006&lang=pt" 
"S0100-46702005000300008-scl","Spectrophotometric study of iron oxidation in the iron(II)/thiocyanate/acetone system and some analytical applications","Martins, F. G., Andrade, J. F., Pimenta, A. C., Lourenço, L. M., Castro, J. R. M., Balbo, V. R.","Eclética Química; 30(3); 63-71","Eclética Química","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-46702005000300008&lang=pt" 
"S1519-38292005000300001-scl","Estudos epidemiológicos e seus impactos na saúde da criança: international study of asthma and allergies in childhood (ISAAC)","Solé, Dirceu","Revista Brasileira de Saúde Materno Infantil; 5(3); 261-262","Revista Brasileira de Saúde Materno Infantil","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292005000300001&lang=pt" 
"S1519-38292005000300002-scl","Avaliação de campanhas de saúde com ênfase na sífilis congênita: uma revisão sistemática","Saraceni, Valéria, Leal, Maria do Carmo, Hartz, Zulmira Maria de Araújo","Revista Brasileira de Saúde Materno Infantil; 5(3); 263-273","Revista Brasileira de Saúde Materno Infantil","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292005000300002&lang=pt" 
"S1519-38292005000300005-scl","Peso ao nascer de recém-nascidos de mães adolescentes comparados com o de puérperas adultas jovens","Kassar, Samir B., Gurgel, Ricardo Q., Albuquerque, Maria de Fátima M. de, Barbieri, Marco A., Lima, Marilia de C.","Revista Brasileira de Saúde Materno Infantil; 5(3); 293-299","Revista Brasileira de Saúde Materno Infantil","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292005000300005&lang=pt" 
"S1519-38292005000300007-scl","The impact of laser therapy on fetal growth discordance in twin-to-twin transfusion syndrome","Sa, Renato A. Moreira de, Laurent, Salomon J., Takahashi, Yuichiro, Yamamoto, Masami, Ville, Yves","Revista Brasileira de Saúde Materno Infantil; 5(3); 313-317","Revista Brasileira de Saúde Materno Infantil","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292005000300007&lang=pt" 
"S1519-38292005000300004-scl","Alimentação de crianças no primeiro semestre de vida: enfoque no aleitamento materno exclusivo","Santos, Vera Lúcia Fugita dos, Soler, Zaida Aurora Sperli Geraldes, Azoubel, Reinaldo","Revista Brasileira de Saúde Materno Infantil; 5(3); 283-291","Revista Brasileira de Saúde Materno Infantil","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-38292005000300004&lang=pt" 
