"S1870-11912010000200004-mex","Imaginando la Cuenca del Río Tijuana","Conway, Frederick James","Culturales; 6(12); 75-96","Culturales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-11912010000200004&lang=pt" 
"S1870-11912010000200005-mex","To be or not to be colonial: Museums facing their exhibitions","Sauvage, Alexandra","Culturales; 6(12); 97-116","Culturales","Inglês","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-11912010000200005&lang=pt" 
"S1870-11912010000200006-mex","La configuración de culturas juveniles en comunidades rurales indígenas de la Sierra Norte de Puebla","Ávalos Aguilar, Spencer R., Ramírez Valverde, Benito, Ramírez Juárez, Javier, Escobedo Castillo, Juan Fco., Gómez Carpinteiro, Francisco J.","Culturales; 6(12); 117-146","Culturales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-11912010000200006&lang=pt" 
"S1870-11912010000200007-mex","El método de acomodación jesuita y la evangelización de las órdenes mendicantes en China Imperial","Rocha Pino, Manuel","Culturales; 6(12); 147-180","Culturales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-11912010000200007&lang=pt" 
"S1870-11912010000200008-mex","La Conquista de América: El problema del otro","Garduño, Everardo","Culturales; 6(12); 181-197","Culturales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-11912010000200008&lang=pt" 
"S1870-11912010000200009-mex","","Meckel-Parker, Kristen G.","Culturales; 6(12); 198-203","Culturales","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-11912010000200009&lang=pt" 
"S0004-06492010000400009-ven","Tratamiento Antimicrobiano","Martín Peña, Amando, Aurenty, Lisbeth, Troncone Azocar, Ángela, Franco Soto, José Vicente","Archivos Venezolanos de Puericultura y Pediatría; 73(4); 045-051","Archivos Venezolanos de Puericultura y Pediatría","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0004-06492010000400009&lang=pt" 
"S0004-06492010000400008-ven","DIAGNÓSTICO","Herrera, Marianella, Rojas, Ana Lizette, de Izaguirre de Arellano, Jacqueline, Casanova de Escalona, Laddy","Archivos Venezolanos de Puericultura y Pediatría; 73(4); 037-044","Archivos Venezolanos de Puericultura y Pediatría","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0004-06492010000400008&lang=pt" 
"S0004-06492010000400001-ven","Situación actual de la ciencia, la tecnología y la innovación (CTI) en Venezuela","De la Vega, Iván","Archivos Venezolanos de Puericultura y Pediatría; 73(4); 001-002","Archivos Venezolanos de Puericultura y Pediatría","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0004-06492010000400001&lang=pt" 
"S0004-06492010000400003-ven","Marcadores de inflamación y disfunción endotelial en niños con infección bacteriana","Garcés, Mª Fátima, Rivas, Adriana, Paiva, Carolina, Sifontes, Sonia, Stekman, Hilda, Villasmil, Josefa, Gerardi, Andrés","Archivos Venezolanos de Puericultura y Pediatría; 73(4); 008-014","Archivos Venezolanos de Puericultura y Pediatría","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0004-06492010000400003&lang=pt" 
"S0004-06492010000400002-ven","Validación de dos escalas de valor pronóstico en niños que ingresan a UCI","Fernández, Rosalía, Macuarisma Lezama, Pedro","Archivos Venezolanos de Puericultura y Pediatría; 73(4); 003-007","Archivos Venezolanos de Puericultura y Pediatría","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0004-06492010000400002&lang=pt" 
