"S1806-00132016000200106-scl","Prevalência de dor em servidores públicos: associação com comportamento sedentário e atividade física de lazer","Toscano, José Jean de Oliveira, Zefferino, Anna Cecilya Gomes, Felix, Jamerson Bruno Cordeiro, Cabral Júnior, Cyro Rego, Silva, Diego Augusto Santos","Revista Dor; 17(2); 106-110","Revista Dor","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-00132016000200106&lang=pt" 
"S0718-10432016000100007-chl","MINERÍA INDUSTRIAL Y ESTRUCTURAS AGRARIAS &quot;LOCALES&quot; EN EL DESIERTO DE ATACAMA: GENEALOGÍA DE UNA CRISIS AGRÍCOLA (QUILLAGUA, S. XIX-XXI)","Carmona Y, Javier","Estudios atacameños; (52); 91-112","Estudios atacameños","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-10432016000100007&lang=pt" 
"S0718-10432016000100004-chl","LA LEY ES UNA MONEDA EN EL DESIERTO¹: AGENTES ESTATALES, EMPRESARIOS MINEROS Y CONFLICTOS DE INTERESES EN LA PERIFERIA DEL ESTADO NACIONAL CHILENO: TALTAL, 1850-1900","Godoy Orellana, Milton","Estudios atacameños; (52); 31-48","Estudios atacameños","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-10432016000100004&lang=pt" 
"S0718-10432016000100003-chl","EL NORTE GRANDE DURANTE EL CICLO DEL SALITRE: LA POLÍTICA SALITRERA Y LA POLÍTICA EXTERIOR EN LA FORMACIÓN DE UN ESPACIO TRANSFRONTERIZO (BOLIVIA Y CHILE, 1880-1929)","González Miranda, Sergio, Leiva Gómez, Sandra","Estudios atacameños; (52); 11-29","Estudios atacameños","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-10432016000100003&lang=pt" 
"S0718-10432016000100008-chl","MINERÍA Y RELACIONES INTERÉTNICAS EN ATACAMA","Morales, Héctor, Azocar, Rodrigo","Estudios atacameños; (52); 113-127","Estudios atacameños","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-10432016000100008&lang=pt" 
"S0718-10432016000100005-chl","EL REVERSO DEL BIENESTAR. LA CREACIÓN DEL DEPARTAMENTO DE BIENESTAR SOCIAL Y EL REFORZAMIENTO DEL CONTROL SOCIAL EN EL NORTE GRANDE A PRINCIPIOS DE LOS AÑOS 20","Artaza Barrios, Pablo","Estudios atacameños; (52); 49-68","Estudios atacameños","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-10432016000100005&lang=pt" 
"S0718-10432016000100009-chl","MINERÍA, DESCAMPESINIZACIÓN Y DESOCUPACIÓN: TRAYECTORIAS DE MOVILIDAD DE CUATRO MINEROS DE EL AGUILAR ( JUJUY, ARGENTINA, DÉCADA DE 1940 a 2010)","Parodi, María, Benedetti, Alejandro","Estudios atacameños; (52); 129-152","Estudios atacameños","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-10432016000100009&lang=pt" 
"S0718-10432016000100011-chl","EL CAMIÓN EN LA PUNA DE ATACAMA (1930-1980): MECÁNICA, ESPACIO Y SABERES EN TORNO A UN OBJETO TÉCNICO LIMINAL","Richard, Nicolás, Moraga, Jorge, Saavedra, Adrián","Estudios atacameños; (52); 177-199","Estudios atacameños","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-10432016000100011&lang=pt" 
"S0718-10432016000100002-chl","OBITUARIO: TEODORO HAMPE MARTÍNEZ (1960-2016): LAS BIBLIOTECAS VIRREINALES, LA REBELIÓN DEL CUSCO Y EL PERÚ REPUBLICANO","González Díaz, Soledad, Morong Reyes, Germán, Ibarra Cifuentes, Patricio","Estudios atacameños; (52); 5-10","Estudios atacameños","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-10432016000100002&lang=pt" 
"S0718-09502016000100016-chl","Prueba, verdad y justicia de transición: El caso de Cecilia Magni y Raúl Pellegrin (Corte Suprema)","Accatino Scagliotti, Daniela","Revista de derecho (Valdivia); 29(1); 337-361","Revista de derecho (Valdivia)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-09502016000100016&lang=pt" 
"S0718-09502016000100018-chl","Manuel Barría Paredes, Asignaciones forzosas y libertad de testar","Turner Saelzer, Susan","Revista de derecho (Valdivia); 29(1); 368-369","Revista de derecho (Valdivia)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-09502016000100018&lang=pt" 
"S0101-32892016000200105-scl","Foco e escopo: o que é um artigo em educação física?","Vaz, Alexandre Fernandez, Almeida, Felipe Quintão de, Bassani, Jaison José","Revista Brasileira de Ciências do Esporte; 38(2); 105-106","Revista Brasileira de Ciências do Esporte","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-32892016000200105&lang=pt" 
"S1806-00132016000200075-scl","Reflexões sobre medicina pseudo-científica","Correia, Luis C. L.","Revista Dor; 17(2); 75-75","Revista Dor","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-00132016000200075&lang=pt" 
"S0718-09502016000100017-chl","Rafael Calvez Bravo. Los modus operandi en las operaciones de blanqueo de capitales. Técnicas clásicas","Toso Milos, Angela","Revista de derecho (Valdivia); 29(1); 365-368","Revista de derecho (Valdivia)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-09502016000100017&lang=pt" 
"S0718-10432016000100001-chl","EDITORIAL","González, Sergio, Richard, Nicolás, Figueroa, Valentina, Godoy Orellana, Milton","Estudios atacameños; (52); 3-4","Estudios atacameños","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-10432016000100001&lang=pt" 
"S0718-09502016000100015-chl","Responsabilidad patrimonial del Estado por funcionamiento anormal de la Administración de Justicia (Corte Suprema)","Soto Delgado, Pablo","Revista de derecho (Valdivia); 29(1); 331-335","Revista de derecho (Valdivia)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-09502016000100015&lang=pt" 
"S1415-47142016000200242-scl","Sobre a melancolização do exílio","Indursky, Alexei Conte, Oliveira, Luiz Eduardo Prado de","Revista Latinoamericana de Psicopatologia Fundamental; 19(2); 242-258","Revista Latinoamericana de Psicopatologia Fundamental","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142016000200242&lang=pt" 
"S1415-47142016000200287-scl","Suicídio e melancolia: seguindo as trilhas das primeiras elaborações psicanalíticas","Massa, Elisa de Santa Cecília, França, Cassandra Pereira","Revista Latinoamericana de Psicopatologia Fundamental; 19(2); 287-302","Revista Latinoamericana de Psicopatologia Fundamental","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142016000200287&lang=pt" 
"S1415-47142016000200225-scl","Os pais da psicanálise com crianças","Gueller, Adela Stoppel de","Revista Latinoamericana de Psicopatologia Fundamental; 19(2); 225-241","Revista Latinoamericana de Psicopatologia Fundamental","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142016000200225&lang=pt" 
"S1679-45082016000200022-scl","Immunophenotypic evolution of blast populations in pediatric acute myeloid leukemia","Pereira, Welbert Oliveira, Correia, Rodolfo Patussi, Hamerschlak, Nelson, Bacal, Nydia Strachman, Campregher, Paulo Vidal","Einstein (São Paulo); 14(2); 288-289","Einstein (São Paulo)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082016000200022&lang=pt" 
"S1679-45082016000200004-scl","Endovascular revascularization of TASC C and D femoropopliteal occlusive disease using carbon dioxide as contrast","Mendes, Cynthia de Almeida, Teivelis, Marcelo Passos, Kuzniec, Sergio, Fukuda, Juliana Maria, Wolosker, Nelson","Einstein (São Paulo); 14(2); 124-129","Einstein (São Paulo)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082016000200004&lang=pt" 
"S1679-45082016000200024-scl","The advances and new technologies for the study of mitochondrial diseases","Bianco, Bianca, Montagna, Erik","Einstein (São Paulo); 14(2); 291-293","Einstein (São Paulo)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082016000200024&lang=pt" 
"S1679-45082016000200003-scl","Correlation of Thyroid Imaging Reporting and Data System [TI-RADS] and fine needle aspiration: experience in 1,000 nodules","Rahal Junior, Antonio, Falsarella, Priscila Mina, Rocha, Rafael Dahmer, Lima, João Paulo Bacellar Costa, Iani, Matheus Jorge, Vieira, Fábio Augusto Cardillo, Queiroz, Marcos Roberto Gomes de, Hidal, Jairo Tabacow, Francisco Neto, Miguel José, Garcia, Rodrigo Gobbo, Funari, Marcelo Buarque de Gusmão","Einstein (São Paulo); 14(2); 119-123","Einstein (São Paulo)","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1679-45082016000200003&lang=pt" 
"S1130-01082016000600002-esp","Flexible endoscopic treatment of Zenker&#039;s diverticulum: thirteen years&#039; experience in Spain","Morena-Madrigal, Emilio J. de-la, Pérez-Arellano, Elena, Rodríguez-García, Isabel","Revista Española de Enfermedades Digestivas; 108(6); 297-303","Revista Española de Enfermedades Digestivas","Inglês","2016","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082016000600002&lang=pt" 
