"S1816-79502014000200010-sza","The development of GIS-PMWIN and its application for mine-water modelling in the Far West Rand, South Africa","Lin, Haili, Lin, Lixiang","Water SA; 40(2); 313-322","Water SA","Inglês","2014","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502014000200010&lang=pt" 
"S1851-82652014000100004-arg","Paradigmas de la salud colectiva: breve reflexión","Nunes, Everardo Duarte","Salud colectiva; 10(1); 57-65","Salud colectiva","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652014000100004&lang=pt" 
"S1851-82652014000100005-arg","Historia reciente: XII Congreso Internacional del Cáncer, Buenos Aires, Argentina, 1978","Spinelli, Hugo","Salud colectiva; 10(1); 67-79","Salud colectiva","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652014000100005&lang=pt" 
"S1851-82652014000100006-arg","La crisis y la salud en España y en Europa: ¿Está aumentando la mortalidad?","Tapia Granados, José A","Salud colectiva; 10(1); 81-91","Salud colectiva","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652014000100006&lang=pt" 
"S1851-82652014000100007-arg","Relación entre crisis económica y salud: ¿lo relevante son las políticas de austeridad?","La Parra, Daniel, Álvarez-Dardet, Carlos","Salud colectiva; 10(1); 92-94","Salud colectiva","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652014000100007&lang=pt" 
"S1851-82652014000100001-arg","Diez años de Salud Colectiva: una aproximación a las reglas de juego del campo editorial científico","Martinovich, Viviana, Arakaki, Jorge, Spinelli, Hugo","Salud colectiva; 10(1); 5-13","Salud colectiva","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652014000100001&lang=pt" 
"S1851-82652014000100002-arg","Las instituciones y sus críticos o la costumbre de polarizar la realidad: el caso de la influenza A (H1N1)","Menéndez, Eduardo L.","Salud colectiva; 10(1); 15-40","Salud colectiva","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652014000100002&lang=pt" 
"S1851-82652014000100003-arg","La reforma de la atención médica de la administración Obama: dificultades para un acuerdo similar en Argentina","Belmartino, Susana","Salud colectiva; 10(1); 41-55","Salud colectiva","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652014000100003&lang=pt" 
"S1851-82652014000100008-arg","El sufrimiento de la población en la crisis económica del Estado español","Borrell, Carme, Rodríguez-Sanz, Maica, Bartoll, Xavier, Malmusi, Davide, Novoa, Ana M","Salud colectiva; 10(1); 95-98","Salud colectiva","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652014000100008&lang=pt" 
"S1851-82652014000100009-arg","Las complejas relaciones entre crisis económica y salud: la mortalidad general disminuye pero el problema no está resuelto","Facchini, Luiz Augusto, Nunes, Bruno Pereira","Salud colectiva; 10(1); 98-101","Salud colectiva","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-82652014000100009&lang=pt" 
