"S1688-42212012000200008-ury","Psicopatología psicoanalítica en la clínica actual","Ameglio, Francisco, Balseiro, Florencia, Bentancur, Mariana","Ciencias Psicológicas; 6(2); 197-198","Ciencias Psicológicas","Espanhol","2012","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212012000200008&lang=pt" 
"S1688-42212012000200009-ury","Manual de Psicoética Ética para psicólogos y psiquiatras","França- Tarragó, Omar","Ciencias Psicológicas; 6(2); 199-200","Ciencias Psicológicas","Espanhol","2012","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212012000200009&lang=pt" 
"S1688-42212012000200001-ury","Editorial","","Ciencias Psicológicas; 6(2); 107-108","Ciencias Psicológicas","Espanhol","2012","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212012000200001&lang=pt" 
"S2305-08532012000200018-sza","Beroep op die skrif in die vorm van etiese standpunte, deel 2: &#039;n Etiese verstaan van die vrou in die Bybel","Rheeder, Adriaan L.","In die Skriflig; 46(2); 1-9","In die Skriflig","Africaner","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2305-08532012000200018&lang=pt" 
"S2305-08532012000200019-sza","Die vier Nicaanse merktekens van die kerk as rigtingwysers in &#039;n ekklesiologiese diskoers","Schalekamp, M.E., de Klerk, B.J.","In die Skriflig; 46(2); 1-9","In die Skriflig","Africaner","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2305-08532012000200019&lang=pt" 
"S1688-42212012000200007-ury","Dyslexia: theoretical basis for an efficient practice","Carillo, Marisol","Ciencias Psicológicas; 6(2); 185-194","Ciencias Psicológicas","Inglês","2012","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212012000200007&lang=pt" 
"S1688-42212012000200010-ury","Actividades 2012 - 2013","","Ciencias Psicológicas; 6(2); 203-204","Ciencias Psicológicas","Espanhol","2012","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212012000200010&lang=pt" 
"S0718-221X2012000300001-chl","Chemical modification of tannin/furanic rigid foams by isocyanates and polyurethanes","Li, X, Basso, M.C, Fierro, V, Pizzi, A, Celzard, A","Maderas. Ciencia y tecnología; 14(3); 257-265","Maderas. Ciencia y tecnología","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-221X2012000300001&lang=pt" 
"S0718-221X2012000300004-chl","Efecto de la tasa de compresión en la morfología de grietas de debobinado para chapas de Eucalyptus nitens","Acevedo, Andrés, Bustos, Cecilia, Lasserre, Jean Pierre, Gacitúa, William","Maderas. Ciencia y tecnología; 14(3); 289-301","Maderas. Ciencia y tecnología","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-221X2012000300004&lang=pt" 
"S0718-221X2012000300005-chl","Análisis del comportamiento reológico y termo-higromecánico en probetas de tableros tensados de madera para puentes a condiciones ambientales variables","Figueroa, Macarena, Bustos, Cecilia, Dechent, Peter, Reyes, Laura, Cloutier, Alain, Giuliano, Mario","Maderas. Ciencia y tecnología; 14(3); 303-319","Maderas. Ciencia y tecnología","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-221X2012000300005&lang=pt" 
"S0718-221X2012000300008-chl","Valorization of Moroccan olive stones by using it in particleboard panels","Elbir, M, Moubarik, A, Rakib, E.M, Grimi, N, Amhoud, A, Miguel, G, Hanine, H, Artaud, J, Vanloot, P, Mbarki, M","Maderas. Ciencia y tecnología; 14(3); 361-371","Maderas. Ciencia y tecnología","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-221X2012000300008&lang=pt" 
"S0718-221X2012000300010-chl","Laboratory experiments on hygrothermal behaviour of real-scale timber walls","Rafidiarison, Helisoa, Mougel, Eric, Nicolas, Alexis","Maderas. Ciencia y tecnología; 14(3); 389-401","Maderas. Ciencia y tecnología","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-221X2012000300010&lang=pt" 
"S0718-221X2012000300003-chl","Madera de compresión en Pinus radiata III: propiedades de pulpas kraft","Diaz-vaz, J.E, Ananias, R. A, Valenzuela, L, Torres, M, Rodriguez, S","Maderas. Ciencia y tecnología; 14(3); 275-287","Maderas. Ciencia y tecnología","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-221X2012000300003&lang=pt" 
"S0718-221X2012000300006-chl","Caracterización nanomecánica de la estructura celular y anatómica de Eucalyptus nitens y su relación con la frecuencia de grietas y rajaduras en madera redonda","Valenzuela C, Paulina, Bustos A, Cecilia, Lasserre, Jean Pierre, Gacitúa E, William","Maderas. Ciencia y tecnología; 14(3); 321-327","Maderas. Ciencia y tecnología","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-221X2012000300006&lang=pt" 
"S0718-221X2012000300007-chl","Determinación de un elemento de volumen representativo de probetas de tablero tensado","Sepúlveda, Daniela, Gacitúa, William, Bustos, Cecilia, Dechent, Peter, Cloutier, Alain","Maderas. Ciencia y tecnología; 14(3); 339-359","Maderas. Ciencia y tecnología","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-221X2012000300007&lang=pt" 
"S0718-221X2012000300002-chl","Relationships between microfibril angle, modulus of elasticity and compressive strength in Eucalyptus wood","Gherardi Hein, Paulo Ricardo, Tarcísio Lima, José","Maderas. Ciencia y tecnología; 14(3); 267-274","Maderas. Ciencia y tecnología","Inglês","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-221X2012000300002&lang=pt" 
"S1688-42212012000200006-ury","EARLY APPEARANCE OF THE CHRONIC PAIN PATTERN IN SUBACUTE MUSCULOSKELETAL PATIENTS","León, Leticia, Redondo, Marta, Pérez-Nieto, Miguel Ángel, Jover, Juan A., Abasolo, Lydia","Ciencias Psicológicas; 6(2); 175-182","Ciencias Psicológicas","Inglês","2012","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212012000200006&lang=pt" 
"S1688-42212012000200005-ury","Relaciones entre esquemas tempranos inadaptados y afectividad positiva y negativa","López Pell, Andrés Fernando, Rondón, Juan Manuel, Alfano, Silvina M., Cellerino, Cecilia","Ciencias Psicológicas; 6(2); 149-173","Ciencias Psicológicas","Espanhol","2012","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212012000200005&lang=pt" 
"S1688-42212012000200002-ury","Entre pobreza y violencia: ¿cómo afectan los estresores diarios y la violencia a adolescentes en zonas de guerra?","Mels, Cindy","Ciencias Psicológicas; 6(2); 111-122","Ciencias Psicológicas","Espanhol","2012","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-42212012000200002&lang=pt" 
"S0104-44782012000400014-scl","Errata","","Revista de Sociologia e Política; 20(44); 213-213","Revista de Sociologia e Política","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782012000400014&lang=pt" 
"S0074-02762012000700023-scl","Erratum","","Memórias do Instituto Oswaldo Cruz; 107(7); 964-964","Memórias do Instituto Oswaldo Cruz","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762012000700023&lang=pt" 
"S0034-77442012000800021-cri","The shallow-water fish assemblage of Isla del Coco National Park, Costa Rica: structure and patterns in an isolated, predator-dominated ecosystem","Friedlander, Alan M., Zgliczynski, Brian J., Ballesteros, Enric, Aburto-Oropeza, Octavio, Bolaños, Allan, Sala, Enric","Revista de Biología Tropical; 60(); 321-338","Revista de Biología Tropical","Inglês","2012","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442012000800021&lang=pt" 
"S0104-44782012000400015-scl","Relatório de pareceristas da Revista de Sociologia e Política em 2012","","Revista de Sociologia e Política; 20(44); 5-10","Revista de Sociologia e Política","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782012000400015&lang=pt" 
"S0185-39292012000500012-mex","Explicación histórica y tiempo social","Jiménez Maree, Rogelio","Relaciones (Zamora); 33(132bis); 313-319","Relaciones (Zamora)","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-39292012000500012&lang=pt" 
"S0185-39292012000500011-mex","Las polémicas de Pedro Gual","Connaughton, Brian","Relaciones (Zamora); 33(132bis); 310-313","Relaciones (Zamora)","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-39292012000500011&lang=pt" 
"S0185-39292012000500010-mex","El negativo de la Revolución: Vida cotidiana","García de León, Antonio","Relaciones (Zamora); 33(132bis); 307-310","Relaciones (Zamora)","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-39292012000500010&lang=pt" 
"S0185-39292012000500007-mex","La contribución directa y las escuelas elementales en el valle de Toluca, 1820-1874","Bustamante Vismara, José","Relaciones (Zamora); 33(132bis); 191-222","Relaciones (Zamora)","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-39292012000500007&lang=pt" 
"S0185-39292012000500003-mex","Los signos glotográficos en el Códice de Huichapan","Wright Carr, David Charles","Relaciones (Zamora); 33(132bis); 33-73","Relaciones (Zamora)","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-39292012000500003&lang=pt" 
"S0185-39292012000500002-mex","La identidad es una sinécdoque: en torno a Rusticatio mexicana de Rafael Landívar","Rodríguez Beltrán, Joaquín","Relaciones (Zamora); 33(132bis); 17-31","Relaciones (Zamora)","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-39292012000500002&lang=pt" 
