"S1516-14392012000300001-scl","Concretes with red mud coarse aggregates","Oliveira, Dênio Ramam Carvalho de, Rossi, Carlos Rodrigo Costa","Materials Research; 15(3); 333-340","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000300001&lang=pt" 
"S1516-14392012000300016-scl","Prediction the effects of ZnO2 nanoparticles on splitting tensile strength and water absorption of high strength concrete","Nazari, Ali, Azimzadegan, Tohid","Materials Research; 15(3); 440-454","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000300016&lang=pt" 
"S1516-14392012000300018-scl","Photo-induced dipole relaxation current in natural Amethyst","Russo, Fabricio Trombini, Scalvi, Rosa Maria Fernandes, Scalvi, Luis Vicente de Andrade, Vismara, Marcus Vinicius Gonçalves","Materials Research; 15(3); 461-466","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000300018&lang=pt" 
"S1516-14392012000300017-scl","Effect of heat treatment on microstructures and mechanical properties in a full lamellar PM TiAl alloy","Su, Meike, Lang, Zebao, Zheng, Lijing, Yan, Jie, Guan, Kai, Zhang, Hu","Materials Research; 15(3); 455-460","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000300017&lang=pt" 
"S1516-14392012000300015-scl","Polyurethane structural adhesives applied in automotive composite joints","Quini, Josue Garcia, Marinucci, Gerson","Materials Research; 15(3); 434-439","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000300015&lang=pt" 
"S1516-14392012000300007-scl","Chemical and topographic analysis of treated surfaces of five different commercial dental titanium implants","Chrcanovic, Bruno Ramos, Pedrosa, Alexsander Ribeiro, Martins, Maximiliano Delany","Materials Research; 15(3); 372-382","Materials Research","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392012000300007&lang=pt" 
"S1413-86702012000300012-scl","Assessing subtypes and drug resistance mutations among HIV-1 infected children who failed antiretroviral therapy in Kelantan, Malaysia","Mohamad, Suharni, Deris, Zakuan Zainy, Yusoff, Nik Khairulddin, Ariffin, Tg Ahmad Akram Tg Mohd, Shueb, Rafidah Hanim","Brazilian Journal of Infectious Diseases; 16(3); 284-288","Brazilian Journal of Infectious Diseases","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-86702012000300012&lang=pt" 
"S0103-20032012000200006-scl","Importância das cooperativas de crédito para fornecedores de cana-de-açúcar: um estudo de caso","Oñate, Carlos Andrés, Lima, Roberto Arruda de Souza","Revista de Economia e Sociologia Rural; 50(2); 301-318","Revista de Economia e Sociologia Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20032012000200006&lang=pt" 
"S0034-75072012000200001-cub","Salud bucal y envejecimiento saludable","Miranda Tarragó, Josefa","Revista Cubana de Estomatología; 49(2); 88-88","Revista Cubana de Estomatología","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75072012000200001&lang=pt" 
"S0034-75072012000200002-cub","Conocimiento y aplicación de la medicina natural y tradicional por profesionales y técnicos de la salud","Guillaume Ramírez, Vivian, Marín Quintero, María Estrella, Morales Jiménez, Emilio, Matos Hinojosa, Naisi","Revista Cubana de Estomatología; 49(2); 89-98","Revista Cubana de Estomatología","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75072012000200002&lang=pt" 
"S0034-75072012000200003-cub","Efeito antifúngico de tinturas de própolis e romã sobre espécies de Candida","Dantas de Almeida, Leopoldina de Fátima, Wanderley Cavalcanti, Yuri, Lira Júnior, Ronaldo, de Oliveira Lima, Edeltrudes, Dias de Castro, Ricardo","Revista Cubana de Estomatología; 49(2); 99-106","Revista Cubana de Estomatología","Português","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75072012000200003&lang=pt" 
"S0034-75072012000200004-cub","Lesiones periapicales agudas en pacientes adultos","Fernández Collazo, María Elena, Vila Morales, Dadonim, Rodríguez Soto, Agustín, Mesa González, Dania Lucrecia, Pérez Clemente, Norma Guadalupe","Revista Cubana de Estomatología; 49(2); 107-116","Revista Cubana de Estomatología","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75072012000200004&lang=pt" 
"S0034-75072012000200006-cub","Evaluación del módulo de elasticidad de materiales estéticos para la restauración de lesiones cervicales","Bonnin, Claudia Estela, Urquia Morales, María del Carmen","Revista Cubana de Estomatología; 49(2); 128-135","Revista Cubana de Estomatología","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75072012000200006&lang=pt" 
"S0034-75072012000200007-cub","Mucoepidermoid carcinoma of the salivary glands in Brazil: clinicopathological outcomes and a brief review","Oliveira, Lucinei Roberto, Figueiredo Soave, Danilo, Oliveira-Costa, João Paulo, Sala Di Matteo, Miguel Angel, Ribeiro-Silva, Alfredo","Revista Cubana de Estomatología; 49(2); 136-145","Revista Cubana de Estomatología","Inglês","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75072012000200007&lang=pt" 
