"S1851-37432013000100005-arg","Citotocixidade e atividade antiparasitária de Lygodium venustum SW","Morais-Braga, Maria Flaviana B, Souza, Teógenes .M, Santos, Karla K.A, Andrade, Jacqueline C, Guedes, Gláucia M.M, Tintino, Saulo R, Souza, Celestina E.S, Costa, José G.M, Saraiva, Antônio A.F, Coutinho, Henrique.D.M","Acta toxicológica argentina; 21(1); 50-56","Acta toxicológica argentina","Português","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-37432013000100005&lang=pt" 
"S1851-37432013000100006-arg","Biodisponibilidad y toxicidad de metales pesados en aguas naturales con características físico-químicas extremas: Bases para su monitoreo y remediación","Casares, María V","Acta toxicológica argentina; 21(1); 57-58","Acta toxicológica argentina","Espanhol","2013","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-37432013000100006&lang=pt" 
"S0103-166X2013000200014-scl","O profissional de saúde mental na reforma psiquiátrica","Simões, Cristiane Helena Dias, Fernandes, Rafael Aiello, Aiello-Vaisberg, Tania Maria José","Estudos de Psicologia (Campinas); 30(2); 275-282","Estudos de Psicologia (Campinas)","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2013000200014&lang=pt" 
"S0103-166X2013000200015-scl","Dispositivos institucionais filantrópicos e socioeducativos de atenção à infância na assistência social","Benelli, Silvio José, Costa-Rosa, Abílio da","Estudos de Psicologia (Campinas); 30(2); 283-301","Estudos de Psicologia (Campinas)","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2013000200015&lang=pt" 
"S1134-80462013000300007-esp","Dolor en niños y adolescentes con enfermedades neuromusculares","López, M., Miró, J.","Revista de la Sociedad Española del Dolor; 20(3); 142-149","Revista de la Sociedad Española del Dolor","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462013000300007&lang=pt" 
"S1889-836X2013000200001-esp","Niveles inadecuados de D: no es una D-eliciosa perspectiva","Quesada Gómez, J.M., Navarro Valverde, C.","Revista de Osteoporosis y Metabolismo Mineral; 5(2); 65-66","Revista de Osteoporosis y Metabolismo Mineral","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1889-836X2013000200001&lang=pt" 
"S1889-836X2013000200002-esp","Prevalencia de hipovitaminosis D e hiperparatiroidismo secundario en la Unidad de Lesionados Medulares de Gran Canaria: estudio preliminar","Rivero González, L., Méndez Suárez, J.L., Miranda Calderín, G., Bárbara Bataller, E., Sánchez Enríquez, J., Sosa Henríquez, M.","Revista de Osteoporosis y Metabolismo Mineral; 5(2); 67-72","Revista de Osteoporosis y Metabolismo Mineral","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1889-836X2013000200002&lang=pt" 
"S1889-836X2013000200003-esp","Riesgo de fractura asociado a los estadios previos al diagnóstico de diabetes mellitus tipo 2: estudio de casos-controles anidados (cohorte DIAFOS)","Martínez-Laguna, D., Nogués-Solán, X., Díez-Pérez, A., Soria-Castro, A., Carbonell-Abella, C., Arias-Moliz, I., Estrada-Laza, P., Prieto-Alhambra, D.","Revista de Osteoporosis y Metabolismo Mineral; 5(2); 73-78","Revista de Osteoporosis y Metabolismo Mineral","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1889-836X2013000200003&lang=pt" 
"S1889-836X2013000200004-esp","Efectos divergentes de la inhibición de TGF-β en metástasis óseas de cáncer de mama y pulmón","Luis-Ravelo, D., Antón, I., Vicent, S., Zandueta, C., Martínez, S., Valencia, K., Ormazábal, C., Lecanda, F.","Revista de Osteoporosis y Metabolismo Mineral; 5(2); 79-84","Revista de Osteoporosis y Metabolismo Mineral","Espanhol","2013","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1889-836X2013000200004&lang=pt" 
"S0719-12432013000100001-chl","LOS JESUITAS EXPULSOS: LA COMUNIDAD Y LOS INDIVIDUOS. LA PROVINCIA DE CHILE","Cavieres F, Eduardo","Cuadernos de historia (Santiago); (38); 7-38","Cuadernos de historia (Santiago)","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-12432013000100001&lang=pt" 
