"S1413-81232008000900019-spa","Percepção sobre qualidade de vida de mulheres participantes de oficinas educativas para dor na coluna","Arcanjo, Giselle Notini, Valdés, Maria Teresa Moreno, Silva, Raimunda Magalhães da","Ciência &amp; Saúde Coletiva; 13(); 2145-2154","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232008000900019&lang=pt" 
"S1413-81232008000900022-spa","O envelhecimento cortical e a reorganização neural após o acidente vascular encefálico (AVE): implicações para a reabilitação","Teixeira, Ilka Nicéia D&#039;Aquino Oliveira","Ciência &amp; Saúde Coletiva; 13(); 2171-2178","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232008000900022&lang=pt" 
"S1413-81232008000900027-spa","Vigilância sanitária de uma cidade metropolitana do sul do Brasil: implantação da gestão plena e efetividade das ações","Souza, Jorcen Simon de, Stein, Airton Tetelbom","Ciência &amp; Saúde Coletiva; 13(); 2225-2238","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232008000900027&lang=pt" 
"S1413-81232008000900019-scl","Percepção sobre qualidade de vida de mulheres participantes de oficinas educativas para dor na coluna","Arcanjo, Giselle Notini, Valdés, Maria Teresa Moreno, Silva, Raimunda Magalhães da","Ciência &amp; Saúde Coletiva; 13(); 2145-2154","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000900019&lang=pt" 
"S1413-81232008000900007-scl","Promoção à saúde e empoderamento: uma reflexão a partir das perspectivas crítico-social pós-estruturalista","Carvalho, Sérgio Resende, Gastaldo, Denise","Ciência &amp; Saúde Coletiva; 13(); 2029-2040","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000900007&lang=pt" 
"S0001-37652008000400004-scl","Bacterial handling under the influence of non-uniform electric fields: dielectrophoretic and electrohydrodynamic effects","Fernádez-Morales, Flavio H., Duarte, Julio E., Samitier-Martí, Josep","Anais da Academia Brasileira de Ciências; 80(4); 627-638","Anais da Academia Brasileira de Ciências","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652008000400004&lang=pt" 
"S1413-81232008000900001-scl","Indexação de Ciência &amp; Saúde Coletiva no Isi/Thomson é nossa prova de fogo","Minayo, Maria Cecília de Souza","Ciência &amp; Saúde Coletiva; 13(); 2006-2006","Ciência &amp; Saúde Coletiva","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000900001&lang=pt" 
"S1413-81232008000900014-scl","Novo protocolo para as ações de saúde bucal coletiva: padronização no armazenamento, distribuição e uso do material de higiene bucal","Vilhena, Fabiano Vieira, Sales-Peres, Silvia Helena de Carvalho, Caldana, Magali de Lourdes, Buzalaf, Marília Afonso Rabelo","Ciência &amp; Saúde Coletiva; 13(); 2097-2103","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000900014&lang=pt" 
"S1413-81232008000900026-scl","A qualidade de vida de jovens portadores de espinha bífida brasileiros e norte-americanos","Soares, Ana Helena Rotta, Moreira, Martha Cristina Nunes, Monteiro, Lúcia Maria Costa","Ciência &amp; Saúde Coletiva; 13(); 2215-2223","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000900026&lang=pt" 
"S1413-81232008000900036-scl","Olhares socioantropológicos sobre os adoecidos crônicos","Castellanos, Marcelo Eduardo Pfeiffer, Barros, Nelson Filice de, Motta, Júlia Casulari","Ciência &amp; Saúde Coletiva; 13(); 2309-2311","Ciência &amp; Saúde Coletiva","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232008000900036&lang=pt" 
