"S1516-35982010001300012-scl","Avanços da maricultura na primeira década do século XXI: piscicultura e carcinocultura marinha","Sampaio, Luís André, Tesser, Marcelo Borges, Wasielesky Júnior, Wilson","Revista Brasileira de Zootecnia; 39(); 102-111","Revista Brasileira de Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001300012&lang=pt" 
"S1516-35982010001300051-scl","Great discoveries of milk for a healthy diet and a healthy life","Palmquist, Donald L.","Revista Brasileira de Zootecnia; 39(); 465-477","Revista Brasileira de Zootecnia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010001300051&lang=pt" 
"S0100-85872010000100003-scl","&quot;Reciben lo que veniran a buscar&quot;: nação e poder num encontro evangélico internacional, em Buenos Aires","Oro, Ari Pedro","Religião &amp; Sociedade; 30(1); 32-52","Religião &amp; Sociedade","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-85872010000100003&lang=pt" 
"S0102-695X2010000300005-scl","Constituintes químicos e avaliação das atividades antibacteriana e antiedematogênica de Aloysia gratissima (Gillies &amp; Hook.) Tronc. e Aloysia virgata (Ruiz &amp; Pav.) Pers., Verbenaceae","Vandresen, Fábio, Schmitt, Elisângela, Kato, Lucília, Oliveira, Cecília Maria Alves de, Amado, Ciomar Aparecida Bersani, Silva, Cleuza Conceição da","Revista Brasileira de Farmacognosia; 20(3); 317-321","Revista Brasileira de Farmacognosia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2010000300005&lang=pt" 
"S1415-43662010000700009-scl","Avaliação da qualidade nutricional de composto orgânico produzido com resíduos de fumo","Primo, Dário C., Fadigas, Francisco de S., Carvalho, José C. R., Schmidt, Carlos D. S., Borges Filho, Antonio C. S.","Revista Brasileira de Engenharia Agrícola e Ambiental; 14(7); 742-746","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662010000700009&lang=pt" 
"S1415-43662010000700012-scl","Estudo da precipitação mensal durante a estação chuvosa em Diamantina, Minas Gerais","Vieira, João P. G., Souza, Maria J. H. de, Teixeira, Joseane M., Carvalho, Felipe P. de","Revista Brasileira de Engenharia Agrícola e Ambiental; 14(7); 762-767","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662010000700012&lang=pt" 
"S1415-43662010000700015-scl","Estudo dos efeitos da acetilação em fibras de sisal","Lopes, Fernanda F. M., Araújo, Gilmar T. de, Nascimento, José W. B. do, Gadelha, Tatiana S., Silva, Valneide R. da","Revista Brasileira de Engenharia Agrícola e Ambiental; 14(7); 783-788","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662010000700015&lang=pt" 
"S1415-43662010000700001-scl","Desenvolvimento de protótipos de microaspersores através de prototipagem rápida e torneamento mecânico","Almeida, Alexsandro C. S., Botrel, Tarlei A., Souza, Wanderley J., Oliveira, Marcelo F., Camargo, Antonio P.","Revista Brasileira de Engenharia Agrícola e Ambiental; 14(7); 686-691","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662010000700001&lang=pt" 
"S1415-43662010000700004-scl","Combinação de águas doce e salobra para produção de alface hidropônica","Soares, Tales M., Duarte, Sergio N., Silva, Ênio F. F., Jorge, Cristiano A.","Revista Brasileira de Engenharia Agrícola e Ambiental; 14(7); 705-714","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662010000700004&lang=pt" 
"S1415-43662010000700006-scl","Resposta do meloeiro à fertigação controlada através de íons da solução do solo: parâmetros produtivos","Silva Júnior, Manoel J. da, Duarte, Sergio N., Oliveira, Francisco de A. de, Medeiros, José F. de, Dutra, Indalécio","Revista Brasileira de Engenharia Agrícola e Ambiental; 14(7); 723-729","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662010000700006&lang=pt" 
"S1415-43662010000700011-scl","Produção de melão rendilhado em sistema hidropônico com rejeito da dessalinização de água em solução nutritiva","Dias, Nildo da S., Lira, Raniere B. de, Brito, Raimundo F. de, Sousa Neto, Osvaldo N. de, Ferreira Neto, Miguel, Oliveira, André M. de","Revista Brasileira de Engenharia Agrícola e Ambiental; 14(7); 755-761","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662010000700011&lang=pt" 
"S1415-43662010000700013-scl","Evapotranspiração máxima do pimentão cultivado em estufa plástica em função de variáveis fenométricas e meteorológicas","Pivetta, Carina R., Heldwein, Arno B., Maldaner, Ivan C., Radons, Sidinei Z., Tazzo, Ivonete F., Lucas, Dionéia D.","Revista Brasileira de Engenharia Agrícola e Ambiental; 14(7); 768-775","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662010000700013&lang=pt" 
"S1415-43662010000700014-scl","Isotermas de sorção de metais pesados em solos do cerrado de Goiás","Oliveira, Luiz F. C., Lemke-de-Castro, Mara L., Rodrigues, Cristiane, Borges, Jácomo D.","Revista Brasileira de Engenharia Agrícola e Ambiental; 14(7); 776-782","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662010000700014&lang=pt" 
"S0100-879X2010000700013-scl","Human papillomavirus detection and p16 methylation pattern in a case of esophageal papilloma","Afonso, L.A., Moysés, N., Cavalcanti, S.M.B.","Brazilian Journal of Medical and Biological Research; 43(7); 694-696","Brazilian Journal of Medical and Biological Research","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2010000700013&lang=pt" 
"S0100-879X2010000700009-scl","Long-term social recognition memory in adult male rats: factor analysis of the social and non-social behaviors","Moura, P.J., Meirelles, S.T., Xavier, G.F.","Brazilian Journal of Medical and Biological Research; 43(7); 663-676","Brazilian Journal of Medical and Biological Research","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2010000700009&lang=pt" 
"S0100-879X2010000700007-scl","Repeated exposure of adolescent rats to oral methylphenidate does not induce behavioral sensitization or cross-sensitization to nicotine","Justo, C.C., Carneiro-de-Oliveira, P.E., DeLucia, R., Aizenstein, M.L., Planeta, C.S.","Brazilian Journal of Medical and Biological Research; 43(7); 651-656","Brazilian Journal of Medical and Biological Research","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2010000700007&lang=pt" 
"S0100-879X2010000700004-scl","Quantitative evaluation of experimental choroidal neovascularization by confocal scanning laser ophthalmoscopy: fluorescein angiogram parallels heparan sulfate proteoglycan expression","Regatieri, C.V., Dreyfuss, J.L., Melo, G.B., Lavinsky, D., Hossaka, S.K., Rodrigues, E.B., Farah, M.E., Maia, M., Nader, H.B.","Brazilian Journal of Medical and Biological Research; 43(7); 627-633","Brazilian Journal of Medical and Biological Research","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2010000700004&lang=pt" 
"S0100-879X2010000700010-scl","High prevalence of the GSTM3*A/B polymorphism in sub-Sarahan African populations","Teixeira, D., Vargens, D., Príncipe, A., Oliveira, E., Amorim, A., Prata, M.J., Suarez-Kurtz, G.","Brazilian Journal of Medical and Biological Research; 43(7); 677-680","Brazilian Journal of Medical and Biological Research","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2010000700010&lang=pt" 
"S0100-879X2010000700011-scl","Effect of carotid and aortic baroreceptors on cardiopulmonary reflex: the role of autonomic function","Fernandes, T.L., Piratello, A.C., Farah, V., Fiorino, P., Moreira, E.D., Irigoyen, M.C., Krieger, E.M.","Brazilian Journal of Medical and Biological Research; 43(7); 681-686","Brazilian Journal of Medical and Biological Research","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2010000700011&lang=pt" 
"S1415-43662010000700003-scl","Caracterização hidrodispersiva de dois solos da região irrigada do Vale do São Francisco","Carmo, André I. do, Antonino, Antônio C. D., M. Netto, André, Corrêa, Marcus M.","Revista Brasileira de Engenharia Agrícola e Ambiental; 14(7); 698-704","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662010000700003&lang=pt" 
"S1415-43662010000700008-scl","Desenvolvimento de uma régua para medidas de área foliar do algodoeiro","Fideles Filho, José, Beltrão, Napoleão E. de M., Pereira, Antonildo S.","Revista Brasileira de Engenharia Agrícola e Ambiental; 14(7); 736-741","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662010000700008&lang=pt" 
"S0100-879X2010000700008-scl","Motor behavioral abnormalities and histopathological findings of Wistar rats inoculated with HTLV-1-infected MT2 cells","Câmara, C.C., Oriá, R.B., Felismino, T.C., Silva, A.P. da, Silva, M.A.M. da, Alcântara, J.V.A., Costa, S.B.C., Vicente, A.C.P., Teixeira-Santos, T.J., Castro-Costa, C.M. de","Brazilian Journal of Medical and Biological Research; 43(7); 657-662","Brazilian Journal of Medical and Biological Research","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2010000700008&lang=pt" 
"S0100-879X2010000700005-scl","Death switch for gene therapy: application to erythropoietin transgene expression","Souza, D.S., Spencer, D.M., Salles, T.S.I., Salomão, M.A., Payen, E., Beuzard, Y., Carvalho, H.F., Costa, F.F., Saad, S.T.Olalla","Brazilian Journal of Medical and Biological Research; 43(7); 634-644","Brazilian Journal of Medical and Biological Research","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2010000700005&lang=pt" 
"S0100-879X2010000700001-scl","Autonomic control of cardiorespiratory interactions in fish, amphibians and reptiles","Taylor, E.W., Leite, C.A.C., Skovgaard, N.","Brazilian Journal of Medical and Biological Research; 43(7); 600-610","Brazilian Journal of Medical and Biological Research","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2010000700001&lang=pt" 
"S0100-879X2010000700002-scl","Helicobacter pylori adhesion to gastric epithelial cells is mediated by glycan receptors","Magalhães, A., Reis, C.A.","Brazilian Journal of Medical and Biological Research; 43(7); 611-618","Brazilian Journal of Medical and Biological Research","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2010000700002&lang=pt" 
"S1415-43662010000700002-scl","Características químicas de solo cultivado com soja e irrigado com água residuária da suinocultura","Caovilla, Franciele A., Sampaio, Silvio C., Smanhotto, Adriana, Nóbrega, Lúcia H. P., Queiroz, Manoel M. F. de, Gomes, Benedito M.","Revista Brasileira de Engenharia Agrícola e Ambiental; 14(7); 692-697","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662010000700002&lang=pt" 
"S1415-43662010000700005-scl","Resposta do meloeiro à fertigação controlada através de íons da solução do solo: desenvolvimento vegetativo","Silva Júnior, Manoel J. da, Duarte, Sergio N., Oliveira, Francisco de A. de, Medeiros, José F. de, Dutra, Indalécio","Revista Brasileira de Engenharia Agrícola e Ambiental; 14(7); 715-722","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662010000700005&lang=pt" 
"S0718-48082010000100001-chl","Efecto de diferentes métodos de puntuación sobre la fiabilidad, validez y puntos de corte de la escala de depresión del Centro para Estudios Epidemiológicos (CES-D)","Gempp, René, Thieme, Claudio","Terapia psicológica; 28(1); 5-12","Terapia psicológica","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48082010000100001&lang=pt" 
"S0718-48082010000100002-chl","Madurez neuropsicológica en preescolares: propiedades psicométricas del test CUMANIN","Urzúa, Alfonso, Ramos, Miguel, Alday, Carolina, Alquinta, Alejandro","Terapia psicológica; 28(1); 13-25","Terapia psicológica","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48082010000100002&lang=pt" 
"S0718-48082010000100003-chl","Calidad de vida relacionada con la salud, factores psicológicos y fisiopatológicos en pacientes con diagnóstico de Lupus Eritematoso Sistémico - LES","Ariza, Karem, Isaza, Paula, Gaviria, Ana Milena, Quiceno, Japcy Margarita, Vinaccia, Stefano, Alvarán, Liliana, Pinto, Luis Fernando, Velásquez, Carlos Jaime, Márquez, Javier Darío","Terapia psicológica; 28(1); 27-36","Terapia psicológica","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48082010000100003&lang=pt" 
"S0718-48082010000100004-chl","Validación y adaptación del cuestionario de temperamento y carácter, JTCI de R. Cloninger, versión niños y padres, a escolares chilenos entre 8 y 13 años de edad","Quintana, Teresa, Muñoz, Gonzalo","Terapia psicológica; 28(1); 37-43","Terapia psicológica","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48082010000100004&lang=pt" 
"S0718-48082010000100005-chl","Asociación entre variables psicológicas y sociales con la adhesión en personas con diabetes tipo 2","Torres, Angélica Magali, Piña, Julio Alfonso","Terapia psicológica; 28(1); 45-53","Terapia psicológica","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48082010000100005&lang=pt" 
"S0718-48082010000100006-chl","Asociaciones excitatorias entre el contexto y la consecuencia en la reinstalación de respuestas extinguidas en el aprendizaje causal humano","Norambuena, Ximena A, Quintana, Gonzalo R, Ponce, Fernando P, Vogel, Edgar H","Terapia psicológica; 28(1); 55-67","Terapia psicológica","Espanhol","2010","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-48082010000100006&lang=pt" 
