"S0121-07932015000100008-col","Factores relacionados con la colonización por Staphylococcus aureus","Rodríguez Tamayo, Erika Andrea, Jiménez Quiceno, Judy Natalia","Iatreia; 28(1); 66-77","Iatreia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932015000100008&lang=pt" 
"S0121-07932015000100009-col","Ronda clínica y epidemiológica. Introducción al análisis multivariable (parte II)","Garcés, Daniela, Jaimes Barragán, Fabián","Iatreia; 28(1); 87-96","Iatreia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932015000100009&lang=pt" 
"S0121-07932015000100001-col","Prevalencia de factores de riesgo cardiovascular en indígenas embera-chamí de Cristianía (Jardín), Antioquia","Cataño Bedoya, John Ubéimar, Duque Botero, Julieta, Naranjo González, Carlos Andrés, Rúa Molina, Diana Carolina, Rosique Gracia, Javier, García Pineda, Andrés Felipe, Gómez Isaza, Luis Felipe, Cardona-Arias, Jaiberth Antonio, Caro, María Antonieta, Bedoya Berrío, Gabriel, Pizano Ramírez, Norman Diego","Iatreia; 28(1); 5-16","Iatreia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932015000100001&lang=pt" 
"S0121-07932015000100002-col","Alergia al látex en trabajadores de la salud","Fajardo-Zapata, Álvaro L","Iatreia; 28(1); 17-23","Iatreia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932015000100002&lang=pt" 
"S0121-07932015000100003-col","Glomerulonefritis C3: una nueva categoría de glomerulonefritis con implicaciones etiopatogénicas","Taborda Murillo, Alejandra, Arroyave Suárez, Mariam José, Arias, Luis Fernando","Iatreia; 28(1); 24-34","Iatreia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932015000100003&lang=pt" 
"S0121-07932015000100004-col","Uso de rituximab en pacientes pediátricos con síndrome nefrótico córtico-resistente. Experiencia de un centro","Serna-Higuita, Lina María, Vanegas-Ruiz, Juan José, Serrano-Gayubo, Ana Katherina, Vélez-Echeverri, Catalina, Ochoa-García, Carolina Lucía, Rojas-Rosas, Luisa Fernanda, Baquero-Rodríguez, Richard, Nieto-Ríos, John Fredy, Ocampo-Kohn, Catalina, Aristizábal-Alzate, Arbey, Orozco-Forero, Juan Pablo, Flórez, Jesús Antonio, Zuleta-Tobón, John Jairo, Zuluaga-Valencia, Gustavo Adolfo","Iatreia; 28(1); 35-43","Iatreia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932015000100004&lang=pt" 
"S0121-07932015000100005-col","Falla cardíaca aguda","Sénior Sánchez, Juan Manuel, Gándara Ricardo, Jairo Alfonso","Iatreia; 28(1); 78-86","Iatreia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932015000100005&lang=pt" 
"S0121-07932015000100006-col","Factores solubles con actividad antiviral: en búsqueda de nuevos blancos terapéuticos para la infección por el VIH-1","Urquijo Sánchez, Susana, Taborda Vanegas, Natalia Andrea, Rugeles López, María Teresa","Iatreia; 28(1); 44-54","Iatreia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932015000100006&lang=pt" 
"S0121-07932015000100007-col","Inmunoterapia con alérgenos: cuándo y por qué?","Díez Zuluaga, Libia Susana, Cardona Villa, Ricardo, Restrepo Colorado, María Nelly, Sánchez Caraballo, Jorge Mario","Iatreia; 28(1); 55-65","Iatreia","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932015000100007&lang=pt" 
"S0102-77862015000100089-scl","RELAÇÃO ENTRE A TEMPERATURA DA SUPERFÍCIE DO MAR E A CAMADA DE MISTURA OCEÂNICA SOB A PASSAGEM DE CICLONES EXTRATROPICAIS NO ATLÂNTICO SUDOESTE","Palmeira, Ana Cristina Pinto de Almeida, Camargo, Ricardo de, Palmeira, Ronaldo Maia de Jesus","Revista Brasileira de Meteorologia; 30(1); 89-100","Revista Brasileira de Meteorologia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-77862015000100089&lang=pt" 
"S0102-77862015000100071-scl","PRECIPITAÇÃO PLUVIAL DE DIAMANTINO-MT EM ANOS DE OCORRÊNCIA DE EL NIÑO, LA NIÑA E NEUTROS","Ramos, Henrique da Cruz, Dallacort, Rivanildo, Santi, Adalberto, Junior, Santino Seabra, Queiroz, Tadeu de Miranda","Revista Brasileira de Meteorologia; 30(1); 71-80","Revista Brasileira de Meteorologia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-77862015000100071&lang=pt" 
"S0102-77862015000100029-scl","ESTUDO DOS ÍNDICES EXTREMOS DE TEMPERATURA NA BACIA HIDROGRÁFICA DO BAIXO RIO COLORADO - EUA","Araújo, Fabiane Regina da Cunha Dantas, Santos, Carlos Antonio Costa dos, Nascimento, Francisco das Chagas Araújo do","Revista Brasileira de Meteorologia; 30(1); 29-36","Revista Brasileira de Meteorologia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-77862015000100029&lang=pt" 
"S0102-77862015000100001-scl","VARIACIÓN DE LA ESTABILIDAD Y ALTURA DE LA CAPA DE MEZCLA EN LA CIUDAD DE PINAR DEL RÍO. SU RELACIÓN CON CONDICIONES SINÓPTICAS","RODRÍGUEZ VALDÉS, DAGOBERTO, QUINTERO, SILVERIO, YOSDANY GONZÁLEZ, JAIME, SANTOS, OSVALDO CUESTA, SÁNCHEZ DÍAZ, ALMARA","Revista Brasileira de Meteorologia; 30(1); 1-15","Revista Brasileira de Meteorologia","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-77862015000100001&lang=pt" 
"S0102-77862015000100016-scl","BALANÇO DE RADIAÇÃO POR SENSORIAMENTO REMOTO EM BACIA HIDROGRÁFICA DA ZONA DA MATA NORDESTINA","LEIDJANE MARIA MACIEL DE, OLIVEIRA, SUZANA MARIA GICO LIMA, MONTENEGRO, BERNARDO BARBOSA DA, SILVA, ALBERT EINSTEIN SPÍNDOLA SARAIVA DE, MOURA","Revista Brasileira de Meteorologia; 30(1); 16-28","Revista Brasileira de Meteorologia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-77862015000100016&lang=pt" 
"S0102-77862015000100081-scl","VARIAÇÕES CLIMÁTICAS NA PRECIPITAÇÃO NO SUL DO BRASIL NO CLIMA PRESENTE E FUTURO","Cera, Jossana Ceolin, Ferraz, Simone Erotildes Teleginski","Revista Brasileira de Meteorologia; 30(1); 81-88","Revista Brasileira de Meteorologia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-77862015000100081&lang=pt" 
"S0102-77862015000100059-scl","RECICLAGEM DE PRECIPITAÇÃO NA AMAZÔNIA: UM ESTUDO DE REVISÃO","Rocha, Vinícius Machado, Correia, Francis Wagner Silva, Fonseca, Paula Andrea Morelli","Revista Brasileira de Meteorologia; 30(1); 59-70","Revista Brasileira de Meteorologia","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-77862015000100059&lang=pt" 
