"S0120-53072014000300004-col","Perception of premature infants&#039; mothers on home visits before and after hospital discharge","dos Santos, Luana Cristine, Balaminut, Talita, Deggau Hegeto de Souza, Sarah Nancy, Giovanini Rossetto, Edilaine","Investigación y Educación en Enfermería; 32(3); 393-400","Investigación y Educación en Enfermería","Inglês, Português","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072014000300004&lang=pt" 
"S0120-53072014000300005-col","Quality of life of elderly. Comparison between urban and rural areas","dos Santos Tavares, Darlene Mara, Fernandes Bolina, Alisson, Aparecida Dias, Flavia, dos Santos Ferreira, Pollyana Cristina, José Haas, Vanderlei","Investigación y Educación en Enfermería; 32(3); 401-413","Investigación y Educación en Enfermería","Inglês, Português","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072014000300005&lang=pt" 
"S0120-53072014000300006-col","Care to terminal patients. Perception of nurses from the intensive care unit of a hospital","Mussolin Tamaki, Camila, Meneguin, Silmara, Aguiar Alencar, Rubia, Bronzatto Luppi, Claudia Helena","Investigación y Educación en Enfermería; 32(3); 414-420","Investigación y Educación en Enfermería","Inglês, Português","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072014000300006&lang=pt" 
"S0120-53072014000300007-col","The use of films as a teaching tool for the teaching-learning process in bioethics","Pereira Rates, Camila Maria, Maciel Silva, Larriny, Moura Pereira, Lívia, Reis Pessalacia, Juliana Dias","Investigación y Educación en Enfermería; 32(3); 421-429","Investigación y Educación en Enfermería","Inglês, Português","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072014000300007&lang=pt" 
"S0120-53072014000300001-col","Investigación y Educación en Enfermería will be indexed in MEDLINE","Rodríguez Gázquez, María de los Ángeles","Investigación y Educación en Enfermería; 32(3); 336-337","Investigación y Educación en Enfermería","Inglês, Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072014000300001&lang=pt" 
"S0120-53072014000300002-col","","","Investigación y Educación en Enfermería; 32(3); 377-378","Investigación y Educación en Enfermería","Inglês, Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072014000300002&lang=pt" 
"S0120-53072014000300003-col","Barriers and facilitators to preparing families with premature infants for discharge home from the neonatal unit. Perceptions of health care providers","Raffray, Marie, Semenic, Sonia, Osorio Galeano, Sandra, Ochoa Marín, Sandra Catalina","Investigación y Educación en Enfermería; 32(3); 379-392","Investigación y Educación en Enfermería","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072014000300003&lang=pt" 
"S0120-53072014000300008-col","Assessment of stress in the inclusion of nursing students in hospital practice","Fernandes Pereira, Francisco Gilberto, Nunes Caldini, Luana, Di Ciero Miranda, Maira, Áfio Caetano, Joselany","Investigación y Educación en Enfermería; 32(3); 430-437","Investigación y Educación en Enfermería","Inglês, Português","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072014000300008&lang=pt" 
"S0120-53072014000300009-col","Exploring the Use of information and communication technologies and social networks among university nursing faculty staff. An opinion survey","Fernández-Alemán, José Luis, Sánchez García, Ana Belén, López Montesinos, María José, Marqués-Sánchez, Pilar, Bayón Darkistade, Enrique, Pérez Rivera, Francisco Javier","Investigación y Educación en Enfermería; 32(3); 438-450","Investigación y Educación en Enfermería","Inglês, Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-53072014000300009&lang=pt" 
"S0036-46652014000600533-scl","HAND-FOOT-AND-MOUTH DISEASE EPIDEMIOLOGICAL STATUS AND RELATIONSHIP WITH METEOROLOGICAL VARIABLES IN GUANGZHOU, SOUTHERN CHINA, 2008-2012","Li, Tiegang, Yang, Zhicong, Liu, Xiangyi, Kang, Yan, Wang, Ming","Revista do Instituto de Medicina Tropical de São Paulo; 56(6); 533-539","Revista do Instituto de Medicina Tropical de São Paulo","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0036-46652014000600533&lang=pt" 
