"S1851-75872014000100012-arg","Impacto en el presupuesto de medicamentos para el tratamiento de la Cardiopatía Isquémica, debido al aumento de camas en la Unidad de Terapia Intensiva de un hospital provincial: Comparación entre los años 2009 y 2011","Chichalof, Carina S, Bagnasco, Roberto, Romañuk, Carolina B","Revista de Ciencia y Tecnología; (21); 70-74","Revista de Ciencia y Tecnología","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-75872014000100012&lang=pt" 
"S0121-07932014000200004-col","Trampas extracelulares de ADN de eosinófilos en alergias","Castrillón Álvarez, Marlon, Arango Rincón, Julián Camilo","Iatreia; 27(2); 165-176","Iatreia","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932014000200004&lang=pt" 
"S0121-07932014000200003-col","Correlación entre la concentración urinaria de malondialdehído y daño en el ADN de personas expuestas a mercurio","Castaño Arias, Paula Andrea, Arroyave Hoyos, Claudia Lucía, Acevedo Toro, Paola Andrea, Vásquez Palacio, Gonzalo","Iatreia; 27(2); 155-164","Iatreia","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932014000200003&lang=pt" 
"S0121-07932014000200001-col","Stimulation of TLRs, Nod-like receptors and Dectin-1 in neutrophils induces the production of proinflammatory cytokines","Martínez Moreno, Jahnnyer Anilio, Hernández López, Juan Carlos, Urcuqui-Inchima, Silvio","Iatreia; 27(2); 135-146","Iatreia","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932014000200001&lang=pt" 
"S0121-07932014000200011-col","Hipertensión arterial resistente. Tratamiento con denervación renal percutánea","Senior, Juan Manuel, Fernández Cadavid, Andrés, Rodríguez Dimuro, Arturo, Gil Aldana, Víctor","Iatreia; 27(2); 226-231","Iatreia","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932014000200011&lang=pt" 
"S0121-07932014000200013-col","Development of pediatric hydronephrosis patients visiting the San Vicente Foundation University Hospital, Medellín, Colombia","Vélez-Tejada, Paulina, Niño-Serna, Laura, Serna-Higuita, Lina María, Serrano-Gayubo, Ana Katherina, Vélez-Echeverri, Catalina, Vanegas-Ruiz, Juan José, Sierra Abaúnza, Javier Mauricio, Piedrahíta-Echeverry, Vilma","Iatreia; 27(2); 252-259","Iatreia","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932014000200013&lang=pt" 
"S0121-07932014000200012-col","&#039;&#039;Scotomes&#039;&#039; or &#039;&#039;blind spots&#039;&#039; in the medical field that limit its role in adolescent sexual and reproductive health (ASRH): ideas about how to eliminate them","Restrepo Espinosa, Olga Lucia","Iatreia; 27(2); 241-251","Iatreia","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932014000200012&lang=pt" 
"S0121-07932014000200010-col","Trauma: una etiología infrecuente del pseudoquiste pulmonar","Vélez Tejada, María Paulina, Morales Múnera, Olga Lucía, Montoya Ochoa, Francisco, Roya Pabón, Claudia Liliana","Iatreia; 27(2); 221-225","Iatreia","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-07932014000200010&lang=pt" 
"S0100-40422014000300015-scl","Constituintes químicos e atividade antioxidante de folhas e galhos de Eugenia copacabanensis Kiaersk (Myrtaceae)","Carvalho Junior, Almir Ribeiro de, Gomes, Geovany Amorim, Ferreira, Rafaela Oliveira, Carvalho, Mário Geraldo de","Química Nova; 37(3); 477-482","Química Nova","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422014000300015&lang=pt" 
"S0100-40422014000300025-scl","Validação de um método para determinação simultânea de quatro ácidos orgânicos por cromatografia líquida de alta eficiência em polpas de frutas congeladas","Santos, José Soares dos, Santos, Maria Lúcia Pires dos, Azevedo, Alana dos Santos","Química Nova; 37(3); 540-544","Química Nova","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422014000300025&lang=pt" 
