"S0031-10492012021400001-scl","Change in the meiofauna community structure of sandy beaches of the Nuevo Gulf (Chubut, Argentina)","Harguinteguy, Carlos A., Cofré, M. Noelia, Pastor de Ward, Catalina T.","Papéis Avulsos de Zoologia (São Paulo); 52(34); 411-422","Papéis Avulsos de Zoologia (São Paulo)","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0031-10492012021400001&lang=pt" 
"S0717-75262012000500001-chl","Chile: nuevos desafíos en políticas públicas materno-infantiles","González P, Rogelio","Revista chilena de obstetricia y ginecología; 77(5); 329-330","Revista chilena de obstetricia y ginecología","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262012000500001&lang=pt" 
"S0717-75262012000500002-chl","Descripción de la función sexual en mujeres con alteraciones de piso pélvico en un hospital público de Santiago","Flores E, Claudia, Araya G, Alejandra, Pizarro- Berdichevsky, Javier, Díaz R, Constanza, Quevedo C, Estefanía, González L, Silvana","Revista chilena de obstetricia y ginecología; 77(5); 331-337","Revista chilena de obstetricia y ginecología","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262012000500002&lang=pt" 
"S0717-75262012000500004-chl","Motivaciones y actitudes hacia la donación voluntaria de ovocitos: Experiencia de la Unidad de Medicina Reproductiva de la Clínica Monteblanco","Solari B, Daniela, Villa V, Sonia, Schwarze M, Juan Enrique, Balmaceda R, José, Albornoz G, Claudia, Pommer T, Ricardo","Revista chilena de obstetricia y ginecología; 77(5); 342-346","Revista chilena de obstetricia y ginecología","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262012000500004&lang=pt" 
"S0717-75262012000500005-chl","Complicaciones fetales en las gestaciones gemelares monocoriales biamnióticas: estudio de 94 casos","Arrieta B, Sara, de la Calle F-M, María, Omeñaca T, Félix, González G, Antonio","Revista chilena de obstetricia y ginecología; 77(5); 347-354","Revista chilena de obstetricia y ginecología","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262012000500005&lang=pt" 
"S0717-75262012000500006-chl","La suplementación materna con ácido docosahexaenoico (DHA) carece de beneficio clínicamente significativo","Farías, Marcelo E, Poblete, José A, Carvajal, Jorge A","Revista chilena de obstetricia y ginecología; 77(5); 355-366","Revista chilena de obstetricia y ginecología","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262012000500006&lang=pt" 
"S0717-75262012000500007-chl","Rol de la laparoscopia en la infertilidad inexplicada: Experiencia del Hospital Clínico de la Pontificia Universidad Católica de Chile","Pavlovic B, Milenko, Manzur Y, Alejandro, Macaya P, Rodrigo","Revista chilena de obstetricia y ginecología; 77(5); 367-374","Revista chilena de obstetricia y ginecología","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262012000500007&lang=pt" 
"S0717-75262012000500008-chl","Hijo de madre adolescente: riesgos, morbilidad y mortalidad neonatal","Mendoza T, Luis Alfonso, Arias G, Martha, Mendoza T, Laura Isabel","Revista chilena de obstetricia y ginecología; 77(5); 375-382","Revista chilena de obstetricia y ginecología","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262012000500008&lang=pt" 
"S0717-75262012000500009-chl","Rabdomiosarcoma embrionario de cérvix uterino en mujer adulta","Rubio C, Patricia, Lanzón L, Alberto, Vicente A, Sandra, Ruiz C, Miguel Ángel","Revista chilena de obstetricia y ginecología; 77(5); 383-387","Revista chilena de obstetricia y ginecología","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262012000500009&lang=pt" 
"S0717-75262012000500010-chl","Miocarditis y bloqueo aurículo-ventricular fetal asociado a lupus eritematoso sistémico materno","Rodríguez G, Marcelo, Moreno S, José Antonio, Soto A, Alejandro, Bachmann, Maritza, Márquez A, Rolando, Eltit V, Ricardo","Revista chilena de obstetricia y ginecología; 77(5); 388-392","Revista chilena de obstetricia y ginecología","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262012000500010&lang=pt" 
"S0717-75262012000500011-chl","Carcinoma linfoepitelial del cuello uterino","Barrero P, Raúl, García M, Gladys, Navia C, Carolina, Painel P, Vicente, Rivera Z, René, Bustos P, Paula","Revista chilena de obstetricia y ginecología; 77(5); 393-396","Revista chilena de obstetricia y ginecología","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262012000500011&lang=pt" 
"S0717-75262012000500012-chl","Manejo quirúrgico de la endometriosis vésico-ureteral y sus complicaciones","Martínez-Varea, Alicia, Vila-Vives, José María, Molina-Planta, Marta, López-Acón, José Daniel, Ruiz-Cerdá, José Luis, Payá-Amate, Vicente, Pellicer-Martínez, Antonio","Revista chilena de obstetricia y ginecología; 77(5); 397-400","Revista chilena de obstetricia y ginecología","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262012000500012&lang=pt" 
"S0717-75262012000500013-chl","Ejercicio y prevención de obesidad y diabetes mellitus gestacional","Márquez A, Jorge Jaime, García V, Victoria, Ardila C, Ricardo","Revista chilena de obstetricia y ginecología; 77(5); 401-406","Revista chilena de obstetricia y ginecología","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262012000500013&lang=pt" 
"S0717-75262012000500014-chl","Dieta de bajo índice glicémico en embarazadas para prevenir macrosomía (ROLO study): Un estudio clínico randomizado","Pohlhammer I, Simone, Vera P-G, Claudio, Carvajal C, Jorge","Revista chilena de obstetricia y ginecología; 77(5); 407-409","Revista chilena de obstetricia y ginecología","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262012000500014&lang=pt" 
"S0717-75262012000500003-chl","Infecciones del tracto genital y urinario como factores de riesgo para parto pretérmino en adolescentes","Ugalde-Valencia, Diana, Hernández-Juárez, María Guadalupe, Ruiz-Rodríguez, Martha Adriana, Villarreal-Ríos, Enrique","Revista chilena de obstetricia y ginecología; 77(5); 338-341","Revista chilena de obstetricia y ginecología","Espanhol","2012","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262012000500003&lang=pt" 
"S1816-79502012000400002-sza","Variation in VIP latrine sludge contents","Bakare, BF, Foxon, KM, Brouckaert, CJ, Buckley, CA","Water SA; 38(4); 479-486","Water SA","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502012000400002&lang=pt" 
"S1816-79502012000400003-sza","Implementing a protocol for selection and prioritisation of organic contaminants in the drinking water value chain: case study of Rand Water, South Africa","Ncube, EJ, Voyi, K, du Preez, H","Water SA; 38(4); 487-504","Water SA","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502012000400003&lang=pt" 
"S1816-79502012000400004-sza","Cr(VI) formation during ozonation of Cr-containing materials in aqueous suspension - implications for water treatment","van der Merwe, W, Beukes, JP, van Zyl, PG","Water SA; 38(4); 505-510","Water SA","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502012000400004&lang=pt" 
"S1816-79502012000400005-sza","Characterising the reactivity of metallic iron in Fe0/As-rock/H2O systems by long-term column experiments","Noubactep, C","Water SA; 38(4); 511-518","Water SA","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502012000400005&lang=pt" 
"S1816-79502012000400006-sza","Comparative study of EVA-Cloisite® 20A and heat-treated EVA-Cloisite® 20A on heavy-metal adsorption properties","Dlamini, Derrick S, Mishra, Ajay K, Mamba, Bhekie B","Water SA; 38(4); 519-528","Water SA","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502012000400006&lang=pt" 
"S1816-79502012000400007-sza","Preparation and characterisation of tamarind 4-hydroxybenzoic acid (THBA) resin and its use in extraction of heavy metal ions from industrial wastewater","Singh, AV, Kumawat, Indraj Kumar","Water SA; 38(4); 529-536","Water SA","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1816-79502012000400007&lang=pt" 
