"S0120-99652009000300013-col","Micoflora asociada a dos sustratos orgánicos y su efecto en el control de Rhizoctonia solani Kühn","Guédez, Clemencia, Cañizalez, Luis Miguel, Castillo, Carmen, Olivar, Rafael","Agronomía Colombiana; 27(3); 395-399","Agronomía Colombiana","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99652009000300013&lang=pt" 
"S0120-99652009000300009-col","Modeling plantain (Musa AAB Simmonds) potential yield","Chaves C., Bernardo, Cayón S., Gerardo, Jones, James W.","Agronomía Colombiana; 27(3); 359-366","Agronomía Colombiana","Inglês","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99652009000300009&lang=pt" 
"S0120-99652009000300008-col","Micropropagación de Espeletiopsis muiska (Cuatrecasas), frailejón del Parque Natural La Ranchería - Boyacá, Colombia","Rache C., Leidy, Pacheco M., José","Agronomía Colombiana; 27(3); 349-358","Agronomía Colombiana","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99652009000300008&lang=pt" 
"S0120-99652009000300007-col","Propagación asexual de uchuva (Physalis peruviana L.) en diferentes sustratos y a distintos niveles de auxina","Moreno, Nelson Hernán, Álvarez-Herrera, Javier Giovanni, Balaguera-López, Helber Enrique, Gerhard, Fischer","Agronomía Colombiana; 27(3); 341-348","Agronomía Colombiana","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99652009000300007&lang=pt" 
"S0120-99652009000300006-col","Análisis de parámetros heredables asociados al rendimiento y precocidad en arveja voluble (Pisum sativum L.) tipo Santa Isabel","Ligarreto M., Gustavo A., Ospina H., Andrés R.","Agronomía Colombiana; 27(3); 333-339","Agronomía Colombiana","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99652009000300006&lang=pt" 
"S0120-99652009000300005-col","Clasificación de 85 accesiones de arveja (Pisum sativum L.), de acuerdo con su comportamiento agronómico y caracteres morfológicos","Pacheco Ch., César A., Vergara H., María C., Ligarreto M., Gustavo A.","Agronomía Colombiana; 27(3); 323-332","Agronomía Colombiana","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99652009000300005&lang=pt" 
"S0120-99652009000300004-col","Validación de TILLING en evaluación de progenies endocriadas de yuca irradiada (Manihot esculenta Crantz)","Tofiño, Adriana, Cabal, Diana, Ceballos, Hernán, Pérez, Juan Carlos, Romero, Hernán Mauricio","Agronomía Colombiana; 27(3); 313-321","Agronomía Colombiana","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99652009000300004&lang=pt" 
"S0120-99652009000300003-col","Teorías sobre la clasificación taxonómica de las papas cultivadas (Solanum L. sect. Petota Dumort.). Una revisión","Rodríguez, Luis Ernesto","Agronomía Colombiana; 27(3); 305-312","Agronomía Colombiana","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99652009000300003&lang=pt" 
"S0120-99652009000300002-col","Criolla Latina, Criolla Paisa y Criolla Colombia, nuevos cultivares de papa criolla para el departamento de Antioquia (Colombia)","Rodríguez, Luis Ernesto, Ñustez, Carlos Eduardo, Estrada, Nelson","Agronomía Colombiana; 27(3); 289-303","Agronomía Colombiana","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99652009000300002&lang=pt" 
"S0120-99652009000300001-col","EDITORIAL","Fischer, Gerhard","Agronomía Colombiana; 27(3); 285-286","Agronomía Colombiana","Espanhol","2009","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-99652009000300001&lang=pt" 
