"S1516-80342010000300016-scl","Caracterização das habilidades simbólicas de crianças com síndrome de Down","Ciciliato, Mariane Nardezi, Zilotti, Daiana Camargo, Mandrá, Patrícia Pupin","Revista da Sociedade Brasileira de Fonoaudiologia; 15(3); 408-414","Revista da Sociedade Brasileira de Fonoaudiologia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342010000300016&lang=pt" 
"S1516-80342010000300017-scl","Características iniciais da comunicação verbal de pré-escolares com Alterações Específicas do Desenvolvimento da Linguagem em fala espontânea","Befi-Lopes, Debora Maria, Rondon, Silmara","Revista da Sociedade Brasileira de Fonoaudiologia; 15(3); 415-420","Revista da Sociedade Brasileira de Fonoaudiologia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342010000300017&lang=pt" 
"S1516-80342010000300018-scl","Alunos com distúrbios do espectro autístico em interação com professores na educação inclusiva: descrição de habilidades pragmáticas","Brito, Maria Claudia, Carrara, Kester","Revista da Sociedade Brasileira de Fonoaudiologia; 15(3); 421-429","Revista da Sociedade Brasileira de Fonoaudiologia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342010000300018&lang=pt" 
"S1516-80342010000300019-scl","Avaliação da comunicação no espectro autístico: interferência da familiaridade no desempenho de linguagem","Moreira, Camila Ramos, Fernandes, Fernanda Dreux Miranda","Revista da Sociedade Brasileira de Fonoaudiologia; 15(3); 430-435","Revista da Sociedade Brasileira de Fonoaudiologia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342010000300019&lang=pt" 
"S1516-80342010000300020-scl","Reflexões acerca do papel do fonoaudiólogo junto à família de uma criança com Transtorno Global do Desenvolvimento: estudo de caso","Gertel, Marta Cecília Rabinovitsch, Maia, Suzana Magalhães","Revista da Sociedade Brasileira de Fonoaudiologia; 15(3); 436-441","Revista da Sociedade Brasileira de Fonoaudiologia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342010000300020&lang=pt" 
"S1516-80342010000300021-scl","Abordagem terapêutica grupal com mães de crianças portadoras de distúrbios de linguagem","Wiethan, Fernanda Marafiga, Souza, Ana Paula Ramos de, Klinger, Ellen Fernanda","Revista da Sociedade Brasileira de Fonoaudiologia; 15(3); 442-451","Revista da Sociedade Brasileira de Fonoaudiologia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342010000300021&lang=pt" 
"S1727-37812010000200001-sza","A future perspective on constitutional stability","Klerk, FW de","PER: Potchefstroomse Elektroniese Regsblad; 13(2); 2-13","PER: Potchefstroomse Elektroniese Regsblad","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812010000200001&lang=pt" 
"S1727-37812010000200002-sza","&#039;N toekomstige perspektief op grondwetlike stabiliteit","Klerk, FW de","PER: Potchefstroomse Elektroniese Regsblad; 13(2); 15-28","PER: Potchefstroomse Elektroniese Regsblad","Africaner","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812010000200002&lang=pt" 
"S1727-37812010000200003-sza","An embarrassment of riches or a profusion of confusion? An evaluation of the continued existence of the Civil Union Act 17 of 2006 in the light of prospective domestic partnerships legislation in South Africa","Smith, BS, Robinson, JA","PER: Potchefstroomse Elektroniese Regsblad; 13(2); 30-75","PER: Potchefstroomse Elektroniese Regsblad","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812010000200003&lang=pt" 
"S1727-37812010000200004-sza","Ethics, justice and the sale of kidneys for transplantation purposes","Slabbert, M","PER: Potchefstroomse Elektroniese Regsblad; 13(2); 77-105","PER: Potchefstroomse Elektroniese Regsblad","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1727-37812010000200004&lang=pt" 
