"S2077-33232015000100012-bol","Kurze Einführung in die Neue Phänomenologie: (Breve introducción a la Nueva Fenomenología)","Mercado Vásquez, Martín","Revista Ciencia y Cultura; 19(34); 198-201","Revista Ciencia y Cultura","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-33232015000100012&lang=pt" 
"S2077-33232015000100005-bol","El periodismo en los años del Che","Salazar del Barrio, Juan Carlos","Revista Ciencia y Cultura; 19(34); 83-111","Revista Ciencia y Cultura","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-33232015000100005&lang=pt" 
"S2077-33232015000100006-bol","Panorama de la investigación histórica en la Bolivia del siglo XX","López Beltran, Clara","Revista Ciencia y Cultura; 19(34); 115-124","Revista Ciencia y Cultura","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-33232015000100006&lang=pt" 
"S2077-33232015000100001-bol","","","Revista Ciencia y Cultura; 19(34); 5-5","Revista Ciencia y Cultura","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-33232015000100001&lang=pt" 
"S2077-33232015000100011-bol","El misterio del mal. Benedicto XVI y el fin de los tiempos","Velarde Rosso, Jorge","Revista Ciencia y Cultura; 19(34); 193-197","Revista Ciencia y Cultura","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-33232015000100011&lang=pt" 
"S2077-33232015000100010-bol","Los japoneses en Bolivia: 110 años de historia de la inmigración japonesa en Bolivia","López Beltran, Clara","Revista Ciencia y Cultura; 19(34); 189-192","Revista Ciencia y Cultura","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-33232015000100010&lang=pt" 
"S2077-33232015000100002-bol","Debates en el feminismo boliviano: de la Convención de 1929 al &quot;proceso de cambio&quot;","Aillón, Virginia","Revista Ciencia y Cultura; 19(34); 9-29","Revista Ciencia y Cultura","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2077-33232015000100002&lang=pt" 
"S0719-12432015000100003-chl","Los conservadores argentinos ante el desafío del reformismo y la democratización política: Una lectura desde la provincia de Corrientes (1912-1930)","Solís Carnicer, María del Mar","Cuadernos de historia (Santiago); (42); 61-83","Cuadernos de historia (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-12432015000100003&lang=pt" 
"S0719-12432015000100001-chl","El parlamento de Quilín del año 1641: una aproximación a las relaciones interlinajes a partir de la vida fronteriza","Ortiz Aguilera, Carlos","Cuadernos de historia (Santiago); (42); 7-31","Cuadernos de historia (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-12432015000100001&lang=pt" 
"S0719-12432015000100006-chl","Las tomas de fundos en la provincia de Cautín (Chile), 1967-1973","Redondo, Jesús Ángel","Cuadernos de historia (Santiago); (42); 153-178","Cuadernos de historia (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-12432015000100006&lang=pt" 
"S0719-12432015000100004-chl","¡Por el derecho de asociación y de huelga!: La Federación Obrera de Chile (FOCH) y el camino a la legislación laboral (1921-1924)","Mellado Carrasco, Vicente","Cuadernos de historia (Santiago); (42); 85-125","Cuadernos de historia (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-12432015000100004&lang=pt" 
"S0870-82312015000200006-prt","Descodificação dos comportamentos autolesivos sem intenção suicida: Estudo qualitativo das funções e significados na adolescência","Jorge, Joana Calejo, Queirós, Otília, Saraiva, Joana","Análise Psicológica; 33(2); 207-219","Análise Psicológica","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-82312015000200006&lang=pt" 
"S0870-82312015000200003-prt","Colaboração terapêutica: Estudo comparativo dois casos de insucesso terapêutico - Um caso finalizado e de um caso de desistência","Ferreira, Angela, Ribeiro, Eugénia, Pinto, Dulce, Pereira, Carla, Pinheiro, Ana","Análise Psicológica; 33(2); 165-177","Análise Psicológica","Português","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0870-82312015000200003&lang=pt" 
"S0085-56262015000200138-scl","A new species of Zethus (Zethusculus) de Saussure (Hymenoptera, Vespidae, Eumeninae) from southern Brazil","Lopes, Rogério Botion, Hermes, Marcel Gustavo","Revista Brasileira de Entomologia; 59(2); 138-140","Revista Brasileira de Entomologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262015000200138&lang=pt" 
"S0100-39842015000300001-scl","The importance of the reviewers","Marchiori, Edson","Radiologia Brasileira; 48(3); V-V","Radiologia Brasileira","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-39842015000300001&lang=pt" 
"S0719-12432015000100002-chl","Cabeza socialista, brazos proletarios: Los liderazgos socialistas en Colombia, 1909-1924","Vanegas, Isidro","Cuadernos de historia (Santiago); (42); 33-59","Cuadernos de historia (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-12432015000100002&lang=pt" 
"S0719-12432015000100010-chl","Federico Willoughby La guerra: Páginas íntimas del poder 1957-2014","Téllez L., Eduardo","Cuadernos de historia (Santiago); (42); 196-200","Cuadernos de historia (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-12432015000100010&lang=pt" 
"S0719-12432015000100005-chl","Un fantasma recorre el campo: Anticomunismo, sindicalización campesina y Ley de Defensa Permanente de la Democracia (chile, 1946-1948)","Acevedo Arriaza, Nicolás","Cuadernos de historia (Santiago); (42); 127-151","Cuadernos de historia (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0719-12432015000100005&lang=pt" 
