"S0188-252X2013000200013-mex","Filosofía y comunicación, diálogos, encuentros y posibilidades","González Reyes, Rodrigo","Comunicación y sociedad; (20); 249-253","Comunicación y sociedad","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-252X2013000200013&lang=pt" 
"S1980-00372013000600006-scl","Effects of bariatric surgery on the body composition of adults","Hartwig, Tiago Wally, Santos, Félix Antônio Insaurriaga dos, González, Maria Cristina, Rombaldi, Airton José","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 15(6); 686-694","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372013000600006&lang=pt" 
"S1980-00372013000600007-scl","Body dissatisfaction, psychological commitment to exercise and eating behavior in young athletes from aesthetic sports","Fortes, Leonardo de Sousa, Neves, Clara Mockdece, Filgueiras, Juliana Fernandes, Almeida, Sebastião Sousa, Ferreira, Maria Elisa Caputo","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 15(6); 695-704","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372013000600007&lang=pt" 
"S1980-00372013000600008-scl","Factors influencing competitive anxiety in Brazilian athletes","Fernandes, Marcos Gimenes, Nunes, Sandra Adriana Neves, Vasconcelos-Raposo, José, Fernandes, Helder Miguel","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 15(6); 705-714","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372013000600008&lang=pt" 
"S1980-00372013000600009-scl","Influence of the selection from incremental stages on lactate minimum intensity: a pilot study","Miyagi, Willian Eiji, Leite, Jorge Vieira de Mello, Zagatto, Alessandro Moura","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 15(6); 715-725","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372013000600009&lang=pt" 
"S1980-00372013000600010-scl","Efeito do treinamento contrarresistência e isoflavona na densidade mineral óssea em mulheres na pós-menopausa","Orsatti, Fábio Lera, Nahas, Eliana Aguiar Petri, Nahas-Neto, Jorge, Orsatti, Cláudio Lera, Teixeira, Altamir Santos","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 15(6); 726-736","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372013000600010&lang=pt" 
"S1980-00372013000600012-scl","Avaliação funcional em idosas: uma proposta metodológica","Correa, Cleiton Silva, Moraes, Kelly Cristina de Mello, Lacerda, Fabiano Cézar, Radaelli, Regis, Gaya, Anelise Reis, Pinto, Ronei Silveira","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 15(6); 745-753","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372013000600012&lang=pt" 
"S0103-37862013000300003-scl","The archives in Rouanet Law","Cunha, Catherine da Silva, Constante, Sônia Elisabete","Transinformação; 25(3); 203-211","Transinformação","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862013000300003&lang=pt" 
"S0103-37862013000300005-scl","Caracterización temática de la investigación en Ciencia de la Información en Brasil en el período 2000-2009","Liberatore, Gustavo, Herrero-Solana, Víctor","Transinformação; 25(3); 225-235","Transinformação","Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862013000300005&lang=pt" 
"S0103-37862013000300008-scl","Segurança de obras raras como possível objeto de estudo da Ciência da Informação","Greenhalgh, Raphael Diego, Manini, Miriam Paula","Transinformação; 25(3); 255-261","Transinformação","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-37862013000300008&lang=pt" 
"S0101-31572013000400006-scl","Dois métodos ou duas antropologias?","Prado, Eleutério F. S.","Revista de Economia Política; 33(4); 649-658","Revista de Economia Política","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31572013000400006&lang=pt" 
"S1681-150X2013000500002-sza","The pathophysiology of chronic osteomyelitis","Marais, LC, Ferreira, N, Aldous, C, le Roux, TLB","SA Orthopaedic Journal; 12(4); 14-18","SA Orthopaedic Journal","Inglês","2013","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1681-150X2013000500002&lang=pt" 
