"S0250-71612017000100006-chl","Autopistas, ciudadanía y democratización: la Costanera Norte y el Acceso Sur, Santiago de Chile (1997-2007)","Sagaris, Lake, Landon, Paulette","EURE (Santiago); 43(128); 127-151","EURE (Santiago)","Espanhol","2017","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0250-71612017000100006&lang=pt" 
"S0104-42302017000100004-scl","What is the role of routine ultrasonography performed in the first trimester of low-risk pregnancy?","Simões, Ricardo, Bernardo, Wanderley M.","Revista da Associação Médica Brasileira; 63(1); 4-6","Revista da Associação Médica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302017000100004&lang=pt" 
"S1807-59322017000100036-scl","Evaluation of clinical and laboratory markers of cardiometabolic risk in overweight and obese children and adolescents","Palhares, Heloísa Marcelina da Cunha, da Silva, Adriana Paula, Resende, Daniela Cristina Silva, Pereira, Gilberto de Araújo, Rodrigues Júnior, Virmondes, Borges, Maria de Fátima","Clinics; 72(1); 36-43","Clinics","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322017000100036&lang=pt" 
"S0104-42302017000100092-scl","ERRATUM","","Revista da Associação Médica Brasileira; 63(1); 92-92","Revista da Associação Médica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302017000100092&lang=pt" 
"S0102-86502017000100081-scl","Model for simulated training of laparoscopic gastroenterostomy","Barreira, Márcio Alencar, Siveira, Delano Gurgel, Rocha, Hermano Alexandre Lima, Moura Junior, Luiz Gonzaga de, Mesquita, Charles Jean Gomes de, Borges, Gleydson Cesar de Oliveira","Acta Cirurgica Brasileira; 32(1); 81-89","Acta Cirurgica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502017000100081&lang=pt" 
"S0104-42302017000100050-scl","Anticoagulation in acute ischemic stroke: A systematic search","Froio, Nayara L., Montgomery, Richard Murdoch, David-Neto, Elias, Aprahamian, Ivan","Revista da Associação Médica Brasileira; 63(1); 50-56","Revista da Associação Médica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302017000100050&lang=pt" 
"S0102-86502017000100074-scl","Student insight about the discipline of surgical technique on the formative process in the School of Medicine of UFRJ","Senna, Victor Diniz, Cozer, Keren, Ferreira, Manoel Luiz, Eulálio, José Marcus Raso, Silva, Paulo Cesar, Manso, José Eduardo Ferreira, Schanaider, Alberto","Acta Cirurgica Brasileira; 32(1); 74-80","Acta Cirurgica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502017000100074&lang=pt" 
"S1807-59322017000100017-scl","Late preterm infants’ motor development until term age","Santos, Viviane Martins, Formiga, Cibelle Kayenne Martins Roberto, de Mello, Paulo Roberto Bezerra, Leone, Cléa Rodrigues","Clinics; 72(1); 17-22","Clinics","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322017000100017&lang=pt" 
"S0102-86502017000100038-scl","Expression profiles of eNOS, iNOS and microRNA-27b in the corpus cavernosum of rats submitted to chronic alcoholism and Diabetes mellitus","Cunha, Joao Paulo da, Lizarte Neto, Fermino Sanches, Novais, Paulo Cezar, Gattas, Daniela, Carvalho, Camila Albuquerque Mello de, Tirapelli, Daniela Pretti da Cunha, Molina, Carlos Augusto Fernandes, Tirapelli, Luis Fernando, Tucci Junior, Silvio","Acta Cirurgica Brasileira; 32(1); 38-45","Acta Cirurgica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502017000100038&lang=pt" 
"S0104-42302017000100013-scl","Alert for bone alterations and low serum concentrations of vitamin D in patients with intestinal inflammatory disease","Kotze, Lorete Maria da Silva, Costa, Carolina Tabata, Cavassani, Murilo Franco, Nisihara, Renato Mitsunori","Revista da Associação Médica Brasileira; 63(1); 13-17","Revista da Associação Médica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302017000100013&lang=pt" 
"S1807-59322017000100001-scl","Emergency Percutaneous Coronary Intervention Through the Left Radial Artery is Associated with Less Vascular Complications than Emergency Percutaneous Coronary Intervention Through the Femoral Artery","Qi, Guoqing, Sun, Qi, Xia, Yue, Wei, Liye","Clinics; 72(1); 1-4","Clinics","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322017000100001&lang=pt" 
"S1807-59322017000100051-scl","Effectiveness of pharmacovigilance: multifaceted educational intervention related to the knowledge, skills and attitudes of multidisciplinary hospital staff","Varallo, Fabiana Rossi, Planeta, Cleopatra S., Mastroianni, Patricia de Carvalho","Clinics; 72(1); 51-57","Clinics","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322017000100051&lang=pt" 
"S0102-86502017000100065-scl","Claudin-3 and occludin content in the glands of colonic mucosa devoid from fecal stream submitted to topical intervention with oil extract of Curcuma longa","Martinez, Carlos Augusto Real, Kadri, Caled Jaoudat, Kanno, Danilo Toshio, Alves Júnior, Antônio José Tibúrcio, Coy, Cláudio Saddy Rodrigues, Pereira, José Aires","Acta Cirurgica Brasileira; 32(1); 65-73","Acta Cirurgica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502017000100065&lang=pt" 
"S0102-86502017000100056-scl","The aplication of cyanoacrilate surgical glue on skin suture in rats","Ilgenfritz Neto, João, Aydos, Ricardo Dutra, Silva, Iandara Schettert, Ramalho, Rondon Tosta, Ilgenfritz Júnior, João, Campos, Gerson Gattats Orro de, Nakamura, Ricardo Kenithi, Guerisoli, Danilo M. Zanello, Cantero, Wilson de Barros","Acta Cirurgica Brasileira; 32(1); 56-64","Acta Cirurgica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502017000100056&lang=pt" 
"S0104-42302017000100001-scl","It is impossible to know the way if we do not know where to start: tidal volume, driving pressure, and positive end-expiratory pressure","Fonseca, Marcelo Cunio Machado, Carvalho, Werther Brunow de","Revista da Associação Médica Brasileira; 63(1); 1-3","Revista da Associação Médica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302017000100001&lang=pt" 
"S0102-86502017000100028-scl","Exogenous neuregulin-1 attenuates STZ-induced diabetic peripheral neuropathic pain in rats","Zhou, Fang, Xia, Zhongyuan, Liu, Kang, Zhou, Qin","Acta Cirurgica Brasileira; 32(1); 28-37","Acta Cirurgica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502017000100028&lang=pt" 
"S1807-59322017000100030-scl","A novel model to estimate lymph node metastasis in endometrial cancer patients","Anton, Cristina, e Silva, Alexandre Silva, Baracat, Edmund Chada, Dogan, Nasuh Utku, Köhler, Christhardt, Carvalho, Jesus Paula, di Favero, Giovanni Mastrantonio","Clinics; 72(1); 30-35","Clinics","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322017000100030&lang=pt" 
"S0104-42302017000100057-scl","Decompensated chagasic heart failure versus non-chagasic heart failure at a tertiary care hospital: Clinical characteristics and outcomes","Santos, Luiza Nauane Borges Azevedo dos, Rocha, Mário de Seixas, Oliveira, Eloina Nunes de, Moura, Carlos Antônio Gusmão de, Araujo, Ayslan Jorge Santos de, Gusmão, Ítalo Magalhães, Feitosa-Filho, Gilson Soares, Cruz, Constança Margarida Sampaio","Revista da Associação Médica Brasileira; 63(1); 57-63","Revista da Associação Médica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302017000100057&lang=pt" 
"S0104-42302017000100007-scl","Sensorineural hearing loss as the first manifestation of Sjögren&#039;s syndrome","Almeida, Raquel Sousa, Oliveira, Ana Alves, Pego, Petra M., Abuowda, Yahia, Gaspar, Iuri, Costa, João Matos","Revista da Associação Médica Brasileira; 63(1); 7-9","Revista da Associação Médica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302017000100007&lang=pt" 
"S0104-42302017000100010-scl","Synthetic cannabinoids in the kidneys","Alp, Alper, Akdam, Hakan, Avcıoğlu, Banu Yılmaz, Ersan, Sibel","Revista da Associação Médica Brasileira; 63(1); 10-12","Revista da Associação Médica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302017000100010&lang=pt" 
"S0104-42302017000100064-scl","Clinical hypoxic-ischemic encephalopathy score of the Iberoamerican Society of Neonatology (Siben): A new proposal for diagnosis and management","Perez, José Maria Rodriguez, Golombek, Sergio G., Sola, Augusto","Revista da Associação Médica Brasileira; 63(1); 64-69","Revista da Associação Médica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302017000100064&lang=pt" 
"S0104-42302017000100029-scl","Experimental burns: Comparison between silver sulfadiazine and photobiomodulation","Gomes, Mariana Teixeira, Campos, Gabriela Russo Soeiro, Piccolo, Natália, França, Cristiane Miranda, Guedes, Guelton Hirano, Lopes, Fabio, Belotto, Renata A., Pavani, Christiane, Lima, Rafael do Nascimento de, Silva, Daniela de Fátima Teixeira da","Revista da Associação Médica Brasileira; 63(1); 29-34","Revista da Associação Médica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302017000100029&lang=pt" 
"S0102-86502017000100046-scl","Oxacillin magnetically targeted for the treatment of Methicillin-Resistant S. aureus infection in rats","Carvalho, Juliana Fernandes de, Azevedo, Ítalo Medeiros de, Rocha, Keyla Borges Ferreira, Medeiros, Aldo Cunha, Carriço, Artur da Silva","Acta Cirurgica Brasileira; 32(1); 46-55","Acta Cirurgica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502017000100046&lang=pt" 
"S1807-59322017000100058-scl","Omega-3 fatty acid supplementation as an adjunctive therapy in the treatment of chronic kidney disease: a meta-analysis","Hu, Jing, Liu, Zuoliang, Zhang, Hao","Clinics; 72(1); 58-64","Clinics","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322017000100058&lang=pt" 
"S0104-42302017000100043-scl","The P-A-C-I-E-N-T-E Protocol: An instrument for breaking bad news adapted to the Brazilian medical reality","Pereira, Carolina Rebello, Calônego, Marco Antônio Marchetti, Lemonica, Lino, Barros, Guilherme Antonio Moreira de","Revista da Associação Médica Brasileira; 63(1); 43-49","Revista da Associação Médica Brasileira","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-42302017000100043&lang=pt" 
