"S2224-78902016000400011-sza","Critical review of the levelised cost of energy metric","Sklar-Chik, M.D., Brent, A.C., de Kock, I.H","South African Journal of Industrial Engineering; 27(4); 124-133","South African Journal of Industrial Engineering","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902016000400011&lang=pt" 
"S0104-59702016000900171-scl","Polícia, antropometria e datiloscopia: história transnacional dos sistemas de identificação, do rio da Prata ao Brasil","Ferrari, Mercedes García, Galeano, Diego","História, Ciências, Saúde-Manguinhos; 23(); 171-194","História, Ciências, Saúde-Manguinhos","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-59702016000900171&lang=pt" 
"S1659-29132016000200020-cri","La &quot;sofisticación&quot; como dimensión de cambio en el desarrollo de la epistemología personal","Ruiz-Danegger, Constanza, Fernández-Acevedo, Yolanda, Moreno, José Eduardo","Revista Costarricense de Psicología; 35(2); 20-36","Revista Costarricense de Psicología","Espanhol","2016","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1659-29132016000200020&lang=pt" 
"S1870-39252016000300005-mex","Un acercamiento a los actores ribereños en la pesca de camarón en San Felipe, Baja California","López Torres, Virginia Guadalupe, Moreno Moreno, Luis Ramón, Marín Vargas, Ma. Enselmina","Región y sociedad; 28(67); 5-44","Región y sociedad","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-39252016000300005&lang=pt" 
"S1806-48922016000400609-scl","A influência das competências comportamentais dos líderes de projetos no desempenho de projetos Seis Sigma","Marzagão, Daniela Santana Lambert, Carvalho, Marly M.","Revista brasileira de gestão de negócios; 18(62); 609-632","Revista brasileira de gestão de negócios","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-48922016000400609&lang=pt" 
"S0036-36342016000600666-mex","Desigualdad en indicadores de enfermedades crónicas y su atención en adultos en México: análisis de tres encuestas de salud","Gutiérrez, Juan Pablo, García-Saisó, Sebastián, Espinosa-de la Peña, Rodrigo, Balandrán, Dulce Alejandra","Salud Pública de México; 58(6); 666-675","Salud Pública de México","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342016000600666&lang=pt" 
"S0036-36342016000600657-mex","Desigualdad en indicadores de comportamientos de riesgo en adolescentes en México: análisis de dos encuestas de salud","Gutiérrez, Juan Pablo, García-Saisó, Sebastián, Espinosa-de la Peña, Rodrigo, Balandrán, Dulce Alejandra","Salud Pública de México; 58(6); 657-665","Salud Pública de México","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342016000600657&lang=pt" 
"S1870-05782016000200093-mex","The digital divide in mexico: a mirror of poverty","Mecinas Montiel, Juan Manuel","Mexican law review; 9(1); 93-102","Mexican law review","Inglês","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-05782016000200093&lang=pt" 
"S0036-36342016000600617-mex","Validity of a food frequency questionnaire to assess food intake in Mexican adolescent and adult population","Denova-Gutiérrez, Edgar, Ramírez-Silva, Ivonne, Rodríguez-Ramírez, Sonia, Jiménez-Aguilar, Alejandra, Shamah-Levy, Teresa, Rivera-Dommarco, Juan A","Salud Pública de México; 58(6); 617-628","Salud Pública de México","Inglês","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342016000600617&lang=pt" 
"S0036-36342016000600648-mex","Desigualdad en indicadores de resultados y acceso a la salud para niños en México: análisis de tres encuestas de salud","Gutiérrez, Juan Pablo, García-Saisó, Sebastián, Espinosa-de la Peña, Rodrigo, Balandrán, Dulce Alejandra","Salud Pública de México; 58(6); 648-656","Salud Pública de México","Espanhol","2016","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342016000600648&lang=pt" 
