"S1690-32932015000100006-ven","Algunos factores de riesgo asociados a la mortalidad neonatal en el Hospital Central de Maracay, 2012","Tang P, Maily, González, Nelly, Lugo, Luisana, Medina, Yeisiret, Mendoza, Lisbesith, Vargas, Cindy","Comunidad y Salud; 13(1); 38-45","Comunidad y Salud","Espanhol","2015","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-32932015000100006&lang=pt" 
"S1690-32932015000100009-ven","Tumor solido pseudopapilar de pancreas. tumor de frantz: Reporte de un caso","López Añez, José G, González- Vilar, Verónica, Duque Yonekura, Mónica, González-Duque, Rafael A, Vargas-González, Ana V","Comunidad y Salud; 13(1); 60-63","Comunidad y Salud","Espanhol","2015","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-32932015000100009&lang=pt" 
"S1690-32932015000100005-ven","Tenosinovitis estenosante digital en pacientes de un Hospital Universitario","Flores, Jelimar, Ortunio C, Magaly, Agreda, Luis, Guevara R, Harold, Cardozo, Rosa, Rada, Luisana","Comunidad y Salud; 13(1); 29-37","Comunidad y Salud","Espanhol","2015","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-32932015000100005&lang=pt" 
"S1690-32932015000100011-ven","Riesgo de cáncer de mama en mujeres con patología mamaria benigna","Fernández T, Ángel, Reigosa Y, Aldo","Comunidad y Salud; 13(1); 78-86","Comunidad y Salud","Espanhol","2015","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-32932015000100011&lang=pt" 
"S1690-32932015000100003-ven","Papanicolaou y citología líquida en diagnóstico de cáncer de cérvix: Hospital Civil de Maracay. 2012","Contreras H, Rosa","Comunidad y Salud; 13(1); 12-22","Comunidad y Salud","Espanhol","2015","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-32932015000100003&lang=pt" 
"S1690-32932015000100004-ven","Seroepidemiología de toxoplasmosis en habitantes de el viñedo, Maracay, Estado Aragua","Fernández Fernández, José, Aguiar, Becky, Borges, Ivonne","Comunidad y Salud; 13(1); 23-28","Comunidad y Salud","Espanhol","2015","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-32932015000100004&lang=pt" 
"S1690-32932015000100010-ven","Violencia y salud colectiva: un desafío antropológico sociocultural","Sosa Sánchez, Gerónimo, Sosa Lugo, Gerónimo Josué","Comunidad y Salud; 13(1); 64-77","Comunidad y Salud","Espanhol","2015","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-32932015000100010&lang=pt" 
"S0120-04882015000100022-col","First record of Americabaetis alphus (Insecta: Ephemeroptera: Baetidae)from Colombia","GUTIÉRREZ, YEISSON, LLANO, CAMILO A.","Revista Colombiana de Entomología; 41(1); 147-148","Revista Colombiana de Entomología","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-04882015000100022&lang=pt" 
"S0120-04882015000100024-col","Tres casos teratológicos en miriápodos chilenos","VEGA-ROMÁN, EMMANUEL, HUGO-RUIZ, VÍCTOR","Revista Colombiana de Entomología; 41(1); 153-155","Revista Colombiana de Entomología","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-04882015000100024&lang=pt" 
"S0120-04882015000100002-col","Development and predatory capacity of Chrysoperla externa (Neuroptera: Chrysopidae) larvae at different temperatures","FONSECA, ALYSSON R., CARVALHO, CÉSAR F., CRUZ, IVAN, SOUZA, BRÍGIDA, ECOLE, CARLOS C.","Revista Colombiana de Entomología; 41(1); 4-11","Revista Colombiana de Entomología","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-04882015000100002&lang=pt" 
"S0120-04882015000100003-col","Damage caused by Conotrachelus psidii (Coleóptera: Curculionidae) to the fruits of feijoa (Acca sellowiana)","MACHADO DA ROSA, JOATAN, CARISSIMI BOFF, MARI INÊS, ZANELATO NUNES, MARCELO, AGOSTINETTO, LENITA, BOFF, PEDRO","Revista Colombiana de Entomología; 41(1); 12-17","Revista Colombiana de Entomología","Inglês","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-04882015000100003&lang=pt" 
"S0120-04882015000100015-col","Beauveria bassiana y Metarhizium anisopliae para el control de brocadel café en frutos del suelo","JARAMILLO, JORGE L., MONTOYA, ESTHER C., BENAVIDES, PABLO, GÓNGORA B., CARMENZA E.","Revista Colombiana de Entomología; 41(1); 95-104","Revista Colombiana de Entomología","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-04882015000100015&lang=pt" 
