"S1413-78522013000400005-scl","Avaliação estática do posicionamento escapular em indivíduos normais","Pontin, José Carlos Baldocchi, Stadniky, Simone Pivaro, Suehara, Paula Tiaki, Costa, Thiago Ragusa, Chamlian, Therezinha Rosane","Acta Ortopédica Brasileira; 21(4); 208-212","Acta Ortopédica Brasileira","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522013000400005&lang=pt" 
"S1413-78522013000400006-scl","Análise da prevalência de lesões em surfistas do litoral paranaense","Moraes, Gabriela Chueiri de, Guimarães, Ana Tereza Bittencourt, Gomes, Anna Raquel Silveira","Acta Ortopédica Brasileira; 21(4); 213-218","Acta Ortopédica Brasileira","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522013000400006&lang=pt" 
"S1413-78522013000400007-scl","Retalhos de rotação para cobertura após artroplastia total de joelho","Pozzobon, Leonardo Rafael, Helito, Camilo Partezani, Guimarães, Tales Mollica, Gobbi, Riccardo Gomes, Pécora, José Ricardo, Camanho, Gilberto Luis","Acta Ortopédica Brasileira; 21(4); 219-222","Acta Ortopédica Brasileira","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522013000400007&lang=pt" 
"S1413-78522013000400008-scl","Epidemiologia da escoliose idiopática do adolescente em alunos da rede pública de Goiânia-GO","Souza, Fabiano Inácio de, Ferreira, Rodrigo Borges Di, Labres, Daniel, Elias, Rafael, Sousa, Ana Patrícia Miranda de, Pereira, Rafaela Ernesto","Acta Ortopédica Brasileira; 21(4); 223-225","Acta Ortopédica Brasileira","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522013000400008&lang=pt" 
"S1413-78522013000400010-scl","Expressão imuno-histoquímica das proteínas VEGF e HER-2 em biópsias de osteossarcoma","Becker, Ricardo Gehrke, Galia, Carlos Roberto, Morini, Sandra, Viana, Cristiano Ribeiro","Acta Ortopédica Brasileira; 21(4); 233-238","Acta Ortopédica Brasileira","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522013000400010&lang=pt" 
"S1413-78522013000400009-scl","Desfechos clínicos de tratamento cirúrgico de más uniões ou não consolidadas do tálus","Chen, Da-wei, Li, Bing, Yang, Yun-feng, Zhou, Jia-qian, Li, Hai-feng, Aubeeluck, Ashwin, Yu, Guang-rong","Acta Ortopédica Brasileira; 21(4); 226-232","Acta Ortopédica Brasileira","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522013000400009&lang=pt" 
"S1983-41952013000400004-scl","Chloride accelerated test: influence of silica fume, water/binder ratio and concrete cover thickness","Pereira, E., Resende, A., Medeiros, M. H. F. de, Meneghetti, L. C.","Revista IBRACON de Estruturas e Materiais; 6(4); 561-581","Revista IBRACON de Estruturas e Materiais","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952013000400004&lang=pt" 
"S1983-41952013000400005-scl","Evaluation of the effect of varying the workability in concrete pore structure by using X-ray microtomography","Bernardes, E. E., Magalhães, A. G. de, Vasconcelos, W. L., Nunes, E. H. M.","Revista IBRACON de Estruturas e Materiais; 6(4); 582-597","Revista IBRACON de Estruturas e Materiais","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952013000400005&lang=pt" 
"S1983-41952013000400006-scl","Post-cracking behavior of blocks, prisms, and small concrete walls reinforced with plant fiber","Soto, I. I., Ramalho, M. A., Izquierdo, O. S.","Revista IBRACON de Estruturas e Materiais; 6(4); 598-612","Revista IBRACON de Estruturas e Materiais","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952013000400006&lang=pt" 
"S1983-41952013000400008-scl","Analysis of the assembling phase of lattice slabs","Sartorti, A. L., Fontes, A. C., Pinheiro, L. M.","Revista IBRACON de Estruturas e Materiais; 6(4); 623-660","Revista IBRACON de Estruturas e Materiais","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952013000400008&lang=pt" 
"S1983-41952013000400009-scl","Influence of stone cutting waste and ground waste clay brick on the hydration and packing density of cement pastes","Rocha, C. A. A., Cordeiro, G. C., Toledo Filho, R. D.","Revista IBRACON de Estruturas e Materiais; 6(4); 661-680","Revista IBRACON de Estruturas e Materiais","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-41952013000400009&lang=pt" 
"S0101-31732013000200002-scl","La transformación de la doctrina de la virtud moral en el pensamiento de Juan Duns Escoto","Cuccia, Emiliano Javier","Trans/Form/Ação; 36(2); 9-22","Trans/Form/Ação","Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31732013000200002&lang=pt" 
"S0101-31732013000200003-scl","O Compêndio de Gramática Hebraica de Espinosa é uma obra more geometrico demonstrata?","Santiago, Homero","Trans/Form/Ação; 36(2); 23-44","Trans/Form/Ação","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31732013000200003&lang=pt" 
"S0101-31732013000200004-scl","The conclusion of the deduction of taste in the dialectic of the power of judgment aesthetic in Kant","Sánchez, Manuel","Trans/Form/Ação; 36(2); 45-62","Trans/Form/Ação","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31732013000200004&lang=pt" 
"S0101-31732013000200005-scl","O pensamento de Marx sobre a subjetividade","Chagas, Eduardo F.","Trans/Form/Ação; 36(2); 63-84","Trans/Form/Ação","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31732013000200005&lang=pt" 
"S0101-31732013000200006-scl","Acerca de cierta experiencia de lo histórico en Hegel","Cea, Francisco Abalo","Trans/Form/Ação; 36(2); 85-104","Trans/Form/Ação","Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31732013000200006&lang=pt" 
"S0101-31732013000200007-scl","O homem vazio: uma crítica ao utilitarismo","Andrade, Érico","Trans/Form/Ação; 36(2); 105-122","Trans/Form/Ação","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31732013000200007&lang=pt" 
"S0101-31732013000200009-scl","A atualidade da discussão sobre a indústria cultural em Theodor W. Adorno","Costa, Jean Henrique","Trans/Form/Ação; 36(2); 135-154","Trans/Form/Ação","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31732013000200009&lang=pt" 
"S0101-31732013000200010-scl","Estruturas e fundamentos sociais: a leitura honnethiana de Habermas","Silva, Hélio Alexandre da, Ravagnani, Herbert Barucci","Trans/Form/Ação; 36(2); 155-178","Trans/Form/Ação","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31732013000200010&lang=pt" 
"S0101-31732013000200011-scl","A proposta de uma teoria geral de princípios de abstração: uma contribuição à fundamentação da aritmética","Pontes, André Nascimento","Trans/Form/Ação; 36(2); 179-194","Trans/Form/Ação","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31732013000200011&lang=pt" 
"S0101-31732013000200012-scl","Oscilações entre o reducionismo e o fisicalismo não-redutivo no naturalismo biológico de John Searle","Prata, Tárik de Athayde, Lima Filho, Maxwell Morais de","Trans/Form/Ação; 36(2); 195-218","Trans/Form/Ação","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31732013000200012&lang=pt" 
"S1413-78522013000400002-scl","Correlação tomográfica da técnica de magerl para artrodese C1-C2 na artrite reumatoide","Marchese, Luiz Roberto Delboni, Bonadio, Marcelo Batista, Letaif, Olavo Biraghi, Cristante, Alexandre Fogaça, Oliveira, Reginaldo Perilo, Barros Filho, Tarcísio Eloy Pessoa de","Acta Ortopédica Brasileira; 21(4); 195-197","Acta Ortopédica Brasileira","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522013000400002&lang=pt" 
"S1413-78522013000400004-scl","Avaliação da qualidade de vida com o instrumento SF-36 em lombalgia crônica","Adorno, Marta Lúcia Guimarães Resende, Brasil-Neto, Joaquim Pereira","Acta Ortopédica Brasileira; 21(4); 202-207","Acta Ortopédica Brasileira","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-78522013000400004&lang=pt" 
"S0101-31732013000200013-scl","Indeterminação e fenômenos fronteiriços: considerações segundo o ponto de vista do pragmatismo peirceano","Pires, Jorge de Barros, Silveira, Lauro Frederico Barbosa da","Trans/Form/Ação; 36(2); 219-240","Trans/Form/Ação","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31732013000200013&lang=pt" 
"S1029-30192013000800001-cub","Ancianos con diabetes mellitus de tipo 2: retos actuales para la salud pública cubana","Casanova Moreno, María de la Caridad, Trasancos Delgado, Maricela","MEDISAN; 17(8); 2093-2095","MEDISAN","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192013000800001&lang=pt" 
"S1029-30192013000800002-cub","Caracterización clinicoepidemiológica de la prediabetes","Girón Bombull, José Antonio, Fernández González, Adis, Trujillo Feliciano, Yudith, Ramos Labrada, Norberto, Silva Durán, Oscar","MEDISAN; 17(8); 2096-3000","MEDISAN","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192013000800002&lang=pt" 
"S1029-30192013000800003-cub","Primer hallazgo de Aedes albopictus en el área metropolitana de Honduras","Mesa Despaigne, Arelis, Alvarado Padilla, Gerardo, Alberto Maradiaga, Juan, Ramos Rosales, Raúl Antonio","MEDISAN; 17(8); 3001-3009","MEDISAN","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192013000800003&lang=pt" 
"S1029-30192013000800004-cub","Calidad de la atención médica a las personas que viven con VIH/sida.","Soler Santana, Raxsy, Malfrán García, María Dolores, Carbonell García, Isabel Cristina, Soler Santana, Ángel Luís, Díaz Cantún, Carlos Luís","MEDISAN; 17(8); 3010-3017","MEDISAN","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192013000800004&lang=pt" 
"S1029-30192013000800005-cub","Caracterización de los pacientes con enfermedad de Hansen en un área de salud del municipio de Songo-La Maya","Gámez Sánchez, Donelia, Ferrer Betancourt, María Julia, Fonseca Montoya, Noelia","MEDISAN; 17(8); 3018-3022","MEDISAN","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192013000800005&lang=pt" 
"S1029-30192013000800006-cub","Intensidad del dolor en pacientes con cáncer según etapas clínicas en el municipio de Manzanillo","Larramendi Balva, Joe, Gutiérrez Zamora, Damaris, Futiel O&#039;Farril, Niurka, Frías Tamayo, Javier Angel, Peña Anglín, Martha","MEDISAN; 17(8); 3023-3028","MEDISAN","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192013000800006&lang=pt" 
"S1029-30192013000800007-cub","Indicadores del bajo peso al nacer en el área de salud del Policlínico Docente &quot;José Martí Pérez&quot; en 2012","Argota Matos, Nolvis, Magre Carballo, Nelsi Irene, Marín Miyares, Víctor, de la Cruz Mejías, Yuney, Vargas Pimienta, Ailén","MEDISAN; 17(8); 3029-3034","MEDISAN","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192013000800007&lang=pt" 
"S1029-30192013000800008-cub","Características histomorfométricas de la leucoplasia bucal homogénea","Izaguirre Bordelois, Marioneya, Soriano González, Blanca Inés","MEDISAN; 17(8); 3035-3041","MEDISAN","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192013000800008&lang=pt" 
"S1029-30192013000800009-cub","Características clínicas y epidemiológicas de la epidemia de dengue en el municipio de Santiago de Cuba","Macías Miranda, Cecilia Dolores, Gámez Sánchez, Donelia, Rodríguez Valdés, Adriana, Baquero Suárez, Jacqueline","MEDISAN; 17(8); 3042-3048","MEDISAN","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192013000800009&lang=pt" 
"S1029-30192013000800010-cub","Caracterización clínica y quirúrgica de pacientes con enfermedad arterial periférica aortoilíaca","Ortiz Limonta, David, Sánchez De la Guardia, Dalia, Chércoles Cazate, Lilia","MEDISAN; 17(8); 3049-3059","MEDISAN","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192013000800010&lang=pt" 
"S1029-30192013000800011-cub","Condiloma acuminado en adolescentes y adultos jóvenes del área de salud &quot;Tula Aguilera&quot; en el municipio de Camagüey","Aranda Ramos, Dora Ester, López Sifontes, Manuel, Leyva, Luz Angélica, Delgado Ceballos, Rita María","MEDISAN; 17(8); 3060-3067","MEDISAN","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1029-30192013000800011&lang=pt" 
