"S1516-05722014000300009-scl","Characterization and anti-staphylococcal activity of the essential oil from Turnera subulata Sm.","Fernandes, M.G., Gomes, R.A., Brito-Filho, S.G., Silva-Filho, R.N., Agra, M.F., Falcão-Silva, V.S., Siqueira-Junior, J.P., Vieira, M.A.R., Marques, M.O.M., Souza, M.F.V.","Revista Brasileira de Plantas Medicinais; 16(3); 534-538","Revista Brasileira de Plantas Medicinais","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000300009&lang=pt" 
"S1516-05722014000300020-scl","Plantas medicinais no processo de cicatrização de feridas: uma revisão de literatura","Piriz, M.A., Lima, C.A.B., Jardim, V.M.R., Mesquita, M.K., Souza, A.D.Z., Heck, R.M","Revista Brasileira de Plantas Medicinais; 16(3); 628-636","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000300020&lang=pt" 
"S1516-05722014000300018-scl","Pimenta pseudocaryophyllus (Gomes) Landrum: aspectos botânicos, ecológicos, etnobotânicos e farmacológicos","D&#039;angelis, A.S.R., Negrelle, R.R.B.","Revista Brasileira de Plantas Medicinais; 16(3); 607-617","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000300018&lang=pt" 
"S1516-05722014000300014-scl","Preparados homeopáticos e ambiente de cultivo na produção e rendimento de quercetina em carqueja [Baccharis trimera (Less) DC.]","Capra, R.S., Gratão, A.S., Freitas, G.B., Leite, M.N.","Revista Brasileira de Plantas Medicinais; 16(3); 566-573","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000300014&lang=pt" 
"S1516-05722014000300015-scl","Estudo farmacognóstico de folhas e raízes da Spiranthera odoratissima A. St.-Hil. (Rutaceae)","Matos, L.G., Fiuza, T.S., Tresvenzol, L.M.F., Rezende, M.H., Bara, M.T.F., Silveira, E.N., Costa, E.A., Paula, J.R","Revista Brasileira de Plantas Medicinais; 16(3); 574-584","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000300015&lang=pt" 
"S1516-05722014000300016-scl","Atividade biológica do extrato hidroalcoólico de Bauhinia forficata Link sobre Herpetomonas samuelpessoai (Galvão.) Roitman","Pereira, A.C.S., Ribeiro, G.E., Souza, L.C.R., Rufino, L.R.A., Cabral, I.S.R., Boriollo, M.F.G., Nogueira, D.A., Oliveira, N.M.S., Fiorini, J.E.","Revista Brasileira de Plantas Medicinais; 16(3); 585-592","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000300016&lang=pt" 
"S1516-05722014000300010-scl","Antifungal activity using medicinal plant extracts against pathogens of coffee tree","Silva, J.L., Souza, P. E., Monteiro, F. P., Freitas, M. L. O., Silva Júnior, M. B., Belan, L. L.","Revista Brasileira de Plantas Medicinais; 16(3); 539-544","Revista Brasileira de Plantas Medicinais","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000300010&lang=pt" 
"S1516-05722014000300011-scl","Soluções de alho (Allium sativum L.) no controle de nematódeos gastrintestinais em bovinos jovens da raça Holandesa","Parra, C.L.C., Olivo, C.J., Agnolin, C.A., Sangioni, L.A., Buzatti, A., Pivoto, F.L.","Revista Brasileira de Plantas Medicinais; 16(3); 545-551","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000300011&lang=pt" 
"S1516-05722014000300012-scl","Produção de óleo essencial de Melissa officinalis L. em diferentes épocas, sistemas de cultivo e adubações","Luz, J.M.Q., Silva, S.M., Habber, L.L., Marquez, M.O.M.","Revista Brasileira de Plantas Medicinais; 16(3); 552-560","Revista Brasileira de Plantas Medicinais","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-05722014000300012&lang=pt" 
"S1415-65552014000500577-scl","Determinantes Nacionais e Setoriais da Estrutura de Capital na América Latina","Martins, Henrique Castro, Terra, Paulo Renato Soares","Revista de Administração Contemporânea; 18(5); 577-597","Revista de Administração Contemporânea","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552014000500577&lang=pt" 
