"S0365-05962015000200185-scl","Epidemiology of Melanoma in the South of Brazil: study of a city in the Vale do Itajaí from 1999 to 2013","Lima, Adma Silva de, Stein, Carlos Efrain, Casemiro, Karla Patricia, Rovere, Rodrigo Kraft","Anais Brasileiros de Dermatologia; 90(2); 185-189","Anais Brasileiros de Dermatologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962015000200185&lang=pt" 
"S0365-05962015000200178-scl","Dermoscopic and Clinical Features of Pigmented Skin Lesions of the Genital Area","Cengiz, Fatma Pelin, Emiroglu, Nazan, Wellenhof, Rainer Hofmann","Anais Brasileiros de Dermatologia; 90(2); 178-183","Anais Brasileiros de Dermatologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962015000200178&lang=pt" 
"S0365-05962015000200169-scl","Evaluation of the social, clinical and laboratorial profile of patients diagnosed with leprosy in a reference center in São Paulo","Porto, Ana Carolina Souza, Figueira, Renata Borges Fortes Costa, Barreto, Jaison Antônio, Lauris, José Roberto Pereira","Anais Brasileiros de Dermatologia; 90(2); 169-177","Anais Brasileiros de Dermatologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962015000200169&lang=pt" 
"S0365-05962015000200157-scl","Skin changes after bariatric surgery","Manzoni, Ana Paula Dornelles da Silva, Weber, Magda Blessmann","Anais Brasileiros de Dermatologia; 90(2); 157-166","Anais Brasileiros de Dermatologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962015000200157&lang=pt" 
"S0365-05962015000200202-scl","Teledermatology protocol for screening of Skin Cancer","Piccoli, Maria Fernanda, Amorim, Bruna Dücker Bastos, Wagner, Harley Miguel, Nunes, Daniel Holthausen","Anais Brasileiros de Dermatologia; 90(2); 202-210","Anais Brasileiros de Dermatologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962015000200202&lang=pt" 
"S0365-05962015000200217-scl","Nutritional aspects of children and adolescents with epidermolysis bullosa: literature review","Zidorio, Ana Paula Caio, Dutra, Eliane Said, Leão, Dryelle Oliveira Dias, Costa, Izelda Maria Carvalho","Anais Brasileiros de Dermatologia; 90(2); 217-223","Anais Brasileiros de Dermatologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962015000200217&lang=pt" 
"S1815-59362015000100001-cub","Nota Editorial","Cuesta-Santos, Armando","Ingeniería Industrial; 36(1); 1-1","Ingeniería Industrial","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1815-59362015000100001&lang=pt" 
"S1415-43662015000400343-scl","A eficiência na produção de biomassa e grãos de aveia pelo uso do nitrogênio","Mantai, Rubia D., Silva, José A. G. da, Sausen, Airam T. Z. R., Costa, Juliane S. P., Fernandes, Sandra B. V., Ubessi, Cassiane","Revista Brasileira de Engenharia Agrícola e Ambiental; 19(4); 343-349","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662015000400343&lang=pt" 
"S1415-43662015000400324-scl","Soro ácido de leite como fonte de nutrientes para o milho","Mantovani, José R., Carrera, Marciza, Landgraf, Paulo R. C., Miranda, José M.","Revista Brasileira de Engenharia Agrícola e Ambiental; 19(4); 324-329","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662015000400324&lang=pt" 
"S1415-43662015000400317-scl","Produtividade de capim Tifton 85 sob irrigação e doses de nitrogênio","Gomes, Eder P., Rickli, Max E., Cecato, Ulysses, Vieira, Camila V., Sapia, Juliano G., Sanches, Arthur C.","Revista Brasileira de Engenharia Agrícola e Ambiental; 19(4); 317-323","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662015000400317&lang=pt" 
"S1415-43662015000400309-scl","Atributos físicos do solo em sistemas de integração lavoura-pecuária-floresta","Assis, Paula C. R., Stone, Luís F., Medeiros, João C., Madari, Beata E., Oliveira, Janína de M., Wruck, Flávio J.","Revista Brasileira de Engenharia Agrícola e Ambiental; 19(4); 309-316","Revista Brasileira de Engenharia Agrícola e Ambiental","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-43662015000400309&lang=pt" 
