"S1806-11172015000400501-scl","História da ciência na sala de aula: Uma sequência didática sobre o conceito de inércia","Monteiro, Midiã M., Martins, André Ferrer P.","Revista Brasileira de Ensino de Física; 37(4); 4501-1-4501-9","Revista Brasileira de Ensino de Física","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172015000400501&lang=pt" 
"S1413-82712015000300399-scl","Personal and Collective Efficacy Beliefs Scales to Educators: Evidences of Validity","Casanova, Daniela Couto Guerreiro, Azzi, Roberta Gurgel","Psico-USF; 20(3); 399-409","Psico-USF","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712015000300399&lang=pt" 
"S1414-98932015000401089-scl","A Interação Terapêutica em Intervenções com Universitários com Transtorno de Ansiedade Social","Garcia, Vagner Angelo, Bolsoni-Silva, Alessandra Turini, Nobile, Glaucia Fernanda Galeazzi","Psicologia: Ciência e Profissão; 35(4); 1089-1105","Psicologia: Ciência e Profissão","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932015000401089&lang=pt" 
"S0104-44782015000400149-scl","Engajamento cívico e escolaridade superior: as eleições de 2014 e o comportamento político dos brasileiros","Dias, André Luiz Vieira, Kerbauy, Maria Teresa Miceli","Revista de Sociologia e Política; 23(56); 149-181","Revista de Sociologia e Política","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782015000400149&lang=pt" 
"S1806-11172015000400312-scl","Radiação quilométrica auroral","Costa Junior, Edio da, Alves, Maria Virgínia","Revista Brasileira de Ensino de Física; 37(4); 4312-1-4312-13","Revista Brasileira de Ensino de Física","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172015000400312&lang=pt" 
"S0085-56262015000400274-scl","Coleoptera species of forensic importance from Brazil: an updated list","Almeida, Lúcia Massutti de, Corrêa, Rodrigo César, Grossi, Paschoal Coelho","Revista Brasileira de Entomologia; 59(4); 274-284","Revista Brasileira de Entomologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262015000400274&lang=pt" 
"S0085-56262015000400343-scl","Host plants of Chrysodeixis includens (Walker) (Lepidoptera, Noctuidae, Plusiinae)","Specht, Alexandre, Paula-Moraes, Silvana Vieira de, Sosa-Gómez, Daniel Ricardo","Revista Brasileira de Entomologia; 59(4); 343-345","Revista Brasileira de Entomologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262015000400343&lang=pt" 
"S1413-82712015000300505-scl","Quality of Life and Depressive Symptomatology in Mothers of Individuals with Autism","Piovesan, Josieli, Scortegagna, Silvana Alba, Marchi, Ana Carolina Bertoletti De","Psico-USF; 20(3); 505-515","Psico-USF","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712015000300505&lang=pt" 
"S1688-74682015000200001-ury","APRENDIZAJE CONSTRUCTIVO, AUTORREGULADO, SITUADO Y COLABORATIVO: UN ACERCAMIENTO A LA ADQUISICIÓN DE LA COMPETENCIA ADAPTATIVA (MATEMÁTICA)","DE CORTE, ERIK","Páginas de Educación; 8(2); 1-35","Páginas de Educación","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-74682015000200001&lang=pt" 
"S0085-56262015000400307-scl","External morphology of immature stages of Zaretis strigosus (Gmelin) and Siderone galanthis catarina Dottax and Pierre comb. nov., with taxonomic notes on Siderone (Lepidoptera: Nymphalidae: Charaxinae)","Dias, Fernando Maia Silva, Oliveira-Neto, José Francisco de, Casagrande, Mirna Martins, Mielke, Olaf Hermann Hendrik","Revista Brasileira de Entomologia; 59(4); 307-319","Revista Brasileira de Entomologia","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262015000400307&lang=pt" 
"S1688-74682015000200004-ury","SEGREGACIÓN URBANA EN LA CIUDAD DE MONTEVIDEO: INVERSIÓN EN CAPITAL HUMANO, ACCESO AL CAPITAL SOCIAL E IMPACTO EN LA OBTENCIÓN DEL PRIMER EMPLEO","MENESE CAMARGO, PABLO, AGUIRRE, FLORENCIA","Páginas de Educación; 8(2); 89-120","Páginas de Educación","Espanhol","2015","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-74682015000200004&lang=pt" 
