"S1807-55092014000400561-scl","Positive effects of auditory cue in locomotor pattern of people with Parkinson’s disease (off and on medication)","Rinaldi, Natalia Madalena, Pereira, Marcelo Pinto, Formaggio, Priscila Matias, Morais, Luana Carolina, Gobbi, Lilian Teresa Bucken","Revista Brasileira de Educação Física e Esporte; 28(4); 561-570","Revista Brasileira de Educação Física e Esporte","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-55092014000400561&lang=pt" 
"S1518-76322014000300577-scl","INFERENCES AND INTERFACES: VALIDITY AND RELEVANCE","Costa, Jorge Campos da, Strey, Claudia","Linguagem em (Dis)curso; 14(3); 577-594","Linguagem em (Dis)curso","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322014000300577&lang=pt" 
"S1518-76322014000300653-scl","ORDENS DE INDEXICALIDADE MOBILIZADAS NAS PERFORMANCES DISCURSIVAS DE UM GAROTO DE PROGRAMA: SER NEGRO E HOMOERÓTICO","Melo, Glenda Cristina Valim de, Lopes, Luiz Paulo da Moita","Linguagem em (Dis)curso; 14(3); 653-673","Linguagem em (Dis)curso","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322014000300653&lang=pt" 
"S1518-76322014000300531-scl","INFERENCES IN ADVERTISEMENTS: EXEMPLIFYING WITH RELEVANCE THEORY","Silveira, Jane Rita Caetano da, Ibaños, Ana Maria Tramunt","Linguagem em (Dis)curso; 14(3); 531-543","Linguagem em (Dis)curso","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322014000300531&lang=pt" 
"S1518-76322014000300675-scl","A CRÔNICA BRASILEIRA TECIDA PELA HISTÓRIA, PELO JORNALISMO E PELA LITERATURA","Siebert, Silvânia","Linguagem em (Dis)curso; 14(3); 675-685","Linguagem em (Dis)curso","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322014000300675&lang=pt" 
"S1518-76322014000300473-scl","WHAT WORDS MEAN IS A MATTER OF WHAT PEOPLE MEAN BY THEM*","Wharton, Tim","Linguagem em (Dis)curso; 14(3); 473-488","Linguagem em (Dis)curso","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322014000300473&lang=pt" 
"S1518-76322014000300619-scl","REPRESENTAR E INTERVIR: LINGUAGEM, PRÁTICA DISCURSIVA E PERFORMATIVIDADE","Rocha, Décio","Linguagem em (Dis)curso; 14(3); 619-632","Linguagem em (Dis)curso","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322014000300619&lang=pt" 
"S1807-55092014000400683-scl","Teto metabólico como indicador de capacidade de tolerância ao esforço físico: importância da capacidade oxidativa de reserva","Pereira, Benedito","Revista Brasileira de Educação Física e Esporte; 28(4); 683-689","Revista Brasileira de Educação Física e Esporte","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-55092014000400683&lang=pt" 
"S0101-31732014000300009-scl","Antes que houvesse clérigos","Souza, José Antônio de C. R. de","Trans/Form/Ação; 37(3); 87-110","Trans/Form/Ação","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31732014000300009&lang=pt" 
"S0101-31732014000300004-scl","La classificazione aristotelica delle scienze in Pietro d&#039;Abano","Berti, Enrico","Trans/Form/Ação; 37(3); 17-32","Trans/Form/Ação","Italiano","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-31732014000300004&lang=pt" 
"S1518-76322014000300545-scl","THE COMMUNICATIVE RELEVANCE IN FICTIONAL DISCOURSE","Godoy, Elena, Ferreira, Rodrigo Bueno","Linguagem em (Dis)curso; 14(3); 545-556","Linguagem em (Dis)curso","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1518-76322014000300545&lang=pt" 
