"S0864-34662015000100015-cub","Primer caso de meningitis por Streptococcus equi subsp. zooepidemicus en Cuba","Toraño Peraza, Gilda, Arias Portales, Itciar, Castillo Marshall, Ariadna, Brossard Alejo, Gardenia","Revista Cubana de Salud Pública; 41(1); -","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000100015&lang=pt" 
"S0864-34662015000100014-cub","Migración de profesionales","Araujo Bernal, Leopoldo, Rodríguez Gavaldá, Rubén","Revista Cubana de Salud Pública; 41(1); -","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000100014&lang=pt" 
"S0864-34662015000100017-cub","Bases legales y proyecciones de desarrollo de la metrología en el Sistema Nacional de Salud","Mejías Sánchez, Yoerquis, Morales Suárez, Ileana, Perera Vandrell, Sebastián","Revista Cubana de Salud Pública; 41(1); -","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000100017&lang=pt" 
"S0864-34662015000100016-cub","Acerca del artículo &quot;Criterios para un debate sobre la existencia de una Escuela Cubana de Epidemiología&quot;","Ramis Andalia, Rina","Revista Cubana de Salud Pública; 41(1); -","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000100016&lang=pt" 
"S0864-34662015000100011-cub","Primer Centro Especializado Ambulatorio en Cuba y sus resultados en tres años de trabajo","Falcón Hernández, Arelys, Navarro Machado, Víctor René, Molina Lois, Rosa Mirta, Morejón Barroso, Omar, Araña Hernández, Yunia, Reyes Cabrera, Helvia","Revista Cubana de Salud Pública; 41(1); -","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000100011&lang=pt" 
"S0864-34662015000100010-cub","Enfoque sistémico del clima organizacional y su aplicación en salud pública","Segredo Pérez, Alina María, García Milian, Ana Julia, López Puig, Pedro, León Cabrera, Pablo, Perdomo Victoria, Irene","Revista Cubana de Salud Pública; 41(1); -","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000100010&lang=pt" 
"S0864-34662015000100013-cub","El número de médicos en Cuba 1959-1968","Rojas Ochoa, Francisco","Revista Cubana de Salud Pública; 41(1); -","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000100013&lang=pt" 
"S0864-34662015000100012-cub","La investigación científica como misión académica de los hospitales públicos universitarios","Lucrecia Medina, Myriam, Gabriel Medina, Marcelo, Merino, Luis Antonio","Revista Cubana de Salud Pública; 41(1); -","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000100012&lang=pt" 
"S0864-34662015000100018-cub","Colegio de árbitros","","Revista Cubana de Salud Pública; 41(1); -","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000100018&lang=pt" 
"S1516-635X2015000100049-scl","Influence of european quail breeders age on egg quality, incubation, fertility and progeny performance","Santos, TC, Murakami, AE, Oliveira, CAL, Moraes, GV, Stefanello, C, Carneiro, TV, Feitosa, CCG, Kaneko, IN","Revista Brasileira de Ciência Avícola; 17(1); 49-56","Revista Brasileira de Ciência Avícola","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2015000100049&lang=pt" 
"S1516-635X2015000100121-scl","Errata","","Revista Brasileira de Ciência Avícola; 17(1); 121-121","Revista Brasileira de Ciência Avícola","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2015000100121&lang=pt" 
"S1516-635X2015000100045-scl","Heat-resistant bacterial phytase in broiler pelleted diets","Carlos, TC de F, Barbosa, LCGS, Shiroma, NN, Dari, RL, Baolin, G, Yongcheng, W, Araújo, CS da S, Araújo, LF","Revista Brasileira de Ciência Avícola; 17(1); 45-48","Revista Brasileira de Ciência Avícola","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2015000100045&lang=pt" 
"S1516-635X2015000100117-scl","Occurrence of infectious Laryngotracheitis Virus (ILTV) in 2009-2013 in the State of São Paulo - Brazil","Parra, SHS, Nuñez, LFN, Astolfi-Ferreira, CS, Ferreira, JP","Revista Brasileira de Ciência Avícola; 17(1); 117-120","Revista Brasileira de Ciência Avícola","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2015000100117&lang=pt" 
