"S0100-69162012000400020-scl","Calibration of angles of nozzles and deposition of an axial-flow sprayer on dwarf cashew","Mion, Renildo L., Sousa, Beatriz M. de, Cordeiro, Igor M., Sombra, Weberte A., Duarte, José M. de L., Lucas, Fidel C. B.","Engenharia Agrícola; 32(4); 802-809","Engenharia Agrícola","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162012000400020&lang=pt" 
"S0100-69162012000400011-scl","Water application uniformity and fertigation in a dripping irrigation set","Borssoi, Adilson L., Vilas Boas, Marcio A., Reisdörfer, Marcelo, Hernández, Ricardo H., Follador, Franciele A. C.","Engenharia Agrícola; 32(4); 718-726","Engenharia Agrícola","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162012000400011&lang=pt" 
"S0100-69162012000400007-scl","Effect of the application of different water depths and nitrogen and potassium doses on quality of Tanzania grass","Oliveira Filho, Jair da C., Oliveira, Rubens A. de, Oliveira, Ednaldo M. de, Cecon, Paulo R., Martins, Carlos E.","Engenharia Agrícola; 32(4); 679-688","Engenharia Agrícola","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162012000400007&lang=pt" 
"S0034-737X2012000400010-scl","Exogenous induction of ovarian activity and ovulation and transfer of fresh embryos of domestic cat (Felis catus)","Santana, Marcelo Lopes, Paula, Tarcízio Antônio Rego de, Costa, Eduardo Paulino da, Costa, Deiler Sampaio","Revista Ceres; 59(4); 499-505","Revista Ceres","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2012000400010&lang=pt" 
"S1010-27522012000200002-cub","Detección de infecciones mixtas en genotipos de caña de azúcar en Cuba","Zardón, María A, Gallo, Araíz, Mesa, José M, Arencibia, Ariel, Zamora, Loidy, Sautié, Miguel, Casas, Mario A, La O, María L","Revista de Protección Vegetal; 27(2); 77-84","Revista de Protección Vegetal","Espanhol","2012","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1010-27522012000200002&lang=pt" 
"S1981-81222012000200002-scl","Agriculturas amazônicas: cultivando plantas, saberes, paisagens e ideias","Robert, Pascale de, López, Claudia","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 7(2); 289-292","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222012000200002&lang=pt" 
"S1981-81222012000200012-scl","O Kapiwayá e seu lugar no universo músico-coreográfico-ritual em um clã Desana, alto rio Negro, Amazonas","Barros, Líliam Cristina da Silva","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 7(2); 509-523","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222012000200012&lang=pt" 
"S1981-81222012000200006-scl","Paisagens e etnoconhecimentos na agricultura Ticuna e Cocama no alto rio Solimões, Amazonas","Noda, Sandra do Nascimento, Martins, Ayrton Luiz Urizzi, Noda, Hiroshi, Silva, Antonia Ivanilce Castro da, Braga, Maria Dolores Souza","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 7(2); 397-416","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222012000200006&lang=pt" 
"S1981-81222012000200019-scl","Os Fulni-ô: múltiplos olhares em uma contribuição para o reconhecimento da sociodiversidade indígena no Brasil","Silva, Edson","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 7(2); 609-612","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222012000200019&lang=pt" 
"S1981-81222012000200011-scl","O povo que mede forças com a morte: os ilhéus de Tuvalu, no Pacífico Sul, e a subida das águas do mar","Madaleno, Isabel Maria","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas; 7(2); 493-508","Boletim do Museu Paraense Emílio Goeldi. Ciências Humanas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-81222012000200011&lang=pt" 
