"S1980-65232010000300008-scl","Internet usage among undergraduate dental students in India","Kumar, Santhosh, Tadakamadla, Jyothi, Tibdewal, Harish, Duraiswamy, Prabu, Kulkarni, Suhas","Revista Odonto Ciência; 25(3); 261-265","Revista Odonto Ciência","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65232010000300008&lang=pt" 
"S1980-65232010000300020-scl","The importance of early diagnosis and an accurate tumoral evaluation in the treatment of mandibular osteossarcoma","Ribeiro, André Luis Ribeiro, Nobre, Rafaela Moutinho, Alves Junior, Sérgio de Melo, Souza, Patricia de A. R. da Silva e, Silva Júnior, Newton Guerreiro da, Pinheiro, João de Jesus Viana","Revista Odonto Ciência; 25(3); 319-324","Revista Odonto Ciência","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65232010000300020&lang=pt" 
"S1980-65232010000100002-scl","The science transfer series: keeping up-to-date","Hatch, John P., Rugh, John D.","Revista Odonto Ciência; 25(1); 05-07","Revista Odonto Ciência","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65232010000100002&lang=pt" 
"S1980-65232010000300019-scl","Orthodontic treatment of a midline diastema related to mesiodens and thumb-sucking habit","Machado, André Wilson, Ambrosio, Aldrieli Regina, Caldas, Sergei Godeiro F. Rabelo, Gandini Júnior, Luiz Gonzaga","Revista Odonto Ciência; 25(3); 314-318","Revista Odonto Ciência","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65232010000300019&lang=pt" 
"S1980-65232010000300018-scl","Oral focal mucinosis: report of two cases","Madhusudhan, AS, Nagarajappa, Das, Manjunatha, BS, Swati, Saawarn, Charan Babu, HS","Revista Odonto Ciência; 25(3); 310-313","Revista Odonto Ciência","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65232010000300018&lang=pt" 
"S1980-65232010000300013-scl","Apical extrusion of debris after hand, engine-driven reciprocating and continuous preparation","Luisi, Simone Bonato, Zottis, Alice Cunegatti, Piffer, Caroline Scheeren, Vanzin, Andrea Cabral de Mello, Ligabue, Rosane Angélica","Revista Odonto Ciência; 25(3); 288-291","Revista Odonto Ciência","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65232010000300013&lang=pt" 
"S1980-65232010000300014-scl","Evaluation of pre-tightening in abutments and prosthetic screws on different implant connections","Panza, Leonardo, Boscatto, Noeli, Cury, Altair Antoninha Del Bel","Revista Odonto Ciência; 25(3); 292-295","Revista Odonto Ciência","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65232010000300014&lang=pt" 
"S1980-65232010000300015-scl","Comparison of the interface dentin-endodontic sealer using two SEM magnifications","Steier, Liviu, Figueiredo, Jose Antonio Poli de, Belli, Sema","Revista Odonto Ciência; 25(3); 296-299","Revista Odonto Ciência","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65232010000300015&lang=pt" 
"S1980-65232010000300016-scl","The role of immune system in the development of periodontal disease: a brief review","Mariano, Flávia Sammartino, Sardi, Janaina de Cássia Orlandi, Duque, Cristiane, Höfling, José Francisco, Gonçalves, Reginaldo Bruno","Revista Odonto Ciência; 25(3); 300-305","Revista Odonto Ciência","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65232010000300016&lang=pt" 
"S1980-65232010000300017-scl","Desmoplastic ameloblastoma mimicking a periapical lesion","Santos, Esaú Pinheiro dos, Araújo, Francisco Emanuel N., Valido, Daisy Pereira, Lima, Sônia Oliveira, Albuquerque-Júnior, Ricardo Luiz C. de, Soares, Andrea Ferreira","Revista Odonto Ciência; 25(3); 306-309","Revista Odonto Ciência","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65232010000300017&lang=pt" 
