"S0034-72992003000600008-scl","Perfil diagnóstico do idoso portador de desequilíbrio corporal: resultados preliminares","Simoceli, Lucinda, Bittar, Roseli Moreira Saraiva, Bottino, Marco Aurélio, Bento, Ricardo Ferreira","Revista Brasileira de Otorrinolaringologia; 69(6); 772-777","Revista Brasileira de Otorrinolaringologia","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72992003000600008&lang=pt" 
"S0034-72992003000600017-scl","Otite média tuberculosa","Pinho, Márcia M., Kós, Arthur Octavio de A.","Revista Brasileira de Otorrinolaringologia; 69(6); 829-837","Revista Brasileira de Otorrinolaringologia","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72992003000600017&lang=pt" 
"S0034-72992003000600012-scl","A criança disfônica: diagnóstico, tratamento e evolução clínica","Martins, Regina H. G., Trindade, Sérgio H. K.","Revista Brasileira de Otorrinolaringologia; 69(6); 801-806","Revista Brasileira de Otorrinolaringologia","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72992003000600012&lang=pt" 
"S1516-35982003000600002-scl","Doenças foliares da alfafa (Medicago sativa L.), em Lavras, Minas Gerais","Pereira, Rosana Cristina, Evangelista, Antônio Ricardo, Souza, Paulo Estevão de, Silva, Alexandre Christófaro, Muniz, Joel Augusto","Revista Brasileira de Zootecnia; 32(6); 1287-1296","Revista Brasileira de Zootecnia","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982003000600002&lang=pt" 
"S1516-35982003000600008-scl","Metabolismo do fósforo em eqüinos. 1. Avaliação dietética de diferentes fontes de fósforo","Lopes, João Batista, Furtado, Carlos Eduardo, Vitti, Dorinha Miriam Silber Schmidt, Abdalla, Adibe Luiz, Tosi, Hugo, Haddad, Marinéia de Lara","Revista Brasileira de Zootecnia; 32(6); 1339-1347","Revista Brasileira de Zootecnia","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982003000600008&lang=pt" 
"S1516-35982003000600010-scl","Avaliação da perda endógena de aminoácidos, em função de diferentes níveis de fibra para suínos","Pozza, Paulo Cesar, Gomes, Paulo Cezar, Rostago, Horacio Santiago, Donzele, Juarez Lopes, Santos, Magali Soares dos, Ferreira, Rony Antônio","Revista Brasileira de Zootecnia; 32(6); 1354-1361","Revista Brasileira de Zootecnia","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982003000600010&lang=pt" 
"S1516-35982003000600011-scl","Efeito do genótipo halotano e de diferentes sistemas de produção na qualidade da carne suína","Bridi, Ana Maria, Rübensam, Jane Maria, Nicolaiewsky, Sergio, Lopes, Rui Fernando Felix, Lobato, José Fernando Piva","Revista Brasileira de Zootecnia; 32(6); 1362-1370","Revista Brasileira de Zootecnia","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982003000600011&lang=pt" 
"S1516-35982003000600016-scl","Comportamento ingestivo diurno de novilhos em pastejo submetidos a níveis crescentes de suplementação energética","Pardo, René Mauricio Patiño, Fischer, Vivian, Balbinotti, Maira, Moreno, Claiton Baes, Ferreira, Everson Xavier, Vinhas, Ricardo Irigon, Monks, Pedro Lima","Revista Brasileira de Zootecnia; 32(6); 1408-1418","Revista Brasileira de Zootecnia","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982003000600016&lang=pt" 
"S1516-35982003000600021-scl","Desenvolvimento de estômago de bezerros holandeses desaleitados precocemente","Carvalho, Paulo Afonso, Bonnecarrère Sanchez, Luis Maria, Viégas, Julio, Velho, João Pedro, Jauris, Gilberto Cardoso, Rodrigues, Marcos Bittencourt","Revista Brasileira de Zootecnia; 32(6); 1461-1468","Revista Brasileira de Zootecnia","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982003000600021&lang=pt" 
"S1516-35982003000600023-scl","Características quantitativas, composição física tecidual e regional da carcaça de bezerros machos de origem leiteira ao nascimento, 50 e 110 dias de idade","Carvalho, Paulo Afonso, Bonnecarrère Sanchez, Luis Maria, Velho, João Pedro, Viégas, Julio, Jauris, Gilberto Cardoso, Rodrigues, Marcos Bittencourt","Revista Brasileira de Zootecnia; 32(6); 1476-1483","Revista Brasileira de Zootecnia","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982003000600023&lang=pt" 
