"S1806-83242008000200003-scl","In vitro assessment of the effectiveness of whitening dentifrices for the removal of extrinsic tooth stains","Lima, Débora Alves Nunes Leite, Silva, André Luís Faria e, Aguiar, Flávio Henrique Baggio, Liporoni, Priscila Christiane Suzy, Munin, Egberto, Ambrosano, Gláucia Maria Bovi, Lovadino, José Roberto","Brazilian Oral Research; 22(2); 106-111","Brazilian Oral Research","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242008000200003&lang=pt" 
"S1852-73292008000100001-arg","Retención de polvo atmosférico en especies arbóreas indicadoras en la planeación urbana sustentable: ciudad de Chihuahua, México","Alcalá, Jorge, Sosa, M, Moreno, M, Quintana, C, Campos, A, Holguin, C","Multequina; 17(1); 17-28","Multequina","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73292008000100001&lang=pt" 
"S1852-73292008000100002-arg","Metales pesados en vegetación arbórea como indicador de la calidad ambiental urbana: ciudad de Chihuahua, México","Alcalá, Jorge, Sosa, M, Moreno, M, Quintana, C, Quintana, G, Miranda, S, Rubio, A","Multequina; 17(1); 39-54","Multequina","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73292008000100002&lang=pt" 
"S1852-73292008000100003-arg","Uso de Larrea Cuneifolia Cav. y Zuccagnia Punctata Cav. en la evaluación del material particulado sedimentable en una calera de Los Berros - San Juan - Argentina","Almirón, Martín, Dalmasso, A., Llera, J.","Multequina; 17(1); 29-38","Multequina","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73292008000100003&lang=pt" 
"S1852-73292008000100004-arg","Sintaxones ruderales y adventicios en la zona del Alto Valle de Río Negro y Neuquén","Conticello, Luisa, Bustamante, A., Cerazo, M. B.","Multequina; 17(1); 55-71","Multequina","Espanhol","2008","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73292008000100004&lang=pt" 
"S1561-31942008000100001-cub","Varicocelectomía con analgesia acupuntural. Servicios de Urología. Hospitales Provinciales Clínico-Quirúrgicos. Pinar del Río 2002-2005","Hernández Campo, Pedro Ricardo, Ferreiro Valdés, Tadeo Miguel, Rabelo Llanio, Wilfredo, Mirabal, Maria Esperanza, Iglesias Rodríguez, Nieves Pablo","Revista de Ciencias Médicas de Pinar del Río; 12(1); -10","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942008000100001&lang=pt" 
"S1561-31942008000100002-cub","Ventilación de alta frecuencia en la cirugía laríngea en pediatría","Pérez Lara, Judith, Palacios Álvarez, Humberto, Acosta Menoya, Alina, Martínez Couce, María Margarita","Revista de Ciencias Médicas de Pinar del Río; 12(1); 11-21","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942008000100002&lang=pt" 
"S1561-31942008000100004-cub","Diseño de un protocolo de registro del potencial evocado somatosensorial del nervio tibial posterior","Cruz Menor, Ernesto, Hernández Rodríguez, Yunit, Cruz Menor, Marlén, Riol Lozano, Juan M, Linares Hernández, Lucía","Revista de Ciencias Médicas de Pinar del Río; 12(1); 29-41","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942008000100004&lang=pt" 
"S1561-31942008000100005-cub","La actividad física: una vía para mejorar los síntomas durante el climaterio","Quintero Paredes, Pedro P, Pérez Martín, Martha M","Revista de Ciencias Médicas de Pinar del Río; 12(1); 42-53","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942008000100005&lang=pt" 
"S1561-31942008000100006-cub","Caracterización medico legal de los delitos sexuales en Pinar del Río, 2003-2005","Salgueiro Labrador, Lidia Rosa, Rodríguez López, Tomás, Caro Haces, Mariela, Menoya Martínez, María V, López Salgueiro, Hansel T","Revista de Ciencias Médicas de Pinar del Río; 12(1); 54-67","Revista de Ciencias Médicas de Pinar del Río","Espanhol","2008","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1561-31942008000100006&lang=pt" 
