"S0104-026X2016000100181-scl","Zahidé Lupinacci Muzart","Ramos, Tânia Regina de Oliveira","Revista Estudos Feministas; 24(1); 181-182","Revista Estudos Feministas","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2016000100181&lang=pt" 
"S0104-026X2016000100365-scl","Las distintas y olvidadas","García, Alvaro","Revista Estudos Feministas; 24(1); 365-367","Revista Estudos Feministas","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2016000100365&lang=pt" 
"S0104-026X2016000100377-scl","Provocación y fuerza a través del cuerpo femenino: la lucha de FEMEN","Medina-Vicent, Maria","Revista Estudos Feministas; 24(1); 377-379","Revista Estudos Feministas","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2016000100377&lang=pt" 
"S0104-026X2016000100005-scl","Editorial","Wollf, Cristina Scheibe, Lago, Mara Coelho de Souza, Ramos, Tânia Regina de Oliveira","Revista Estudos Feministas; 24(1); 5-9","Revista Estudos Feministas","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2016000100005&lang=pt" 
"S0104-026X2016000100369-scl","Clínica dos gêneros não inteligíveis: Judith Butler e psicanálise","Vieira, Jacqueline Virmond, Angonese, Mônica","Revista Estudos Feministas; 24(1); 369-372","Revista Estudos Feministas","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2016000100369&lang=pt" 
"S0104-026X2016000100373-scl","Uma crítica lésbico-feminista ao discurso transgênero","Miguel, Luis Felipe","Revista Estudos Feministas; 24(1); 373-376","Revista Estudos Feministas","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2016000100373&lang=pt" 
"S0104-026X2016000100199-scl","Almanaque de representações","Ramos, Tânia Regina de Oliveira, Campello, Eliane","Revista Estudos Feministas; 24(1); 199-204","Revista Estudos Feministas","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2016000100199&lang=pt" 
"S0104-026X2016000100133-scl","Amores e vapores: sauna, raça e prostituição viril em São Paulo","Santos, Élcio Nogueira, Pereira, Pedro Paulo Gomes","Revista Estudos Feministas; 24(1); 133-154","Revista Estudos Feministas","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2016000100133&lang=pt" 
"S0104-026X2016000100205-scl","Pragmáticas íntimas: linguagem, subjetividade e gênero","Povinelli, Elizabeth, (Trad.), Joana Plaza Pinto","Revista Estudos Feministas; 24(1); 205-237","Revista Estudos Feministas","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-026X2016000100205&lang=pt" 
"S1809-98232016000200257-scl","Existe associação entre massa e força muscular esquelética em idosos hospitalizados?","Martinez, Bruno Prata, Ramos, Isis Resende, Oliveira, Quézia Cerqueira de, Santos, Roseane Araújo dos, Marques, Mônica Diniz, Forgiarini Júnior, Luiz Alberto, Camelier, Fernanda Warken Rosa, Camelier, Aquiles Assunção","Revista Brasileira de Geriatria e Gerontologia; 19(2); 257-264","Revista Brasileira de Geriatria e Gerontologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232016000200257&lang=pt" 
"S1809-98232016000200223-scl","Avaliação nutricional e o uso da levodopa com refeições proteicas em pacientes com doença de Parkinson do município de Macaé, Rio de Janeiro","Carmo, Thaís Pereira de Souza do, Ferreira, Célia Cristina Diogo","Revista Brasileira de Geriatria e Gerontologia; 19(2); 223-234","Revista Brasileira de Geriatria e Gerontologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232016000200223&lang=pt" 
"S1809-98232016000200303-scl","Programa de orientação com ênfase em práticas de autocuidado para motoristas idosos","Almeida, Maria Helena Morgani de, Caromano, Fátima Aparecida, Ribeiro, Sara Soares, Batista, Marina Picazzio Perez","Revista Brasileira de Geriatria e Gerontologia; 19(2); 303-311","Revista Brasileira de Geriatria e Gerontologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232016000200303&lang=pt" 
"S1809-98232016000200325-scl","Registro do uso de antimicrobianos em Instituições de Longa Permanência para Idosos","Silva, Alanna Gomes, Garbaccio, Juliana Ladeira","Revista Brasileira de Geriatria e Gerontologia; 19(2); 325-334","Revista Brasileira de Geriatria e Gerontologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232016000200325&lang=pt" 
"S1809-98232016000200313-scl","Solidão na perspectiva do idoso","Azeredo, Zaida de Aguiar Sá, Afonso, Maria Alcina Neto","Revista Brasileira de Geriatria e Gerontologia; 19(2); 313-324","Revista Brasileira de Geriatria e Gerontologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232016000200313&lang=pt" 
"S1809-98232016000200335-scl","Transição entre níveis de fragilidade em idosos no município de Belo Horizonte, Minas Gerais","Faria, Giselle Silva e, Ribeiro, Tatiana Moreira dos Santos, Vieira, Renata Alvarenga, Silva, Sílvia Lanziotti Azevedo da, Dias, Rosângela Corrêa","Revista Brasileira de Geriatria e Gerontologia; 19(2); 335-341","Revista Brasileira de Geriatria e Gerontologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232016000200335&lang=pt" 
"S1809-98232016000200203-scl","Associações entre significados de velhice e bem-estar subjetivo indicado por satisfação em idosos","Mantovani, Efigênia Passarelli, Lucca, Sérgio Roberto de, Neri, Anita Liberalesso","Revista Brasileira de Geriatria e Gerontologia; 19(2); 203-222","Revista Brasileira de Geriatria e Gerontologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232016000200203&lang=pt" 
"S1809-98232016000200247-scl","Oxigenoterapia inalatória em idosos internados em um hospital público","Buranello, Mariana Colombini, Shimano, Suraya Gomes Novais, Patrizzi, Lislei Jorge","Revista Brasileira de Geriatria e Gerontologia; 19(2); 247-256","Revista Brasileira de Geriatria e Gerontologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232016000200247&lang=pt" 
"S1809-98232016000200343-scl","Caracterização da epilepsia com início após os 60 anos de idade","Bruscky, Igor Silvestre, Leite, Ricardo André Amorim, Correia, Carolina da Cunha, Ferreira, Maria Lúcia Brito","Revista Brasileira de Geriatria e Gerontologia; 19(2); 343-347","Revista Brasileira de Geriatria e Gerontologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232016000200343&lang=pt" 
"S1809-98232016000200235-scl","Análise de métodos para detectar sarcopenia em idosas independentes da comunidade","Paula, Jéssica Alves de, Wamser, Eduardo Luiz, Gomes, Anna Raquel Silveira, Valderramas, Silvia Regina, Cardoso Neto, João, Schieferdecker, Maria Eliana Madalozzo","Revista Brasileira de Geriatria e Gerontologia; 19(2); 235-246","Revista Brasileira de Geriatria e Gerontologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232016000200235&lang=pt" 
"S1809-98232016000200277-scl","Efecto de un programa de entrenamiento físico sobre condición física saludable en hipertensos","Alvarez, Consuelo Vélez, Claros, José Armando Vidarte","Revista Brasileira de Geriatria e Gerontologia; 19(2); 277-288","Revista Brasileira de Geriatria e Gerontologia","Inglês, Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232016000200277&lang=pt" 
"S1809-98232016000200265-scl","Autoavaliação do estado de saúde e fatores associados em idosos cadastrados na Estratégia Saúde da Família de Campina Grande, Paraíba","Belém, Patrícia Leite de Oliveira, Melo, Rômulo Lustosa Pimenteira de, Pedraza, Dixis Figueroa, Menezes, Tarciana Nobre de","Revista Brasileira de Geriatria e Gerontologia; 19(2); 265-276","Revista Brasileira de Geriatria e Gerontologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232016000200265&lang=pt" 
"S1809-98232016000200201-scl","Reinventar-se","Lima, Kenio Costa","Revista Brasileira de Geriatria e Gerontologia; 19(2); 201-202","Revista Brasileira de Geriatria e Gerontologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232016000200201&lang=pt" 
"S1809-98232016000200349-scl","Exercícios terapêuticos domiciliares na doença de Parkinson: uma revisão integrativa","Gondim, Ihana Thaís Guerra de Oliveira, Lins, Carla Cabral dos Santos Accioly, Coriolano, Maria das Graças Wanderley de Sales","Revista Brasileira de Geriatria e Gerontologia; 19(2); 349-364","Revista Brasileira de Geriatria e Gerontologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232016000200349&lang=pt" 
"S1809-98232016000200289-scl","O envelhecimento, a velhice e o significado de ser avô(ó) na perspectiva de atores profissionais idosos","Becker, Ana Cláudia, Falcão, Deusivania Vieira da Silva","Revista Brasileira de Geriatria e Gerontologia; 19(2); 289-302","Revista Brasileira de Geriatria e Gerontologia","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232016000200289&lang=pt" 
"S0034-74502016000200006-col","Vivencias y experiencias de individuos con ideación e intento suicida","Rendón-Quintero, Eduardo, Rodríguez-Gómez, Rodolfo","Revista Colombiana de Psiquiatría; 45(2); 92-100","Revista Colombiana de Psiquiatría","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0034-74502016000200006&lang=pt" 
"S0100-204X2016000400301-scl","Tratamento de sementes para manejo do percevejo-barriga-verde na cultura de soja e milho em sucessão","Chiesa, Ana Carolina Montenegro, Sismeiro, Mariana Nunes dos Santos, Pasini, Amarildo, Roggia, Samuel","Pesquisa Agropecuária Brasileira; 51(4); 301-308","Pesquisa Agropecuária Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2016000400301&lang=pt" 
"S0100-204X2016000400293-scl","Desempenho de Trichogramma galloi (Hymenoptera: Trichogrammatidae) sobre ovos de Diatraea spp. (Lepidoptera: Crambidae)","Valente, Ellen Carine Neves, Broglio, Sônia Maria Forti, Passos, Eliana Maria dos, Lima, André Suêldo Tavares de","Pesquisa Agropecuária Brasileira; 51(4); 293-300","Pesquisa Agropecuária Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2016000400293&lang=pt" 
"S0100-204X2016000400378-scl","Compartimentos de carbono orgânico em Latossolo cultivado com hortaliças sob diferentes manejos","Lima, Carlos Eduardo Pacheco, Fontenelle, Mariana Rodrigues, Madeira, Nuno Rodrigo, Silva, Juscimar da, Guedes, Ítalo Moraes Rocha, Silva, Luciana Rodrigues Borba, Soares, Daiane Costa","Pesquisa Agropecuária Brasileira; 51(4); 378-387","Pesquisa Agropecuária Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2016000400378&lang=pt" 
"S0100-204X2016000400348-scl","Desempenho produtivo de macieiras &#039;Royal Gala&#039; e &#039;Fuji&#039; submetidas a diferentes densidades de plantio e porta-enxertos","Pereira, Adílson José, Pasa, Mateus da Silveira","Pesquisa Agropecuária Brasileira; 51(4); 348-356","Pesquisa Agropecuária Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2016000400348&lang=pt" 
"S0100-204X2016000400357-scl","Produção e nutrição de limoeiro &#039;Tahiti&#039; em função da adubação com nitrogênio e potássio em cinco safras","Silva, José Tadeu Alves da, Silva, Inêz Pereira da, Simão, Fúlvio Rodriguez","Pesquisa Agropecuária Brasileira; 51(4); 357-363","Pesquisa Agropecuária Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2016000400357&lang=pt" 
"S0100-204X2016000400364-scl","Productive and vegetative performance of peach trees grafted on six rootstocks in a replanting area","Almeida, Gustavo Klamer de, Marodin, Gilmar Arduino Bettio, Queiroz, Henrique Thomas, Gonzatto, Mateus Pereira","Pesquisa Agropecuária Brasileira; 51(4); 364-371","Pesquisa Agropecuária Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2016000400364&lang=pt" 
"S0100-204X2016000400340-scl","Interferência e controle de milho voluntário tolerante ao glifosato na cultura da soja","López-Ovejero, Ramiro Fernando, Soares, Daniel Jorge, Oliveira, Natália Cipolini, Kawaguchi, Ibene Takao, Berger, Geraldo Ubirajara, Carvalho, Saul Jorge Pinto de, Christoffoleti, Pedro Jacob","Pesquisa Agropecuária Brasileira; 51(4); 340-347","Pesquisa Agropecuária Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2016000400340&lang=pt" 
"S0100-204X2016000400309-scl","Tamanho de unidades experimentais básicas e tamanho ótimo de parcelas para nabo-forrageiro","Cargnelutti Filho, Alberto, Storck, Lindolfo, Lúcio, Alessandro Dal&#039;Col, Toebe, Marcos, Alves, Bruna Mendonça","Pesquisa Agropecuária Brasileira; 51(4); 309-319","Pesquisa Agropecuária Brasileira","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2016000400309&lang=pt" 
"S0100-204X2016000400372-scl","Correlation network analysis between phenotypic and genotypic traits of chili pepper","Silva, Anderson Rodrigo da, Rêgo, Elizanilda Ramalho do, Pessoa, Angela Maria dos Santos, Rêgo, Maílson Monteiro do","Pesquisa Agropecuária Brasileira; 51(4); 372-377","Pesquisa Agropecuária Brasileira","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-204X2016000400372&lang=pt" 
"S0036-36342016000200118-spa","The burden of cancer in Mexico, 1990-2013","Gómez-Dantés, Héctor, Lamadrid-Figueroa, Héctor, Cahuana-Hurtado, Lucero, Silverman-Retana, Omar, Montero, Pablo, González-Robledo, María Cecilia, Fitzmaurice, Christina, Pain, Amanda, Allen, Christine, Dicker, Daniel J, Hamavid, Hannah, López, Alan, Murray, Christopher, Naghavi, Mohsen, Lozano, Rafael","Salud Pública de México; 58(2); 118-131","Salud Pública de México","Inglês","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342016000200118&lang=pt" 
"S0101-47142016000100181-scl","Entre destruições, achados e invenção: a restauração da Sé de Olinda no âmbito do Programa Integrado de Reconstrução das Cidades Históricas do Nordeste","Cabral, Renata","Anais do Museu Paulista: História e Cultura Material; 24(1); 181-204","Anais do Museu Paulista: História e Cultura Material","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-47142016000100181&lang=pt" 
"S0120-87482016000200009-col","Emulsión lipídica como antídoto al deterioro neurológico progresivo, tras la infiltración de altas dosis de anestésico local: a propósito de un caso","Palazón Cabanes, Begoña, Martínez-Lerma, Eduardo José, Quero-Motto, Eva, Hernández-Molina, Alejandro, Cantero-Sandoval, Antonia, Adanez-Martínez, Gracia","Acta Neurológica Colombiana; 32(2); 140-143","Acta Neurológica Colombiana","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-87482016000200009&lang=pt" 
"S0120-87482016000200004-col","Resultados de cirugía de epilepsia en la Fundación Cardiovascular de Colombia: serie de casos","Freire C, Iván Darío, Valencia D, Camila, Ruiz A, Nhora P, Villamizar S, Ives, Freire F, Iván Andrés","Acta Neurológica Colombiana; 32(2); 108-114","Acta Neurológica Colombiana","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-87482016000200004&lang=pt" 
"S0120-87482016000200001-col","Envejecimiento, educación, hipertensión arterial, reserva cognitiva y deterioro cognitivo","Pineda, David A","Acta Neurológica Colombiana; 32(2); 89-90","Acta Neurológica Colombiana","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-87482016000200001&lang=pt" 
"S0120-87482016000200005-col","Procesamiento de palabras con contenido emocional en personas adultas mayores con deterioro cognoscitivo leve","Hernández Jaramillo, Janeth, Amórtegui Osorio, Diana","Acta Neurológica Colombiana; 32(2); 115-121","Acta Neurológica Colombiana","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-87482016000200005&lang=pt" 
"S0120-87482016000200008-col","Revisión de Creutzfeld-Jakob a propósito de dos casos clínicos en el Hospital Universitario San Ignacio","Pretelt, Felipe, Rivera, Neiby, Ursida, Valentina, Tovar, Catherin, Ramírez, Ayelet","Acta Neurológica Colombiana; 32(2); 134-139","Acta Neurológica Colombiana","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-87482016000200008&lang=pt" 
"S0120-87482016000200010-col","Perfil de un adolescente con hiperplasia suprarrenal congénita","Benavides, Juliana, Viviana Galvis, Paula","Acta Neurológica Colombiana; 32(2); 144-154","Acta Neurológica Colombiana","Espanhol","2016","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-87482016000200010&lang=pt" 
