"S0718-22012015000200014-chl","REPERTORIO DE PRÁCTICAS ESCÉNICAS DE RESISTENCIA CULTURAL: EL PACHALLAMPE","Henríquez, Patricia, Ostria, Mauricio","Alpha (Osorno); (41); 191-205","Alpha (Osorno)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012015000200014&lang=pt" 
"S0301-70362015000400117-mex","Estado y reforma energética en México","Merchand, Marco A.","Problemas del desarrollo; 46(183); 117-139","Problemas del desarrollo","Inglês, Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-70362015000400117&lang=pt" 
"S0718-10432015000200004-chl","TECNOLOGÍA DE HOJAS LÍTICAS EN TIERRAS ALTAS ANDINAS: PERSPECTIVAS DESDE LA PUNA DE LA PROVINCIA DE SALTA (ARGENTINA)","Restifo, Federico","Estudios atacameños; (51); 33-51","Estudios atacameños","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-10432015000200004&lang=pt" 
"S0718-22012015000200008-chl","EXCLUSIONES SEXUALES: LA FARMACOPORNOGRAFÍA COMO DISPOSITIVO FUERA DE GÉNERO","Browne Sartori, Rodrigo, Ortiz de Zárate, Amalia, Hurtado, Marcela","Alpha (Osorno); (41); 87-101","Alpha (Osorno)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012015000200008&lang=pt" 
"S0718-10432015000200003-chl","LA ARQUEOLOGÍA COMO CIENCIA DEL ESPÍRITU: RELACIONES ENTRE LA ARQUEOLOGÍA, LA HERMENÉUTICA FILOSÓFICA Y LAS CONSECUENCIAS PRÁCTICAS DE LAS INTERPRETACIONES","Vaquer, José María","Estudios atacameños; (51); 15-32","Estudios atacameños","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-10432015000200003&lang=pt" 
"S0718-22012015000200003-chl","LA DISTINCTIO FORMALIS EX NATURA REI EN LA FILOSOFÍA DE JUAN DUNS ESCOTO COMO ANTECEDENTE DEL PLANTEO DE LA OBJETIVIDAD","Muñoz, Ceferino P. D.","Alpha (Osorno); (41); 23-39","Alpha (Osorno)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012015000200003&lang=pt" 
"S1139-76322015000500024-esp","Telerradiología pediátrica en regiones con escasos recursos y áreas para su investigación","Rodríguez-Salinas, ","Pediatría Atención Primaria; 17(68); -","Pediatría Atención Primaria","Espanhol","2015","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1139-76322015000500024&lang=pt" 
"S0301-70362015000400003-mex","Mercados financieros y financiamiento al desarrollo: un debate estratégico en el campo de la teoría heterodoxa","Girón, Alicia","Problemas del desarrollo; 46(183); 3-11","Problemas del desarrollo","Inglês, Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-70362015000400003&lang=pt" 
"S0301-70362015000400192-mex","Trayectorias históricas de desarrollo: teoría, análisis y aplicación a casos nacionales, Miguel Ángel Rivera Ríos, México, Facultad de Economía-UNAM, 2013","Hernández, Mario Humberto","Problemas del desarrollo; 46(183); 192-194","Problemas del desarrollo","Inglês, Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-70362015000400192&lang=pt" 
"S0301-70362015000400195-mex","El desarrollo hoy: hacia la construcción de nuevos paradigmas, María del Carmen del Valle Rivera (coord.), Colección de Libros Problemas del Desarrollo, México, Instituto de Investigaciones Económicas-UNAM, 2014","Urreta, Álvaro","Problemas del desarrollo; 46(183); 195-197","Problemas del desarrollo","Inglês, Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-70362015000400195&lang=pt" 
