"S0120-24562012000200005-col","Una historia del delito político. Sedición, traición y rebelión en la justicia penal neogranadina (1832-1842): Sedition, Treason and Rebellion in the Criminal Justice System of New Granada (1832-1842)","PARADA GARCÍA, GILBERTO ENRIQUE","Anuario Colombiano de Historia Social y de la Cultura; 39(2); 101-130","Anuario Colombiano de Historia Social y de la Cultura","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-24562012000200005&lang=pt" 
"S0120-24562012000200002-col","La jurisdicción de los jueces pedáneos en la administración de justicia a nivel local. La ciudad de Antioquia, 1750-1809","MONTOYA GÓMEZ, MARIA VICTORIA","Anuario Colombiano de Historia Social y de la Cultura; 39(2); 19-40","Anuario Colombiano de Historia Social y de la Cultura","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-24562012000200002&lang=pt" 
"S0120-24562012000200003-col","El problema de los excluidos. Las leyes contra la vagancia en Colombia durante las décadas de 1820 a 1840: Laws against Vagrancy in Colombia between 1820 and 1840","BOTERO JARAMILLO, NATALIA","Anuario Colombiano de Historia Social y de la Cultura; 39(2); 41-68","Anuario Colombiano de Historia Social y de la Cultura","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-24562012000200003&lang=pt" 
"S0120-24562012000200001-col","","ARCHILA NEIRA, MAURICIO","Anuario Colombiano de Historia Social y de la Cultura; 39(2); 13-16","Anuario Colombiano de Historia Social y de la Cultura","Inglês","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-24562012000200001&lang=pt" 
"S0122-14502012000200012-col","Medición de las actitudes hacia el riesgo en los pequeños productores de piña de Santander, Colombia","Trujillo, Juan C, Escobar, José L, Iglesias, Wilman J","Cuadernos de Desarrollo Rural; 9(69); 239-255","Cuadernos de Desarrollo Rural","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-14502012000200012&lang=pt" 
"S0122-14502012000200013-col","Sistema de producción de tubérculos andinos en Boyacá, Colombia","Aguirre Forero, Sonia Esperanza, Piraneque Gambasica, Nelson Virgilio, Pérez Mojica, Iván","Cuadernos de Desarrollo Rural; 9(69); 257-273","Cuadernos de Desarrollo Rural","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-14502012000200013&lang=pt" 
"S0122-14502012000200010-col","Distribuição de hortifruti no Brasil: papel das Centrais de Abastecimento e dos supermercados","Wegner, Rubia Cristina, Belik, Walter","Cuadernos de Desarrollo Rural; 9(69); 195-220","Cuadernos de Desarrollo Rural","Português","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-14502012000200010&lang=pt" 
"S0122-14502012000200011-col","Priorización de factores críticos para implantar buenas prácticas agrícolas en pequeños productores","Gutiérrez-Guzmán, Nelson, Serra-B, Juan Antonio, Dussan-Sarria, Saúl","Cuadernos de Desarrollo Rural; 9(69); 221-237","Cuadernos de Desarrollo Rural","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-14502012000200011&lang=pt" 
"S1692-72732012000300008-col","Mecanismos moleculares involucrados en la mutagenicidad inducida por aflatoxina B1","Uribe-Yunda, Diego Fernando, Navas, María-Cristina","Revista Ciencias de la Salud; 10(3); 403-419","Revista Ciencias de la Salud","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-72732012000300008&lang=pt" 
"S1692-72732012000300009-col","Hemorragia digestiva alta secundaria a lesión de Dieulafoy","Rivera, Daysi Beatriz, Martínez, Julián David, Garzón, Martín, Rey, Mario H., Pinto, Renzo, Lizarazo, Jorge, Marulanda, Juan, Molano, Juan","Revista Ciencias de la Salud; 10(3); 421-428","Revista Ciencias de la Salud","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-72732012000300009&lang=pt" 
"S1692-72732012000300004-col","Efecto de la frecuencia léxica y silábica en afasia anómica","Jaramillo, Janeth Hernández, Avendaño Calderón, Angélica, Rojas Rincón, Juliana","Revista Ciencias de la Salud; 10(3); 337-346","Revista Ciencias de la Salud","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-72732012000300004&lang=pt" 
"S1692-72732012000300005-col","Predicción clínica del dolor lumbar inespecífico ocupacional","Tolosa-Guzmán, Ingrid, Romero, Zulma Constanza, Mora, Martha Patricia","Revista Ciencias de la Salud; 10(3); 347-368","Revista Ciencias de la Salud","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-72732012000300005&lang=pt" 
"S1692-72732012000300006-col","Atención primaria de la salud: Continuidades neoliberales en la &quot;asistencia centrada en la persona&quot;","Gottero, Lie, Laura","Revista Ciencias de la Salud; 10(3); 369-385","Revista Ciencias de la Salud","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-72732012000300006&lang=pt" 
"S1692-72732012000300007-col","Tendencias innovadoras en las prácticas psiquiátricas: Argentina, 1960-1970&#039;","Golcman, Aida Alejandra","Revista Ciencias de la Salud; 10(3); 387-401","Revista Ciencias de la Salud","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-72732012000300007&lang=pt" 
"S1692-72732012000300001-col","Correlación genotipo-fenotipo y análisis molecular en pacientes con síndrome Down","Contreras Bravo, Nora Constanza, Silva Aldana, Claudia Tamar, Mateus Arbelaez, Heidi Eliana","Revista Ciencias de la Salud; 10(3); 295-305","Revista Ciencias de la Salud","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-72732012000300001&lang=pt" 
"S1692-72732012000300002-col","Excessive work or addiction to work: workaholism in a Colombian company.: A pilot study trough application of DUWAS test","Castillo, Juan Alberto, Gómez, María Carolina","Revista Ciencias de la Salud; 10(3); 307-322","Revista Ciencias de la Salud","Inglês","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-72732012000300002&lang=pt" 
"S1692-72732012000300003-col","Linfocitos atípicos en dengue: papel en el diagnóstico y pronóstico de la enfermedad.: Revisión sistemática de la literatura","Rey-Caro, Luz Aida, Villar-Centeno, Luis Ángel","Revista Ciencias de la Salud; 10(3); 323-335","Revista Ciencias de la Salud","Espanhol","2012","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-72732012000300003&lang=pt" 
