"S0074-02762015000300433-scl","A novel ABCG-like transporter of Trypanosoma cruzi is involved in natural resistance to benznidazole","Zingales, Bianca, Araujo, Rafael Gomes Aquino, Moreno, Margoth, Franco, Jaques, Aguiar, Pedro Henrique Nascimento, Nunes, Solange Lessa, Silva, Marcelo Nunes, Ienne, Susan, Machado, Carlos Renato, Brandão, Adeilton","Memórias do Instituto Oswaldo Cruz; 110(3); 433-444","Memórias do Instituto Oswaldo Cruz","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762015000300433&lang=pt" 
"S0074-02762015000300422-scl","Biomarkers of therapeutic responses in chronic Chagas disease: state of the art and future perspectives","Pinazo, Maria-Jesus, Thomas, Maria-Carmen, Bustamante, Juan, Almeida, Igor Correia de, Lopez, Manuel-Carlos, Gascon, Joaquim","Memórias do Instituto Oswaldo Cruz; 110(3); 422-432","Memórias do Instituto Oswaldo Cruz","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762015000300422&lang=pt" 
"S0074-02762015000300387-scl","Retrospective distribution of Trypanosoma cruzi I genotypes in Colombia","León, Cielo M, Hernández, Carolina, Montilla, Marleny, Ramírez, Juan David","Memórias do Instituto Oswaldo Cruz; 110(3); 387-393","Memórias do Instituto Oswaldo Cruz","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762015000300387&lang=pt" 
"S0103-05822015010200001-scl","Introdução de refrigerantes e sucos industrializados na dieta de lactentes que frequentam creches públicas","Longo-Silva, Giovana","Revista Paulista de Pediatria; 33(1); 1-1","Revista Paulista de Pediatria","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-05822015010200001&lang=pt" 
"S0074-02762015000300369-scl","Congenital transmission of Trypanosoma cruzi in central Brazil. A study of 1,211 individuals born to infected mothers","Luquetti, Alejandro O, Tavares, Suelene Brito do Nascimento, Siriano, Liliane da Rocha, Oliveira, Rozângela Amaral de, Campos, Dayse Elizabeth, Morais, Cicilio Alves de, Oliveira, Enio Chaves de","Memórias do Instituto Oswaldo Cruz; 110(3); 369-376","Memórias do Instituto Oswaldo Cruz","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762015000300369&lang=pt" 
"S0074-02762015000300324-scl","Intrusive versus domiciliated triatomines and the challenge of adapting vector control practices against Chagas disease","Waleckx, Etienne, Gourbière, Sébastien, Dumonteil, Eric","Memórias do Instituto Oswaldo Cruz; 110(3); 324-338","Memórias do Instituto Oswaldo Cruz","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762015000300324&lang=pt" 
"S0074-02762015000300275-scl","Special issue on Chagas disease","Coura, José Rodrigues","Memórias do Instituto Oswaldo Cruz; 110(3); 275-276","Memórias do Instituto Oswaldo Cruz","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762015000300275&lang=pt" 
"S2074-47062015000100002-bol","Términos del intercambio y desequilibrios gemelos: evidencia para Argentina","Lanteri, Luis N.","Revista Latinoamericana de Desarrollo Económico; (23); 9-26","Revista Latinoamericana de Desarrollo Económico","Espanhol","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2074-47062015000100002&lang=pt" 
"S2074-47062015000100004-bol","","Banegas Rivero, Roger Alejandro, González Vergara, Reyna","Revista Latinoamericana de Desarrollo Económico; (23); 67-95","Revista Latinoamericana de Desarrollo Económico","Inglês","2015","http://www.scielo.org.bo/scielo.php?script=sci_arttext&pid=S2074-47062015000100004&lang=pt" 
"S0102-311X2015000500022-scl","DEMOCRACIA E INOVAÇÃO NA GESTÃO LOCAL DA SAÚDE","Keinert, Tania Margarete Mezzomo","Cadernos de Saúde Pública; 31(5); 1116-1117","Cadernos de Saúde Pública","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2015000500022&lang=pt" 
