"S0103-97332004000500064-scl","Inclusive photoproduction of lepton pairs in the parton model","Psaker, A.","Brazilian Journal of Physics; 34(3a); 944-947","Brazilian Journal of Physics","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332004000500064&lang=pt" 
"S0103-97332004000500063-scl","Nuclear fragmentation in protontherapy","Rebello, Patrícia, Hussein, Mahir S.","Brazilian Journal of Physics; 34(3a); 942-943","Brazilian Journal of Physics","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332004000500063&lang=pt" 
"S0103-97332004000500062-scl","Standardization of Ca-45 radioactive solution by tracing method","Ponge-Ferreira, Cláudia Regina Ponte, Koskinas, Marina Fallone, Dias, Mauro da Silva","Brazilian Journal of Physics; 34(3a); 939-941","Brazilian Journal of Physics","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332004000500062&lang=pt" 
"S0103-97332004000500071-scl","Indication of new physics in B &lt;FONT FACE=Symbol&gt;® F&lt;/FONT&gt;Ks decays at the BELLE experiment","Lange, Jens Sören","Brazilian Journal of Physics; 34(3a); 969-969","Brazilian Journal of Physics","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332004000500071&lang=pt" 
"S0103-97332004000500073-scl","Manufactured silicon diode used as an internal conversion electrons detector","Corrêa, A. A. S., Bueno, Carmen C., Gonçalves, Josemary A.C., Mendes, P. F. P. Rato, Pinto, J. K. C., Souza, J. P. de, Santos, M. D. de S.","Brazilian Journal of Physics; 34(3a); 973-975","Brazilian Journal of Physics","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332004000500073&lang=pt" 
"S0103-97332004000500078-scl","Nucleon resonance excitation with CLAS","De Vita, Raffaella","Brazilian Journal of Physics; 34(3a); 991-994","Brazilian Journal of Physics","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332004000500078&lang=pt" 
"S0103-97332004000500085-scl","Study of the electron-positron annihilation coincidence peak two-dimensional pofile","Nascimento, E. do, Helene, O., Vanin, V. R., Takiya, C.","Brazilian Journal of Physics; 34(3a); 1017-1019","Brazilian Journal of Physics","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332004000500085&lang=pt" 
"S0103-97332004000500088-scl","Two-parameter analysis of the temporal behaviour of resistive detectors","Peixoto, Tiago P., Pascholati, Paulo R., Vanin, Vito R., Bueno, Carmen C., Gonçalves, Josemary A.C.","Brazilian Journal of Physics; 34(3a); 1029-1032","Brazilian Journal of Physics","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332004000500088&lang=pt" 
"S0103-97332004000500065-scl","Fluoropolymer studies for radiation dosymetry","Parada, Marco Aurélio, Minamisawa, Renato Amaral, Almeida, Adelaide de, Muntele, Claudiu, Zimmerman, Robert Lee, Muntele, Iulia, Ila, Daryush","Brazilian Journal of Physics; 34(3a); 948-950","Brazilian Journal of Physics","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332004000500065&lang=pt" 
"S0103-97332004000500005-scl","Equations of state for mixed stars","Menezes, D. P., Providência, C.","Brazilian Journal of Physics; 34(3a); 724-727","Brazilian Journal of Physics","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332004000500005&lang=pt" 
"S0103-97332004000500066-scl","The IFUSP microtron: status and perspectives","Martins, M.N., Takahashi, J., Malafronte, A.A., Rios, P.B., Lopes, M.L., Bonini, A.L., Lima, R.R.","Brazilian Journal of Physics; 34(3a); 951-953","Brazilian Journal of Physics","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332004000500066&lang=pt" 
"S0103-97332004000500029-scl","Analysis of the nuclear fusion process based on potential barriers modified by coupling effects","Marta, H.D., Spinella, M.R., Testoni, J.E., Dragún, O.","Brazilian Journal of Physics; 34(3a); 818-821","Brazilian Journal of Physics","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332004000500029&lang=pt" 
"S0103-97332004000500026-scl","Double charge exchange on medium mass nuclei","Wu, Huachuan, Gibbs, William R.","Brazilian Journal of Physics; 34(3a); 808-810","Brazilian Journal of Physics","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332004000500026&lang=pt" 
"S0103-97332004000500030-scl","Asymmetry parameter for the nonmesonic decay of 5&lt;FONT FACE=Symbol&gt;L&lt;/font&gt;He","Barbero, Cesar, Galeão, Alfredo Pio, Krmpoti, Francisco","Brazilian Journal of Physics; 34(3a); 822-824","Brazilian Journal of Physics","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-97332004000500030&lang=pt" 
"S0370-44672004000300012-scl","Programa computacional para simulação do rendimento de ejetores para fins de dragagem","Lima Neto, Iran E.","Rem: Revista Escola de Minas; 57(3); 209-213","Rem: Revista Escola de Minas","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672004000300012&lang=pt" 
"S0370-44672004000300011-scl","Flotação de diferentes tipologias de minério fosfático de Tapira/MG, usando o coletor óleo de soja hidrogenado","Guimarães, Gilberto Caixeta, Lima, Rosa Malena Fernandes, Oliveira, Maria Lúcia Magalhães de","Rem: Revista Escola de Minas; 57(3); 203-207","Rem: Revista Escola de Minas","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672004000300011&lang=pt" 
"S0370-44672004000300010-scl","Recuperação de aminas, utilizadas na flotação de minério de ferro, utilizando-se zeólitas naturais","Teodoro, Anderson Luiz, Leão, Versiane Albis","Rem: Revista Escola de Minas; 57(3); 197-201","Rem: Revista Escola de Minas","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672004000300010&lang=pt" 
"S0370-44672004000300008-scl","","Pires, José Carlos S., Garcia, Amauri","Rem: Revista Escola de Minas; 57(3); 183-189","Rem: Revista Escola de Minas","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672004000300008&lang=pt" 
"S0370-44672004000300007-scl","Utilização de um aparato em escala de laboratório para o estudo da recuperação do cromo contido em resíduos gerados na produção de aço inoxidável","Nolasco Sobrinho, Pedro José, Tenório, Jorge Alberto Soares","Rem: Revista Escola de Minas; 57(3); 177-182","Rem: Revista Escola de Minas","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672004000300007&lang=pt" 
"S0370-44672004000300003-scl","Arcabouço cronoestratigráfico da Formação Mafra (intervalo médio) na região de Rio Negro/PR - Mafra/SC, borda leste da bacia do Paraná","Weinschütz, Luiz Carlos, Castro, Joel Carneiro de","Rem: Revista Escola de Minas; 57(3); 151-156","Rem: Revista Escola de Minas","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672004000300003&lang=pt" 
"S0370-44672004000300002-scl","Fundação Gorceix em sua nova sede","Vale, Marco Antônio","Rem: Revista Escola de Minas; 57(3); 141-150","Rem: Revista Escola de Minas","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672004000300002&lang=pt" 
"S0370-44672004000300006-scl","Comportamento do mineral topázio a altas temperaturas","Sabioni, Antônio Claret Soares, Costa, Geraldo Magela da","Rem: Revista Escola de Minas; 57(3); 173-176","Rem: Revista Escola de Minas","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672004000300006&lang=pt" 
