"S0104-07072014000400979-scl","Fatherhood in adolescence in the context of the health services, school and community","Bordignon, Simoní Saraiva, Meincke, Sonia Maria Konzgen, Soares, Marilu Correa, Schwartz, Eda, Barlem, Edison Luiz Devos, Lunardi, Valéria Lerch","Texto &amp; Contexto - Enfermagem; 23(4); 979-986","Texto &amp; Contexto - Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000400979&lang=pt" 
"S0104-07072014000401022-scl","The influence of individual determinants in the delay of the tuberculosis diagnosis","Trigueiro, Débora Raquel Soares Guedes, Nogueira, Jordana de Almeida, Sá, Lenilde Duarte de, Monroe, Aline Aparecida, Anjos, Ulisses Umbelino dos, Villa, Tereza Cristina Scatena, Silva, Daiane Medeiros da, Almeida, Sandra Aparecida de","Texto &amp; Contexto - Enfermagem; 23(4); 1022-1031","Texto &amp; Contexto - Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000401022&lang=pt" 
"S0104-07072014000400944-scl","Autonomous decision and behavior required in clinical trials: study with a socioeconomically vulnerable population","Gazzinelli, Maria Flávia, Souza, Vânia de Souza, Campos, Edna Lucia Wingester, Fernandes, Marconi Moura, Lobato, Lucas","Texto &amp; Contexto - Enfermagem; 23(4); 944-953","Texto &amp; Contexto - Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000400944&lang=pt" 
"S0104-07072014000401077-scl","Practices of the family health team: advisors of the access to the health services?1","Amorim, Anne Caroline Coelho Leal Árias, Assis, Marluce Maria Araújo, Santos, Adriano Maia dos, Jorge, Maria Salete Bessa, Servo, Maria Lúcia Silva","Texto &amp; Contexto - Enfermagem; 23(4); 1077-1086","Texto &amp; Contexto - Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000401077&lang=pt" 
"S0104-07072014000400925-scl","Facilitating aspects and barriers in the effectiveness of donation of organs and tissues","Freire, Izaura Luzia Silvério, Vasconcelos, Quinídia Lúcia Duarte de Almeida Quithé de, Melo, Gabriela de Sousa Martins, Torres, Gilson de Vasconcelos, Araújo, Ednaldo Cavalcante de, Miranda, Francisco Arnoldo Nunes de","Texto &amp; Contexto - Enfermagem; 23(4); 925-934","Texto &amp; Contexto - Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000400925&lang=pt" 
"S0104-07072014000400907-scl","Association between congenital malformation and neonatal and maternal variables in neonatal units of a Northeast Brazilian city","Fontoura, Fabíola Chaves, Cardoso, Maria Vera Lúcia Moreira Leitão","Texto &amp; Contexto - Enfermagem; 23(4); 907-914","Texto &amp; Contexto - Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000400907&lang=pt" 
"S0104-07072014000400898-scl","Health care for people with amputation: analysis from the perspective of bioethics","Marques, Ana Maria Fernandes Borges, Vargas, Mara Ambrosina de Oliveira, Schoeller, Soraia Dornelles, Kinoshita, Erika Yuriko, Ramos, Flávia Regina Souza, Trombetta, Ana Paula","Texto &amp; Contexto - Enfermagem; 23(4); 898-906","Texto &amp; Contexto - Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000400898&lang=pt" 
"S1413-82712014000300010-scl","A fluência e sua importância para a compreensão da leitura","Puliezi, Sandra, Maluf, Maria Regina","Psico-USF; 19(3); 467-475","Psico-USF","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712014000300010&lang=pt" 
"S1413-82712014000300011-scl","Diferenças de sexo em uma habilidade cognitiva específica e na produção científica","Braga, Luciana Sampaio, Flores-Mendoza, Carmen, Barroso, Sabrina Martins, Saldanha, Renata Silva, Santos, Mariana Teles, Akama, Claudia Terumi, Reis, Michele Cristiane","Psico-USF; 19(3); 477-487","Psico-USF","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712014000300011&lang=pt" 
"S1413-82712014000300012-scl","Relação entre medidas de Avaliação da Linguagem Escrita em estudantes do Ensino Fundamental","Suehiro, Adriana Cristina Boulhoça, Magalhães, Marilene Moreira da Silva","Psico-USF; 19(3); 489-498","Psico-USF","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712014000300012&lang=pt" 
"S1413-82712014000300013-scl","Escala de Percepção do Suporte Social (versão adulta) - EPSUS-A: estudo das qualidades psicométricas","Cardoso, Hugo Ferrari, Baptista, Makilim Nunes","Psico-USF; 19(3); 499-510","Psico-USF","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-82712014000300013&lang=pt" 
"S0034-737X2014000700011-scl","Ácidos húmicos","Baldotto, Marihus Altoé, Baldotto, Lílian Estrela Borges","Revista Ceres; 61(); 856-881","Revista Ceres","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2014000700011&lang=pt" 
"S0104-07072014000400871-scl","Satisfaction of the elderly population attended in the family health strategy in Santa Cruz, Rio Grande do Norte, Brazil","Oliveira, Luciane Paula Batista Araújo de, Medeiros, Liz Monique da Fonseca, Meirelles, Betina Hörner Schlindwein, Santos, Sílvia Maria Azevedo dos","Texto &amp; Contexto - Enfermagem; 23(4); 871-879","Texto &amp; Contexto - Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000400871&lang=pt" 
"S0104-07072014000401050-scl","Public policies for confronting the use of illicit drugs: social perception in a community","Reis, Lucia Margarete dos, Hungaro, Anai Adario, Oliveira, Magda Lúcia Felix de","Texto &amp; Contexto - Enfermagem; 23(4); 1050-1058","Texto &amp; Contexto - Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000401050&lang=pt" 
"S0104-07072014000401059-scl","Care protocol for fine-needle aspiration biopsy of breast and thyroid","Rosini, Ivone, Salum, Nádia Chiodelli","Texto &amp; Contexto - Enfermagem; 23(4); 1059-1067","Texto &amp; Contexto - Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000401059&lang=pt" 
"S0104-07072014000400819-scl","Participation in debate: a qualitative assessment of the andalusian plan for HIV/AIDS","García, Eugenia Gil, Martini, Jussara Gue, Mercado-Martínez, Francisco Javier, Peña, Francisco Garrido","Texto &amp; Contexto - Enfermagem; 23(4); 819-827","Texto &amp; Contexto - Enfermagem","Inglês, Espanhol","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000400819&lang=pt" 
"S0104-07072014000400836-scl","Mortality due to cervical cancer, 1996-2011, Santa Catarina, Brazil","Hegadoren, Kathleen Mary, Radunz, Vera, Souza, Maria de Lourdes de, Faria, Fernanda Pacheco de, Silva, Jean Carlos Bonissoni da, Botelho, Lúcio José","Texto &amp; Contexto - Enfermagem; 23(4); 836-844","Texto &amp; Contexto - Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000400836&lang=pt" 
"S0104-07072014000401013-scl","The ways in which blind mothers cope with taking care of their children under 12 years old","Jorge, Herla Maria Furtado, Bezerra, Juliana da Fonseca, Oriá, Mônica Oliveira Batista, Brasil, Christina Cesar Praça, Araujo, Maria Alix Leite de, Silva, Raimunda Magalhães da","Texto &amp; Contexto - Enfermagem; 23(4); 1013-1021","Texto &amp; Contexto - Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000401013&lang=pt" 
"S0104-07072014000400995-scl","Correlation between antrhopometric indicators and blood pressure in adolescents","Oliveira, Aline Viana de, Costa, Ana Cristina Pereira de Jesus, Pascoal, Lívia Maia, Santos, Leonardo Hunaldo dos, Chaves, Emilia Soares, Araújo, Márcio Flávio Moura de","Texto &amp; Contexto - Enfermagem; 23(4); 995-1003","Texto &amp; Contexto - Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072014000400995&lang=pt" 
