"S0100-40422011000800013-scl","Síntese, caracterização e estudo da atividade inibitória de novas dialquilfosforilarilidrazonas sobre o crescimento de tripanossomatídeos","Nogueira, Andréa Janaina M., Lima, Marco Edilson F. de, DaCosta, João Batista N., Alves, Eliomara Sousa Sobral, Anjos, Danielle Oliveira dos, Vannier-Santos, Marcos André, Lanfredi-Rangel, Adriana","Química Nova; 34(8); 1365-1369","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800013&lang=pt" 
"S0100-40422011000800014-scl","Avaliação de processo oxidativo avançado pelo reagente de Fenton em condições otimizadas no tratamento de lixiviado de aterro sanitário com ênfase em parâmetros coletivos e caracterização do lodo gerado","Moravia, Wagner Guadagnin, Lange, Liséte Celina, Amaral, Míriam Cristina Santos","Química Nova; 34(8); 1370-1377","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800014&lang=pt" 
"S0100-40422011000800015-scl","Sorção de atrazina e de mesotriona em latossolos e estimativa do potencial de contaminação","Martinazzo, Rosane, Dick, Deborah Pinheiro, Hirsch, Mauro Mozael, Leite, Simone Benvenuti, Peralba, Maria do Carmo Ruaro","Química Nova; 34(8); 1378-1384","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800015&lang=pt" 
"S0100-40422011000800016-scl","Phenolic compounds from Sidastrum micranthum (A. St.-Hil.) fryxell and evaluation of acacetin and 7,4&#039;-Di-O-methylisoscutellarein as motulator of bacterial drug resistence","Gomes, Roosevelt A., Ramirez, Rafael R. A., Maciel, Jéssica Karina da S., Agra, Maria de Fátima, Souza, Maria de Fátima Vanderlei de, Falcão-Silva, Vivyanne S., Siqueira-Junior, José P.","Química Nova; 34(8); 1385-1388","Química Nova","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800016&lang=pt" 
"S0100-40422011000800017-scl","Quantificação de antimônio em garrafas de politereftalato de etileno (PET) brasileiras por fluorescência de raios-X e avaliação quimiométrica para verificar a presença de pet reciclado através do teor de ferro","Shimamoto, Gustavo G., Kazitoris, Bianca, Lima, Luis F. R. de, Abreu, Nathassia D. de, Salvador, Vitor T., Bueno, Maria Izabel M. S., Castro, Eustáquio V. R. de, S. Filho, Elói A., Romão, Wanderson","Química Nova; 34(8); 1389-1393","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800017&lang=pt" 
"S0100-40422011000800019-scl","Application of GA-PLS and GA-KPLS calculations for the prediction of the retention indices of essential oils","Noorizadeh, Hadi, Farmany, Abbas, Noorizadeh, Mehrab","Química Nova; 34(8); 1398-1404","Química Nova","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800019&lang=pt" 
"S0100-40422011000800021-scl","Metabolismo, oxidação e implicações biológicas do ácido docosahexaenoico em doenças neurodegenerativas","Appolinário, Patricia Postilione, Derogis, Priscilla Bento Mattos Cruz, Yamaguti, Tatiana Harumi, Miyamoto, Sayuri","Química Nova; 34(8); 1409-1416","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800021&lang=pt" 
"S0100-40422011000800022-scl","Receptores A3 da adenosina: uma nova abordagem terapêutica no câncer","Gaspar, Alexandra, Silva, Tiago, Borges, Fernanda","Química Nova; 34(8); 1417-1424","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800022&lang=pt" 
"S0100-40422011000800023-scl","Aplicações sintéticas do ácido mucobrômico e da 3,4-dibromofuran-2(5H)-ona","Cunha, Silvio, Oliveira, Caio C.","Química Nova; 34(8); 1425-1438","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800023&lang=pt" 
"S0100-40422011000800020-scl","Determination of cinnamic acid in human urine by flow injection chemiluminescence","Fan, Xuemei, Wang, Shumin, Su, Zhikui, Chen, Fengying, Liu, Yanfeng, Liu, Ping, Zheng, Xingwang, Cui, Fengling","Química Nova; 34(8); 1405-1408","Química Nova","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800020&lang=pt" 
"S0100-40422011000800032-scl","Concepções sobre currículo de formadores de professores: o curso de licenciatura em Química do Instituto de Química da Universidade Federal do Rio de Janeiro","Massena, Elisa Prestes, Monteiro, Ana Maria Ferreira da Costa","Química Nova; 34(8); 1476-1484","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800032&lang=pt" 
"S0100-40422011000800018-scl","Properties of silica from rice husk and rice husk ash and their utilization for zeolite y synthesis","Saceda, Jan-Jezreel F., Leon, Rizalinda L. de, Rintramee, Kamolwan, Prayoonpokarach, Sanchai, Wittayakun, Jatuporn","Química Nova; 34(8); 1394-1397","Química Nova","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800018&lang=pt" 
"S0104-530X2011000300001-scl","Como ocorrem as inovações em serviços? um estudo exploratório de empresas no Brasil","Vasconcellos, Luís Henrique Rigato, Marx, Roberto","Gestão &amp; Produção; 18(3); 443-460","Gestão &amp; Produção","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2011000300001&lang=pt" 
"S0104-530X2011000300004-scl","Levantamento das práticas de programação detalhada da produção: um survey na indústria paulista","Giacon, Edivaldo, Mesquita, Marco Aurélio de","Gestão &amp; Produção; 18(3); 487-498","Gestão &amp; Produção","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2011000300004&lang=pt" 
"S0104-530X2011000300007-scl","Utilização da abordagem Quick Response Manufacturing em uma empresa de materiais de escrita: proposta e análise de benefícios esperados","Saes, Elizangela Veloso, Godinho Filho, Moacir","Gestão &amp; Produção; 18(3); 525-540","Gestão &amp; Produção","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2011000300007&lang=pt" 
"S0104-530X2011000300012-scl","Análise das estratégias de produção de seis montadoras de motores para automóveis","Alves Filho, Alceu Gomes, Nogueira, Edemilson, Bento, Paulo Eduardo Gomes","Gestão &amp; Produção; 18(3); 603-618","Gestão &amp; Produção","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2011000300012&lang=pt" 
"S0104-530X2011000300015-scl","Método híbrido CONWIP/KANBAN um estudo de caso","Sereno, Bruno, Silva, Daniel Sant Anna da, Leonardo, Dênis Gustavo, Sampaio, Mauro","Gestão &amp; Produção; 18(3); 651-672","Gestão &amp; Produção","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2011000300015&lang=pt" 
"S0104-14282011000300001-scl","Mensagem do Presidente da ABPol","Álvares, Dellyo Ricardo S.","Polímeros; 21(3); -","Polímeros","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282011000300001&lang=pt" 
"S0104-14282011000300012-scl","Preparação e caracterização de membranas poliméricas a partir da blenda polisulfona/poliuretano","Bellincanta, Tatiane, Poletto, Patrícia, Thürmer, Mônica B., Duarte, Jocelei, Toscan, Andréia, Zeni, Mára","Polímeros; 21(3); 229-232","Polímeros","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282011000300012&lang=pt" 
"S0100-40422011000800001-scl","43º Congresso Mundial de Química (IUPAC 2011): fatos e reflexões","Goulart, Marília Oliveira Fonseca, Zuin, Vânia Gomes","Química Nova; 34(8); 1301-1302","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800001&lang=pt" 
"S0100-40422011000800010-scl","Spectrophotometric method for determination of atazanavir sulfate in capsule dosage form","Behera, Anindita, Moitra, Swapan Kumar, Si, Sudam Chandra, Sankar, Dannana Gowri","Química Nova; 34(8); 1349-1353","Química Nova","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800010&lang=pt" 
"S0100-40422011000800031-scl","Avaliação do efeito de gases poluentes na corrosão metálica: um experimento para o ensino da corrosão","Bidetti, Bárbara Bidoia, Balthazar, Priscila Aoki, Acciari, Heloisa Andréa, Codaro, Eduardo Norberto","Química Nova; 34(8); 1472-1475","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800031&lang=pt" 
"S0100-40422011000800030-scl","Tratamento de resíduos de corante por eletrofloculação: um experimento para cursos de graduação em química","Aquino Neto, Sidney de, Magri, Thiago Cavalheiro, Silva, Gláucia Maria da, Andrade, Adalgisa Rodrigues de","Química Nova; 34(8); 1468-1471","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800030&lang=pt" 
"S0100-40422011000800024-scl","Avaliação da eficiência das técnicas ESI-MS e ATR/FTIR na determinação de adulteração de BX com querosene e óleo residual","Soares, Itânia Pinheiro, Russo, Renato Monteiro de Oliveira, Prates, Ravi Govinda Dardot, Augusti, Rodinei, Fortes, Isabel Cristina Pereira, Pasa, Vânya Márcia Duarte","Química Nova; 34(8); 1439-1442","Química Nova","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422011000800024&lang=pt" 
