"S0074-02761986000600042-scl","Some aspects of treatment, prophylaxis and  chemoresistance of plasmodium falciparum malaria","Boulos, Marcos, Di Santi, Silvia Maria, Barata, Luis Carlos Barradas, Segurado, Aluisio Augusto Cotrim, Dutra, Araripe Pacheco, Neves, Vera Lucia Fonseca de Camargo","Memórias do Instituto Oswaldo Cruz; 81(); 255-257","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000600042&lang=pt" 
"S0074-02761986000600043-scl","Mefloquine clinical trials - therapeutical experience with mefloquine alone and combination (MSP) in brazilian male subjects with falciparum malaria","Souza, José Maria","Memórias do Instituto Oswaldo Cruz; 81(); 259-268","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000600043&lang=pt" 
"S0074-02761986000600041-scl","Pharmacologically active chemical mediators in plasmodium berghei malaria","Cordeiro, Renato S. B., Martins, Marco A., Cunha, Fernando Q., Weg, Vivian B., A. Filho, Jamil, Flores, Carlos A., Silva, Patricia M. R. e, Henriques, Maria G. M. O.","Memórias do Instituto Oswaldo Cruz; 81(); 251-254","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000600041&lang=pt" 
"S0074-02761986000600040-scl","HPD-induced reversal of chloroquine resistance of malaria","Sogandares-Bernal, F., Matthews, J. L., Judy, M. M.","Memórias do Instituto Oswaldo Cruz; 81(); 241-250","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000600040&lang=pt" 
"S0074-02761986000600023-scl","Cloning and characterization of plasmodium falciparum strains","Rosario, Virgilio E. do, Couto, Alvaro A., Vasconcellos, Marco A., Oliveira, Salma G. de","Memórias do Instituto Oswaldo Cruz; 81(); 143-148","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000600023&lang=pt" 
"S0074-02761986000600001-scl","Malaria control at the cross-roads!. Where do we go from here?","Bruce-Chwatt, Leonard Jan","Memórias do Instituto Oswaldo Cruz; 81(); 1-4","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000600001&lang=pt" 
"S0074-02761986000600002-scl","Malaria vectors in Brazil","Deane, Leonidas M.","Memórias do Instituto Oswaldo Cruz; 81(); 5-14","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000600002&lang=pt" 
"S0074-02761986000600003-scl","Proceeding of the round-table on epidemiology and control in Brazil","Marques, Agostinho Cruz","Memórias do Instituto Oswaldo Cruz; 81(); 15-15","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000600003&lang=pt" 
"S0074-02761986000600004-scl","Migrations and the dissemination of malaria in Brazil","Marques, Agostinho Cruz","Memórias do Instituto Oswaldo Cruz; 81(); 17-30","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000600004&lang=pt" 
"S0074-02761986000600005-scl","The potential contribution of social research to control of malaria in Brazil","Sawyer, Donald","Memórias do Instituto Oswaldo Cruz; 81(); 31-37","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000600005&lang=pt" 
"S0074-02761986000600006-scl","Comments on the epidemiology and control of malaria in Brazil","Tauil, Pedro Luiz","Memórias do Instituto Oswaldo Cruz; 81(); 39-41","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000600006&lang=pt" 
"S0074-02761986000600007-scl","Natural resistance and predisposition factors, and their importance for malaria control programme in Brazil","Meira, Domingos Alves, Curi, Paulo Roberto, Barraviera, Benedito","Memórias do Instituto Oswaldo Cruz; 81(); 43-44","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000600007&lang=pt" 
"S0074-02761986000600008-scl","Development of a sporozoite malaria vaccine","Nussenzweig, Victor, Nussenzweig, Ruth S.","Memórias do Instituto Oswaldo Cruz; 81(); 45-55","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000600008&lang=pt" 
"S0074-02761986000600009-scl","Proceedings of the round-table on parasite antigens and molecular biology","Nussenzweig, Ruth S.","Memórias do Instituto Oswaldo Cruz; 81(); 57-58","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000600009&lang=pt" 
"S0074-02761986000600010-scl","Antigens of plasmodium vivax blood stage parasites identified by monoclonal antibodies","Barnwell, John W.","Memórias do Instituto Oswaldo Cruz; 81(); 59-61","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000600010&lang=pt" 
"S0074-02761986000600011-scl","Antigens of the asexual stages of plasmodium falciparum","Brown, G. V., Kemp, D. J., Coppel, R. L., Crewther, P. E., Culvenor, J. G., Anders, R. F.","Memórias do Instituto Oswaldo Cruz; 81(); 63-68","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000600011&lang=pt" 
"S0074-02761986000600012-scl","Some aspects of transmission blocking immunity reviewed","Ponnudurai, T., Meuwissen, J. H. E. T.","Memórias do Instituto Oswaldo Cruz; 81(); 69-75","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000600012&lang=pt" 
"S0074-02761986000600013-scl","Antibodies to repeated amino acid sequences in Pf155, a merozoite associated antigen of plasmodium falciparum","Berzins, Klavs, Perlmann, Hedvig, Wahlin, Birgitta, Ruangjirachuporn, Wipaporn, Högh, Birthe, Petersen, Eskild, Björkman, Anders, Perlmann, Peter","Memórias do Instituto Oswaldo Cruz; 81(); 77-81","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000600013&lang=pt" 
"S0074-02761986000600014-scl","Protective antigens from erythrocytic stages: recent progress and perspectives for the development of a vaccine","Perrin, Luc, Shaw, Alan","Memórias do Instituto Oswaldo Cruz; 81(); 83-88","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000600014&lang=pt" 
"S0074-02761986000600015-scl","Antigenic cross-reactivity of plasmodium falciparum antigens expressed in escherichia coli","Ozaki, Luiz Shozo, Mattei, Denise, David, Peter, Mercerau-Puijalon, Odile, Blisnick, Thierry, Silva, Luiz Pereira da","Memórias do Instituto Oswaldo Cruz; 81(); 89-91","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000600015&lang=pt" 
"S0074-02761986000600016-scl","Proceeding of the round-table on host-parasite relationship","Howard, Russell J.","Memórias do Instituto Oswaldo Cruz; 81(); 93-94","Memórias do Instituto Oswaldo Cruz","Inglês","1986","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02761986000600016&lang=pt" 
