"S0101-81751999000500001-scl","Catálogo de Apoidea da região neotropical (Hymenoptera, Colletidae). I. paracolletini","Moure, Jesus S., Graf, Vinalto, Urban, Danúncia","Revista Brasileira de Zoologia; 16(); 1-46","Revista Brasileira de Zoologia","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81751999000500001&lang=pt" 
"S0101-81751999000500002-scl","Espécies novas de Tetrapedia Klug (Apoidea, Anthophoridae)","Moure, Jesus S.","Revista Brasileira de Zoologia; 16(); 47-71","Revista Brasileira de Zoologia","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81751999000500002&lang=pt" 
"S0101-81751999000500003-scl","Tipos de Halictidae de Vachal no Naturkunde Museum, Berlin (Hymenoptera, Apoidea)","Moure, Jesus S.","Revista Brasileira de Zoologia; 16(); 73-89","Revista Brasileira de Zoologia","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81751999000500003&lang=pt" 
"S0101-81751999000500004-scl","Novas espécies e notas sobre Euglossinae do Brasil e Venezuela (Hymenoptera, Apidae)","Moure, Jesus S.","Revista Brasileira de Zoologia; 16(); 91-104","Revista Brasileira de Zoologia","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81751999000500004&lang=pt" 
"S0101-81751999000500005-scl","Espécies de Parapsaenythia de Costa Rica descritas por Friese (Hymenoptera, Apoidea)","Moure, Jesus S.","Revista Brasileira de Zoologia; 16(); 105-111","Revista Brasileira de Zoologia","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81751999000500005&lang=pt" 
"S0101-81751999000500006-scl","Espécies de Panurgillus Schlindwein &amp; Moure (Hymenoptera, Andrenidae) depositados no Naturkunde Museum, Berlin","Schlindwein, Clemens, Moure, Jesus Santiago","Revista Brasileira de Zoologia; 16(); 113-133","Revista Brasileira de Zoologia","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81751999000500006&lang=pt" 
"S0101-81751999000500007-scl","Espécies novas e notas sobre Anthodioctes Holmberg (Hymenoptera, Apoidea, Megachilidae)","Urban, Danúncia","Revista Brasileira de Zoologia; 16(); 135-169","Revista Brasileira de Zoologia","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81751999000500007&lang=pt" 
"S0101-81751999000500008-scl","Ginandromorfia em Alloscirtetica brethesi (Joergensen) (Hymenoptera, Anthophoridae)","Urban, Danúncia","Revista Brasileira de Zoologia; 16(); 171-173","Revista Brasileira de Zoologia","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81751999000500008&lang=pt" 
"S0101-81751999000500009-scl","Espécies novas de Eucerinae Neotropicais e notas sobre Dasyhalonia phaeoptera Moure &amp; Michener (Hymenoptera, Anthophoridae)","Urban, Danúncia","Revista Brasileira de Zoologia; 16(); 175-179","Revista Brasileira de Zoologia","Português","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81751999000500009&lang=pt" 
"S0101-81751999000500011-scl","Aglaenita Spinola and A. bipunctata Spinola (Hemiptera, Auchenorrhyncha, Cicadellidae): redescription of both taxa and taxonomic notes","Cavichioli, Rodney Ramiro","Revista Brasileira de Zoologia; 16(); 189-192","Revista Brasileira de Zoologia","Inglês","1999","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81751999000500011&lang=pt" 
