"S0104-14282013000100019-scl","Influência da concentração e purificação da argila na estrutura e permeação ao vapor de água de nanocompósitos PEBDL/bentonita","Silva, Eduardo M., Coutinho, M Goretti F., Costa, Raquel B., Carvalho, Laura H. de, Canedo, Eduardo L.","Polímeros; 23(1); 108-114","Polímeros","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000100019&lang=pt" 
"S0104-14282013000100006-scl","AFM and XRD characterization of silver nanoparticles films deposited on the surface of DGEBA epoxy resin by ion sputtering","Andrade, José Elisandro de, Machado, Rogério, Macêdo, Marcelo Andrade, Cunha, Frederico Guilherme Carvalho","Polímeros; 23(1); 19-23","Polímeros","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000100006&lang=pt" 
"S0104-14282013000100016-scl","Síntese e caracterização de copolímeros reticulados à base de estireno, divinilbenzeno e metacrilato de metila com propriedades magnéticas","Souza, Flavio S., Costa, Marcos A. S., Maria, Luiz Claudio de Santa, Mello, Ivana L., Silva, Manoel R., Wang, Shu H.","Polímeros; 23(1); 82-90","Polímeros","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000100016&lang=pt" 
"S0104-14282013000100009-scl","Starch/polyester films: simultaneous optimisation of the properties for the production of biodegradable plastic bags","Olivato, J. B., Grossmann, M. V. E., Bilck, A. P., Yamashita, F., Oliveira, L. M.","Polímeros; 23(1); 32-36","Polímeros","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000100009&lang=pt" 
"S0104-14282013000300001-scl","Cellulose-reinforced composites: from micro-to nanoscale","Dufresne, Alain, Belgacem, Mohamed N.","Polímeros; 23(3); 277-286","Polímeros","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000300001&lang=pt" 
"S0104-14282013000300002-scl","Polysaccharide-based biomaterials with antimicrobial and antioxidant properties","Coma, Véronique","Polímeros; 23(3); 287-297","Polímeros","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000300002&lang=pt" 
"S0104-14282013000300016-scl","Estudo do efeito da adição de PP reciclado nas propriedades mecânicas e de escoamento de misturas de PP/EPDM","Santos, Luciene da S., Silva, Antonio H. Monteiro da F. T. da, Pacheco, Elen B. A. V., Silva, Ana L. N. da","Polímeros; 23(3); 389-394","Polímeros","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000300016&lang=pt" 
"S0104-14282013000300021-scl","Despolimerização química de PET grau Garrafa pós-consumo na presença de um catalisador catiônico, o brometo de hexadeciltrimetrilamônio (CTAB)","Vanini, Gabriela, Castro, Eustáquio V. R. de, Silva Filho, Eloi Alves da, Romão, Wanderson","Polímeros; 23(3); 425-431","Polímeros","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000300021&lang=pt" 
"S0104-14282013000300017-scl","Efeito do óleo de linhaça e do óleo de amendoim sobre a vulcanização da borracha natural (NR). parte I: modelo generalizado","Bezerra, Alexandre, Santos, Alex. C. S., Costa, Helson M. da, Ramos, Valéria D., Costa, Helson M. da","Polímeros; 23(3); 395-401","Polímeros","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000300017&lang=pt" 
"S0104-14282013000300018-scl","Imunomodulação de fagócitos do sangue humano pelo extrato de Strychnos pseudoquina ST. HILL adsorvido em microesferas de Polietilenoglicol","Côrtes, Mayra Aparecida, França, Eduardo Luzía, Reinaque, Ana Paula Barcelos, Scherer, Edson Fredulin, Honorio-França, Adenilda Cristina","Polímeros; 23(3); 402-409","Polímeros","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000300018&lang=pt" 
"S0104-14282013000300008-scl","Influence of the polyhedral oligomeric silsesquioxane n-phenylaminopropyl: POSS in the thermal stability and the glass transition temperature of epoxy resin","Pistor, Vinícius, Soares, Bluma Guenther, Mauler, Raquel Santos","Polímeros; 23(3); 331-338","Polímeros","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000300008&lang=pt" 
"S0104-14282013000300019-scl","Efeito da montmorilonita organifílica na compatibilização e nas propriedades morfológicas, mecânicas e térmicas de blendas de PA6/ PEBD","Coelho, Paulo Henrique da Silva Leite, Morales, Ana Rita","Polímeros; 23(3); 410-416","Polímeros","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000300019&lang=pt" 
"S0104-14282013000300020-scl","Avaliação comparativa das propriedades de xantanas produzidas pelo patovar pruni e clairana com xantana comercial para predição de uso","Oliveira, Patrícia D., Vendruscolo, Claire T., Borges, Caroline D., Michel, Ricardo C., Lomba, Rosana T.","Polímeros; 23(3); 417-424","Polímeros","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000300020&lang=pt" 
"S0104-14282013000300004-scl","UV and gamma irradiation effects on surface properties of polyurethane derivate from castor oil","Azevedo, Elaine C., Nascimento, Eduardo M., Chierice, Gilberto O., Claro Neto, Salvador, Lepienski, Carlos M.","Polímeros; 23(3); 305-311","Polímeros","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-14282013000300004&lang=pt" 
