"S0102-33062012000400026-scl","Estresse salino na germinação de sementes e desenvolvimento de plântulas de niger (Guizotia abyssinica (L.f.) Cass.)","Gordin, Carla Regina Baptista, Marques, Rodolpho Freire, Masetto, Tathiana Elisa, Souza, Luiz Carlos Ferreira de","Acta Botanica Brasilica; 26(4); 966-972","Acta Botanica Brasilica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062012000400026&lang=pt" 
"S0102-33062012000400027-scl","Estudos morfológicos e taxonômicos em Hypnea cornuta (Kützing) J. Agardh (Gigartinales, Rhodophyta) no litoral da Bahia, Brasil","Jesus, Priscila Barreto de, Nunes, José Marcos de Castro","Acta Botanica Brasilica; 26(4); 973-978","Acta Botanica Brasilica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062012000400027&lang=pt" 
"S0366-69132012000400002-scl","Obtenção de argilas organofílicas purificadas através de tensoativos iônicos e não iônicos visando uso em fluidos de perfuração base óleo","Costa, J. M. R., Silva, I. A., Ferreira, H. S., Menezes, R. R., Neves, G. A., Ferreira, H. C.","Cerâmica; 58(348); 419-435","Cerâmica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132012000400002&lang=pt" 
"S0366-69132012000400003-scl","Conservação de energia em fornos de cozimento de anodo","Tiba, P. R. T., Teider, B. H., Gallo, J. B., Ferreira, M. C., Pandolfelli, V. C.","Cerâmica; 58(348); 436-443","Cerâmica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132012000400003&lang=pt" 
"S0366-69132012000400006-scl","Síntese de zeólita do tipo faujasita a partir de um rejeito de caulim","Hildebrando, E. A., Angélica, R. S., Neves, R. F., Valenzuela-Diaz, F. R.","Cerâmica; 58(348); 453-458","Cerâmica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132012000400006&lang=pt" 
"S0366-69132012000400009-scl","Caracterização estrutural, textural e morfológica de aluminato de lítio (LiAlO2) sintetizado por coprecipitação","Nascimento, A. C., Mohallem, N. D. S.","Cerâmica; 58(348); 468-474","Cerâmica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132012000400009&lang=pt" 
"S0366-69132012000400018-scl","Síntese de pós de LaMnO3 e LaCrO3 dopados com Sr pelo método de combustão: caracterização estrutural e avaliação termodinâmica","Silva, A. L. A. da, Conceição, L. da, Rocco, A. M., Souza, M. M. V. M.","Cerâmica; 58(348); 521-528","Cerâmica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132012000400018&lang=pt" 
"S0366-69132012000400020-scl","Propriedades estruturais e eletrônicas de óxidos de ferro em esmaltes celadon (II)","Hidaka, M., Takeuchi, K., Wijesundera, R. P., Kumara, L. S. R., Sugihara, S., Momoshima, N., Kubuki, S., Sung, Nark Eon","Cerâmica; 58(348); 534-541","Cerâmica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132012000400020&lang=pt" 
"S0366-69132012000400021-scl","Adição de escória de alto forno em argamassas colantes tipo AC-I","Rossa Jr., J., Portella, K. F.","Cerâmica; 58(348); 542-548","Cerâmica","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0366-69132012000400021&lang=pt" 
"S0104-06182012000400002-scl","Estratégia de desenvolvimento e as três frentes de expansão no Brasil: um desenho conceitual","Bielschowsky, Ricardo","Economia e Sociedade; 21(spe); 729-747","Economia e Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182012000400002&lang=pt" 
"S0104-06182012000400003-scl","Velhos e novos desenvolvimentismos","Carneiro, Ricardo de Medeiros","Economia e Sociedade; 21(spe); 749-778","Economia e Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182012000400003&lang=pt" 
"S0104-06182012000400004-scl","A economia política do novo-desenvolvimentismo e do social desenvolvimentismo","Bastos, Pedro Paulo Zahluth","Economia e Sociedade; 21(spe); 779-810","Economia e Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182012000400004&lang=pt" 
"S0104-06182012000400006-scl","A desindustrialização no Brasil","Cano, Wilson","Economia e Sociedade; 21(spe); 831-851","Economia e Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182012000400006&lang=pt" 
"S0104-06182012000400007-scl","Taxa de câmbio, comércio exterior e desindustrialização precoce: o caso brasileiro","Marconi, Nelson, Rocha, Marcos","Economia e Sociedade; 21(spe); 853-888","Economia e Sociedade","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-06182012000400007&lang=pt" 
"S1852-236X2012000400001-arg","Staphylococcus aureus meticilino resistente adquirido en la comunidad: una nueva amenaza","de Vedia, Lautaro, Lista, Nicolás, Piovano, Gabriela, Akkauy, Valeria Amaya, Rodríguez, Alejandra, Eusebio, María José, Cisneros, Juan Carlos, Prieto, Raúl","Revista americana de medicina respiratoria; 12(4); 131-139","Revista americana de medicina respiratoria","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-236X2012000400001&lang=pt" 
"S1852-236X2012000400002-arg","Profilaxis de enfermedad tromboembólica venosa en pacientes adultos sometidos a cirugía: Estudio multicéntrico en instituciones públicas y privadas de Argentina","Schönfeld, Daniel, Ortiz, Cristina, Vanoni, Susana, López, Ana, Precerutti, Juan, Penizzotto, Miguel, Barinboim, Enrique, Abdala, Javier, Gaitán, Cristina, Morales, Rosana, Carlés, Daniel","Revista americana de medicina respiratoria; 12(4); 140-147","Revista americana de medicina respiratoria","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-236X2012000400002&lang=pt" 
"S1852-236X2012000400003-arg","Semiología broncoscópica: Descripción de dos nuevos signos","Isidoro, Ricardo","Revista americana de medicina respiratoria; 12(4); 148-151","Revista americana de medicina respiratoria","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-236X2012000400003&lang=pt" 
"S1852-236X2012000400004-arg","Poligrafía respiratoria en el diagnóstico de los trastornos respiratorios durante el sueño: Una herramienta necesaria para el neumonólogo","Borsini, Eduardo, Bosio, Martín, Quadrelli, Silvia, Campos, Jerónimo, Décima, Tamara, Chertcoff, Julio","Revista americana de medicina respiratoria; 12(4); 152-160","Revista americana de medicina respiratoria","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-236X2012000400004&lang=pt" 
"S1852-236X2012000400005-arg","Tuberculosis por inoculación","Boccia, Carlos Mario, Gutiérrez, Marisa, Benedetti, Daniel, Rey, Darío, Faccioli, Graciela, González, José","Revista americana de medicina respiratoria; 12(4); 161-165","Revista americana de medicina respiratoria","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-236X2012000400005&lang=pt" 
"S1852-236X2012000400006-arg","Tumor fibroso solitario pleural de lenta evolución","Patané, Ana Karina, Rayá, Mercedes, Rosales, Adolfo, Rivero, Hector, Rojas, Oscar","Revista americana de medicina respiratoria; 12(4); 166-169","Revista americana de medicina respiratoria","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-236X2012000400006&lang=pt" 
"S1519-99402012000400001-scl","Valor nutritivo de cultivares de cana-de-açúcar sob irrigação","Voltolini, Tadeu Vinhas, Silva, José Gledyson da, Silva, Wellington Erasmo de Lima, Nascimento, Jorge Messias Leal do, Queiroz, Mário Adriano Ávila, Oliveira, Anderson Ramos de","Revista Brasileira de Saúde e Produção Animal; 13(4); 894-901","Revista Brasileira de Saúde e Produção Animal","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-99402012000400001&lang=pt" 
"S1519-99402012000400014-scl","Suplementação proteica a pasto sob o consumo, digestibilidade e desempenho na terminação de novilhos Nelore na época das águas","Souza, Danilo Ribeiro de, Silva, Fabiano Ferreira da, Rocha Neto, Aires Lima, Silva, Vinícius Lopes da, Dias, Daniel Lucas Santos, Souza, Dicastro Dias de, Almeida, Paulo José Presídio, Pondé, Wagner Patrick Sá Teles Silva","Revista Brasileira de Saúde e Produção Animal; 13(4); 1121-1132","Revista Brasileira de Saúde e Produção Animal","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-99402012000400014&lang=pt" 
"S1519-99402012000400010-scl","Produção de metano entérico em pastagens tropicais","Berchielli, Telma Teresinha, Messana, Juliana Duarte, Canesin, Roberta Carrilho","Revista Brasileira de Saúde e Produção Animal; 13(4); 954-968","Revista Brasileira de Saúde e Produção Animal","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-99402012000400010&lang=pt" 
"S1519-99402012000400013-scl","Nutrient intake and quantitative aspects of carcass of finishing sheep fed with diets containing cashew nut meal","Nascimento, Emiliano Nunes do, Rogério, Marcos Cláudio Pinheiro, Batista, Ana Sancha Malveira, Carneiro, Maria Socorro de Souza, Vasconcelos, Angela Maria de, Leite, Eneas Reis, Landim, Aline Vieira, Silva, Vandenberg Lira, Costa, Joaquim Bezerra, Costa, Hélio Henrique Araújo","Revista Brasileira de Saúde e Produção Animal; 13(4); 1099-1111","Revista Brasileira de Saúde e Produção Animal","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-99402012000400013&lang=pt" 
"S1519-99402012000400017-scl","Nematoides gastrintestinais e Cryptosporidium sp. em avestruzes e fatores associados à infecção no Polo Regional do Paraguaçu, Estado da Bahia","Oliveira, Alex Aguiar de, Borges, Simone Lopes, Julião, Fred da Silva, Silva, Ademilton, Souza, Verena Maria Mendes de, Silveira, Roberta Xavier da, Teixeira, Márcia Cristina Aquino, Almeida, Maria Angela Ornelas de","Revista Brasileira de Saúde e Produção Animal; 13(4); 1054-1065","Revista Brasileira de Saúde e Produção Animal","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-99402012000400017&lang=pt" 
"S1519-99402012000400018-scl","Desenvolvimento de materiais adsorventes de óleos a partir de resíduos do beneficiamento do café e sua aplicação na ração para aves","Oliveira, Lílian Karla, Castro, Solange de Faria, Bertechini, Antonio Gilberto, Lima, Eduardo Machado Costa, Espósito, Marcelo, Bianchi, Maria Lúcia","Revista Brasileira de Saúde e Produção Animal; 13(4); 902-911","Revista Brasileira de Saúde e Produção Animal","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-99402012000400018&lang=pt" 
"S1519-99402012000400021-scl","Desempenho, morfometria de órgãos e histologia intestinal de suínos na fase de terminação tardia alimentados com cana-de-açúcar","Arouca, Cláudio Luiz Correa, Maciel, Mônica Patrícia, Aiura, Felipe Shindy, Barbosa, Marcília Medrado, Botelho, Luiz Fernando Rocha, Pereira, Fernando Matos, Pereira, Fabiano Matos","Revista Brasileira de Saúde e Produção Animal; 13(4); 1074-1083","Revista Brasileira de Saúde e Produção Animal","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-99402012000400021&lang=pt" 
"S1808-24322012000200014-scl","Direito islâmico e direito internacional: os termos de uma relação","Nasser, Salem Hikmat","Revista Direito GV; 8(2); 725-744","Revista Direito GV","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-24322012000200014&lang=pt" 
"S1808-24322012000200010-scl","O dobro ou nada: a regulação de jogos de azar","Ragazzo, Carlos Emmanuel Joppert, Ribeiro, Gustavo Sampaio de Abreu","Revista Direito GV; 8(2); 625-650","Revista Direito GV","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-24322012000200010&lang=pt" 
"S1808-24322012000200008-scl","Regulação da investigação de paternidade biológica: perspetiva comparada","Machado, Helena Cristina Ferreira, Silva, Susana Manuela Ribeiro Dias da, Miranda, Diana Catarina de Oliveira","Revista Direito GV; 8(2); 573-586","Revista Direito GV","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-24322012000200008&lang=pt" 
"S1808-24322012000200013-scl","O embasamento dos direitos humanos e sua relação com os direitos fundamentais a partir do diálogo garantista com a teoria da reinvenção dos direitos humanos","Cademartori, Luiz Henrique Urquhart, Grubba, Leilane Serratine","Revista Direito GV; 8(2); 703-724","Revista Direito GV","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-24322012000200013&lang=pt" 
"S1519-99402012000400012-scl","Bagaço de mandioca em dietas de frangos de corte","Sousa, Joana Patrícia Lira de, Rodrigues, Kênia Ferreira, Albino, Luiz Fernando Teixeira, Santos Neta, Ernestina Ribeiro dos, Vaz, Roberta Gomes Marçal Vieira, Parente, Iberê Pereira, Silva, Gerson Fausto da, Amorim, Aline Ferreira","Revista Brasileira de Saúde e Produção Animal; 13(4); 1044-1053","Revista Brasileira de Saúde e Produção Animal","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-99402012000400012&lang=pt" 
"S1413-41522012000400002-scl","Ecosystem approach and the Fuzzy logic: a dialectical proposal for information on Environmental Health","Canavese, Daniel, Ortega, Neli Regina Siqueira, Giatti, Leandro Luiz","Engenharia Sanitaria e Ambiental; 17(4); 363-368","Engenharia Sanitaria e Ambiental","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522012000400002&lang=pt" 
"S1413-41522012000400004-scl","Análise do sistema de gerenciamento dos resíduos de serviços de saúde nos municípios da bacia hidrográfica do Rio dos Sinos, Rio Grande do Sul, Brasil","Gomes, Luciana Paulo, Esteves, Roger Vinicius Rosa","Engenharia Sanitaria e Ambiental; 17(4); 377-384","Engenharia Sanitaria e Ambiental","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522012000400004&lang=pt" 
"S1413-41522012000400005-scl","Efeito da aplicação de água residuária de suinocultura no solo e na qualidade dos seus lixiviados","Bolzani, Hugo Renan, Oliveira, Darlene Lopes do Amaral, Lautenschlager, Sandro Rogério","Engenharia Sanitaria e Ambiental; 17(4); 385-392","Engenharia Sanitaria e Ambiental","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522012000400005&lang=pt" 
"S1413-41522012000400006-scl","Cisternas para armazenamento de água de chuva e efeito na diarreia infantil: um estudo na área rural do semiárido de Minas Gerais","Silva, Carolina Ventura da, Heller, Léo, Carneiro, Mariângela","Engenharia Sanitaria e Ambiental; 17(4); 393-400","Engenharia Sanitaria e Ambiental","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522012000400006&lang=pt" 
"S1413-41522012000400008-scl","Aplicação de biomassa fúngica de Pleurotus ostreatus em processo de biossorção de íons cobre (II)","Buratto, Ana Paula, Costa, Raquel Dalla, Ferreira, Edilson da Silva","Engenharia Sanitaria e Ambiental; 17(4); 413-420","Engenharia Sanitaria e Ambiental","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522012000400008&lang=pt" 
"S1413-41522012000400009-scl","Emprego do carvão ativado para remoção de atrazina em água de abastecimento público","Coelho, Edumar Ramos Cabral, Vazzoler, Heverton, Leal, Waldileira Pereira","Engenharia Sanitaria e Ambiental; 17(4); 421-428","Engenharia Sanitaria e Ambiental","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-41522012000400009&lang=pt" 
"S1519-99402012000400002-scl","Inoculação de silagens de grãos úmidos de milho, em diferentes processamentos","Morais, Maria da Graça, Ítavo, Camila Celeste Brandão Ferreira, Ítavo, Luís Carlos Vinhas, Bungenstab, Davi José, Ribeiro, Caroline Bertholini, Oliveira, Lincoln Bremm, Silva, Jonilson Araújo da","Revista Brasileira de Saúde e Produção Animal; 13(4); 969-981","Revista Brasileira de Saúde e Produção Animal","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-99402012000400002&lang=pt" 
"S1519-99402012000400003-scl","Características da fermentação e estabilidade aeróbia de silagens de milho inoculadas com Bacillus subtilis","Basso, Fernanda Carvalho, Lara, Erika Christina, Assis, Flávia Borges de, Rabelo, Carlos Henrique Silveira, Morelli, Marcela, Reis, Ricardo Andrade","Revista Brasileira de Saúde e Produção Animal; 13(4); 1009-1019","Revista Brasileira de Saúde e Produção Animal","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-99402012000400003&lang=pt" 
"S1519-99402012000400004-scl","Farelo de mandioca na ensilagem de capim-elefante: fracionamento de carboidratos e proteínas e características fermentativas","Oliveira, Aline Cardoso, Garcia, Rasmo, Pires, Aureliano José Vieira, Oliveira, Hellenn Cardoso, Almeida, Vitor Visintin Silva de, Veloso, Cristina Mattos, Rocha Neto, Aires Lima, Oliveira, Ueslei Leonardo Cardoso","Revista Brasileira de Saúde e Produção Animal; 13(4); 1020-1031","Revista Brasileira de Saúde e Produção Animal","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-99402012000400004&lang=pt" 
"S1519-99402012000400007-scl","Estrutura populacional e tendências genéticas e fenotípicas da raça Guzerá no Nordeste do Brasil","Santos, Leonardo Hunaldo, Oliveira, Sônia Maria Pinheiro de, Malhado, Carlos Henrique Mendes, Carneiro, Paulo Luiz de Souza, Martins Filho, Raimundo, Lôbo, Raimundo Nonato Braga, Rodrigues, Daliane da Silva","Revista Brasileira de Saúde e Produção Animal; 13(4); 1032-1043","Revista Brasileira de Saúde e Produção Animal","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-99402012000400007&lang=pt" 
"S1519-99402012000400011-scl","Uso da cana-de-açúcar na alimentação de ruminantes","Siqueira, Gustavo Rezende, Roth, Marcella de Toledo Piza, Moretti, Matheus Henrique, Benatti, João Marcos Beltrame, Resende, Flávio Dutra de","Revista Brasileira de Saúde e Produção Animal; 13(4); 991-1008","Revista Brasileira de Saúde e Produção Animal","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-99402012000400011&lang=pt" 
"S1519-99402012000400015-scl","Desenvolvimento de órgãos do trato gastrintestinal e desempenho de frangos de corte arraçoados na fase pré-alojamento","Agostinho, Tarcísio Simões Pereira, Calixto, Lígia Fátima Lima, Gomes, Augusto Vidal da Costa, Togashi, Cristina Kimie, Curvello, Fernando Augusto, Lima, Marcos Fabio de","Revista Brasileira de Saúde e Produção Animal; 13(4); 1143-1155","Revista Brasileira de Saúde e Produção Animal","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-99402012000400015&lang=pt" 
"S1519-99402012000400016-scl","Nutrients balances and milk fatty acid profile of mid lactation dairy cows supplemented with monensin","Gandra, Jefferson Rodrigues, Rennó, Francisco Palma, Freitas Júnior, José Esler, Maturana Filho, Milton, Barletta, Rafael Villela","Revista Brasileira de Saúde e Produção Animal; 13(4); 1180-1196","Revista Brasileira de Saúde e Produção Animal","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-99402012000400016&lang=pt" 
"S1519-99402012000400019-scl","Curva de crescimento de ovinos Santa Inês no Vale do Gurgueia","Ó, Alan Oliveira do, Rêgo Neto, Aurino de Araújo, Santos, Gleyson Vieira dos, Sarmento, José Lindenberg Rocha, Biagiotti, Daniel, Sousa, José Ernandes Rufino de","Revista Brasileira de Saúde e Produção Animal; 13(4); 912-922","Revista Brasileira de Saúde e Produção Animal","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-99402012000400019&lang=pt" 
"S1519-99402012000400020-scl","Technological innovations in animal production related to environmental sustainability","Kebreab, Ermias, Moraes, Luis, Strathe, Anders, Fadel, James","Revista Brasileira de Saúde e Produção Animal; 13(4); 923-937","Revista Brasileira de Saúde e Produção Animal","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-99402012000400020&lang=pt" 
"S1519-99402012000400022-scl","Torta de girassol em suplementos múltiplos para bovinos em pastejo no período seco do ano: desempenho produtivo e viabilidade econômica","Mesacasa, Allan Cristian, Zervoudakis, Joanis Tilemahos, Zervoudakis, Luciana Keiko Hatamoto, Cabral, Luciano da Silva, Abreu, Joadil Gonçalves de, Leonel, Fernando de Paula, Silva, Renata Pereira da, Silva, Rafael Ferrato Gonçalves da","Revista Brasileira de Saúde e Produção Animal; 13(4); 1166-1179","Revista Brasileira de Saúde e Produção Animal","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-99402012000400022&lang=pt" 
"S1519-99402012000400023-scl","Desempenho zootécnico de girinos de rã-touro com diferentes níveis de proteína e energia digestíveis","Seixas Filho, José Teixeira de, Navarro, Rodrigo Diana, Pereira, Marcelo Maia, Mello, Sílvia Conceição Reis Pereira, Lanna, Eduardo Arruda Teixeira, Lima, Jorge Luiz Pereira","Revista Brasileira de Saúde e Produção Animal; 13(4); 1112-1120","Revista Brasileira de Saúde e Produção Animal","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-99402012000400023&lang=pt" 
"S1519-99402012000400024-scl","Feeding frequency on growth and male percentage during sexual reversion phase of Nile tilapia","Meurer, Fábio, Bombardelli, Robie Allan, Paixão, Patrícia Santana da, Silva, Lilian Carolina Rosa da, Santos, Lilian Dena dos","Revista Brasileira de Saúde e Produção Animal; 13(4); 1133-1142","Revista Brasileira de Saúde e Produção Animal","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-99402012000400024&lang=pt" 
