"S0100-69912003000600011-scl","Resultados das cirurgias &quot;floppy nissen rossetti&quot; e &quot;floppy nissen longa &quot; realizadas por videolaparascopia em pacientes com esôfago de barrett: estudo prelimilar","Madureira Filho, Delta, Madureira, Fábio Athayde Veloso, Madureira, Fernando Athayde Veloso, Lemme, Eponina","Revista do Colégio Brasileiro de Cirurgiões; 30(6); 464-469","Revista do Colégio Brasileiro de Cirurgiões","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69912003000600011&lang=pt" 
"S0001-37652003000400004-scl","Erratum to &#039;&#039;Lutzomyia longipalpis (Diptera: Psychodidae: Phlebotominae): a review&#039;&#039;","Soares, Rodrigo P.P., Turco, Salvatore J.","Anais da Academia Brasileira de Ciências; 75(4); 441-441","Anais da Academia Brasileira de Ciências","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652003000400004&lang=pt" 
"S0103-90162003000400021-scl","Copper, nickel and zinc phytoavailability in an oxisol amended with sewage sludge and liming","Martins, Adão Luiz Castanheiro, Bataglia, Ondino Cleante, Camargo, Otávio Antonio de","Scientia Agricola; 60(4); 747-754","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400021&lang=pt" 
"S0103-90162003000400025-scl","Ballistic model to estimate microsprinkler droplet distribution","Conceição, Marco Antônio Fonseca, Coelho, Rubens Duarte","Scientia Agricola; 60(4); 775-778","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400025&lang=pt" 
"S0103-90162003000400017-scl","Putative metabolic pathway of mannitol and sorbitol and in sugarcane","Marino, Celso Luís, Leite, Susi Meire Maximino, Farro, Ana Paula Cazerta, Sassaki, Flávio Tetsuo, Campos, Henrique Luis Veronezi de, Coscrato, Virgínia Elias","Scientia Agricola; 60(4); 723-728","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400017&lang=pt" 
"S0103-90162003000400015-scl","Leaf anatomy of rubber-tree clones","Martins, Maria Bernadete Gonçalves, Zieri, Rodrigo","Scientia Agricola; 60(4); 709-713","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400015&lang=pt" 
"S0103-90162003000400023-scl","Nitrogen and silicon fertilization of upland rice","Mauad, Munir, Crusciol, Carlos Alexandre Costa, Grassi Filho, Hélio, Corrêa, Juliano Corulli","Scientia Agricola; 60(4); 761-765","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400023&lang=pt" 
"S0103-90162003000400022-scl","Silicon accumulation and water deficit tolerance in Brachiaria grasses","Melo, Suzana Pereira de, Korndörfer, Gaspar Henrique, Korndörfer, Clotilde Maria, Lana, Regina Maria Quintão, Santana, Denise Garcia de","Scientia Agricola; 60(4); 755-759","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400022&lang=pt" 
"S0103-90162003000400028-scl","Leaf consumption by Diabrotica speciosa (Coleoptera: Chrysomelidade) adults on difFerent host plants","Ávila, Crébio José, Parra, José Roberto Postali","Scientia Agricola; 60(4); 789-792","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400028&lang=pt" 
"S0103-90162003000400029-scl","Biosolids and heavy metals in soils","Silveira, Maria Lucia Azevedo, Alleoni, Luís Reynaldo Ferracciú, Guilherme, Luiz Roberto Guimarães","Scientia Agricola; 60(4); 793-806","Scientia Agricola","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162003000400029&lang=pt" 
