"S0718-27242013000300020-chl","Implication of Legal References on Technological Dissemination: a Study on Transgenic Soybeans Resistant to Glyphosate Herbicide in Brazil","Lopes Rodrigues, Roberta, Salgueiro Lage, Celso Luis, Guimarães Vasconcellos, Alexandre","Journal of technology management &amp; innovation; 8(); 20-20","Journal of technology management &amp; innovation","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242013000300020&lang=pt" 
"S0718-27242013000300053-chl","Academic Research In Technology Innovation Management and Related Thematic Areas in Brazil","Mantovani M. de Azevedo, Adalberto, de Oliveira Mazzoni, Marcela, Silveira, Marco Antonio","Journal of technology management &amp; innovation; 8(); 53-53","Journal of technology management &amp; innovation","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242013000300053&lang=pt" 
"S0718-27242013000300037-chl","Un Modelo de Medición de Resultados en las Prácticas de Innovación Abierta","de PablosHeredero, Carmen, Soret-Los Santos, Ignacio, López-Eguilaz, Máxima Juliana","Journal of technology management &amp; innovation; 8(); 37-37","Journal of technology management &amp; innovation","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242013000300037&lang=pt" 
"S0718-27242013000300054-chl","Technology, Relationship and Support Institutions on Sectoral Systems of Innovation and Production in Brazil&#039;s Northwest Bio Ethanol and Sugar Agro-industry","Peixoto Rosário, Francisco José, Peixoto Santa Rita, Luciana, Pradines de Albuquerque, Paula","Journal of technology management &amp; innovation; 8(); 54-54","Journal of technology management &amp; innovation","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242013000300054&lang=pt" 
"S0718-27242013000300062-chl","Explorando Distintos Tipos de Innovación en Micro y Pequeñas Empresas Peruanas","Yrigoyen, José Isaac","Journal of technology management &amp; innovation; 8(); 62-62","Journal of technology management &amp; innovation","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242013000300062&lang=pt" 
"S0718-27242013000300051-chl","Methodology for Evaluating Innovation Capabilities at University Institutions Using a Fuzzy System","Serrano García, Jakeline, Robledo Velásquez, Jorge","Journal of technology management &amp; innovation; 8(); 51-51","Journal of technology management &amp; innovation","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242013000300051&lang=pt" 
"S0718-27242013000300041-chl","Social Technology and Development in Telemaco Borba/BRAZIL from the Social Network Analysis (SNA)","Heloísa, de Puppi e Silva, da Silva, Christian Luiz, Andreoli, Cleverson Vitorio, Souto Ferigotti, Cristina Maria","Journal of technology management &amp; innovation; 8(); 41-41","Journal of technology management &amp; innovation","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242013000300041&lang=pt" 
"S0718-27242013000300021-chl","Diffusion of Emerging Technologies for Sustainable Development: Prospective Assessment for Public Policies","Ludovico de Almeida, Maria Fatima, Caldas de Moraes, Carlos Augusto","Journal of technology management &amp; innovation; 8(); 20-20","Journal of technology management &amp; innovation","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242013000300021&lang=pt" 
"S0718-27242013000300044-chl","Caracterización de las Redes Científicas Interinstitucionales Universidad Pontificia Bolivariana Sede Medellín - Colombia","Uribe Zirene, Juan de Dios, Cuadros Mejía, Alejandra","Journal of technology management &amp; innovation; 8(); 44-44","Journal of technology management &amp; innovation","Espanhol","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242013000300044&lang=pt" 
"S0718-27242013000300029-chl","The Processing and Marketing of Seeds from the Amazon City of Porto Velho,RO","Rivero, Sidney, Covas, Teresinha","Journal of technology management &amp; innovation; 8(); 29-29","Journal of technology management &amp; innovation","Inglês","2013","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-27242013000300029&lang=pt" 
