"S1808-16572016000100208-scl","Zoonosis associated to Rattus rattus and the impacts of the public actions to control the species","Babolin, Lilian dos Santos, Almeida-Silva, Maria Jeovânia Freire de, Potenza, Marcos Roberto, Fava, Claudia Del, Castro, Vanessa, Harakava, Ricardo, Okuda, Liria Hiromi, Rebouças, Marcia Maria, Campos, Ana Eugênia de Carvalho","Arquivos do Instituto Biológico; 83(); -","Arquivos do Instituto Biológico","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572016000100208&lang=pt" 
"S1808-16572016000100209-scl","Adequação do hospedeiro e parâmetros relacionados à aptidão de Cotesia glomerata L. (Hymenoptera: Braconidae) em diferentes ínstares de Ascia monuste orseis Godart (Lepidoptera: Pieridae)","Pizzatto, Mariana, Pietrowski, Vanda, Alves, Luis Francisco Angeli, Rheinheimer, Ana Raquel","Arquivos do Instituto Biológico; 83(); -","Arquivos do Instituto Biológico","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572016000100209&lang=pt" 
"S0100-879X2016000600501-scl","Random-start controlled ovarian stimulation for emergency fertility preservation in a patient with myelodysplastic syndrome: a case report","Cai, H., Shen, H.","Brazilian Journal of Medical and Biological Research; 49(6); -","Brazilian Journal of Medical and Biological Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2016000600501&lang=pt" 
"S0375-15892016000100004-sza","Age, lighting treatment, feed allocation and feed form influence broiler breeder feeding time","Gous, R.M., Danisman, R.","South African Journal of Animal Science; 46(1); 29-34","South African Journal of Animal Science","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0375-15892016000100004&lang=pt" 
"S0102-311X2016000100301-scl","Os três poderes do Estado e o financiamento do SUS: o ano de 2015","Santos, Alethele Oliveira, Delduque, Maria Celia, Alves, Sandra Mara Campos","Cadernos de Saúde Pública; 32(1); -","Cadernos de Saúde Pública","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2016000100301&lang=pt" 
"S0102-311X2016000100703-scl","Does the knowledge of emergency contraception affect its use among high school adolescents?","Chofakian, Christiane Borges do Nascimento, Borges, Ana Luiza Vilela, Sato, Ana Paula Sayuri, Alencar, Gizelton Pereira, Santos, Osmara Alves dos, Fujimori, Elizabeth","Cadernos de Saúde Pública; 32(1); -","Cadernos de Saúde Pública","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2016000100703&lang=pt" 
"S0102-311X2016000100601-scl","Prospective birth cohort in a hyperendemic dengue area in Northeast Brazil: methods and preliminary results","Braga, Cynthia, Albuquerque, Maria de Fátima Pessoa Militão de, Cordeiro, Marli Tenório, Castanha, Priscila M. S., Ramesh, Anita, Alexander, Neal, Mello, Maria Júlia G. de, Marques Jr, Ernesto T. A., Martelli, Celina M. Turchi","Cadernos de Saúde Pública; 32(1); -","Cadernos de Saúde Pública","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2016000100601&lang=pt" 
"S0102-311X2016000100701-scl","Frequência de problemas vocais autorreferidos e fatores ocupacionais associados em professores da educação básica de Londrina, Paraná, Brasil","Fillis, Michelle Moreira Abujamra, Andrade, Selma Maffei de, González, Alberto Durán, Melanda, Francine Nesello, Mesas, Arthur Eumann","Cadernos de Saúde Pública; 32(1); -","Cadernos de Saúde Pública","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2016000100701&lang=pt" 
"S0102-311X2016000100702-scl","Utilização e fontes de obtenção de medicamentos: um estudo de base populacional no Município de Campinas, São Paulo, Brasil","Costa, Karen Sarmento, Francisco, Priscila Maria Stolses Bergamo, Barros, Marilisa Berti de Azevedo","Cadernos de Saúde Pública; 32(1); -","Cadernos de Saúde Pública","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-311X2016000100702&lang=pt" 
"S0100-29452016000301001-scl","YIELD AND QUALITY OF ‘PERA’ SWEET ORANGE GRAFTED ON DIFFERENT ROOTSTOCKS UNDER RAINFED CONDITIONS","SAMPAIO, ANTONIO HÉLDER RODRIGUES, COELHO FILHO, MAURÍCIO ANTONIO, SOUZA, LAERCIO DUARTE, BRITO, RALPH BRUNO FRANÇA, SILVA, ROBERVAL OLIVEIRA DA","Revista Brasileira de Fruticultura; 38(3); -","Revista Brasileira de Fruticultura","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452016000301001&lang=pt" 
"S0104-64972016000100210-scl","Enosteoides Johnson, 1970 (Crustacea: Decapoda: Anomura: Porcellanidae) from the Central Philippines, with description of a new species of the genus","Osawa, Masayuki","Nauplius; 24(); -","Nauplius","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-64972016000100210&lang=pt" 
"S0100-29452016000303001-scl","ESTABLISHMENT OF YOUNG “DWARF GREEN” COCONUT PLANTS IN SOIL AFFECTED BY SALTS AND UNDER WATER DEFICIT","SILVA, ALEXANDRE REUBER ALMEIDA DA, BEZERRA, FRANCISCO MARCUS LIMA, LACERDA, CLAUDIVAN FEITOSA DE, ARAÚJO, MARIA EMÍLIA BEZERRA DE, LIMA, RONNEY MENDES MAGALHÃES DE, SOUZA, CARLOS HENRIQUE CARVALHO","Revista Brasileira de Fruticultura; 38(3); -","Revista Brasileira de Fruticultura","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-29452016000303001&lang=pt" 
"S0100-879X2016001000605-scl","Swimming training attenuates oxidative damage and increases enzymatic but not non-enzymatic antioxidant defenses in the rat brain","Nonato, L.F., Rocha-Vieira, E., Tossige-Gomes, R., Soares, A.A., Soares, B.A., Freitas, D.A., Oliveira, M.X., Mendonça, V.A., Lacerda, A.C., Massensini, A.R., Leite, H.R.","Brazilian Journal of Medical and Biological Research; 49(10); -","Brazilian Journal of Medical and Biological Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2016001000605&lang=pt" 
"S1517-97022016005006101-scl","A importância da discussão sobre a noção de sujeito: Foucault, Sartre, Merleau-Ponty","Furlan, Reinaldo","Educação e Pesquisa; (ahead); -","Educação e Pesquisa","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-97022016005006101&lang=pt" 
