"S0103-166X2016000300403-scl","From essence to Lebenswelt as a method in phenomenological psychopathology","MOREIRA, Virginia","Estudos de Psicologia (Campinas); 33(3); 403-411","Estudos de Psicologia (Campinas)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2016000300403&lang=pt" 
"S0103-166X2016000300383-scl","Fenomenologia e Psicologia no Brasil: aspectos históricos","HOLANDA, Adriano Furtado","Estudos de Psicologia (Campinas); 33(3); 383-394","Estudos de Psicologia (Campinas)","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2016000300383&lang=pt" 
"S0103-166X2016000300503-scl","Relationships between motivation, cognitive styles and perception of teaching practices for creativity","ALENCAR, Eunice Maria Lima Soriano de, FLEITH, Denise de Souza","Estudos de Psicologia (Campinas); 33(3); 503-513","Estudos de Psicologia (Campinas)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2016000300503&lang=pt" 
"S1516-635X2016000500051-scl","Effect of Led Lighting Colors for Laying Japanese Quails","Nunes, KC, Garcia, RG, Nääs, IA, Eyng, C, Caldara, FR, Sgavioli, S, Roriz, BC, Ayala, CM","Revista Brasileira de Ciência Avícola; 18(spe); 51-56","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000500051&lang=pt" 
"S1516-635X2016000500057-scl","Ultrastructural Assessment of the Integrity of the enteric Mucosa of Commercial Turkeys Vaccinated against Coccidiosis","MRFB, Martins, Mendes, AA, Milbradt, EL, Almeida Paz, ICL, Martins, BB, Fernandes, BCS","Revista Brasileira de Ciência Avícola; 18(spe); 57-60","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000500057&lang=pt" 
"S1516-635X2016000500001-scl","Evaluation of Meat and Egg Traits of Beijing-you Chickens Rotationally Grazing on Chicory Pasture in a Chestnut Forest","Meng, L, Mao, P, Guo, Q, Tian, X","Revista Brasileira de Ciência Avícola; 18(spe); 1-6","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000500001&lang=pt" 
"S2318-03312016000300549-scl","Regularization of hydroelectric reservoir levels through hydro and solar energy complementarity","Mouriño, Gabriela Leal de, Assireu, Arcilan Trevenzoli, Pimenta, Felipe","RBRH; 21(3); 549-555","RBRH","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2318-03312016000300549&lang=pt" 
"S2318-03312016000300646-scl","Cumulative equations for continuous time Chicago hyetograph method","Silveira, André Luiz Lopes da","RBRH; 21(3); 646-651","RBRH","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2318-03312016000300646&lang=pt" 
"S2318-03312016000300570-scl","Evaporation from Camargos hydropower plant reservoir: water footprint characterization","Bueno, Eduardo de Oliveira, Mello, Carlos Rogério de, Alves, Geovane Junqueira","RBRH; 21(3); 570-575","RBRH","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2318-03312016000300570&lang=pt" 
"S2318-03312016000300525-scl","Variação da qualidade da água de chuva com a precipitação: aplicação à cidade de Santa Maria - RS","Hagemann, Sabrina Elicker, Gastaldini, Maria do Carmo Cauduro","RBRH; 21(3); 525-536","RBRH","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2318-03312016000300525&lang=pt" 
