"S1516-35982010000500002-scl","Inclusão de milheto em dietas para alevinos de tilápia-do-nilo formuladas com base na proteína e energia digestíveis","Boscolo, Wilson Rogério, Hayashi, Carmino, Feiden, Aldi, Meurer, Fábio","Revista Brasileira de Zootecnia; 39(5); 950-954","Revista Brasileira de Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010000500002&lang=pt" 
"S1516-35982010000500021-scl","Exigências nutricionais de treonina digestível para poedeiras semipesadas no segundo ciclo de produção","Schmidt, Marlene, Gomes, Paulo Cezar, Rostagno, Horacio Santiago, Albino, Luiz Fernando Teixeira, Nunes, Ricardo Vianna, Cupertino, Edwiney Sebastião","Revista Brasileira de Zootecnia; 39(5); 1099-1104","Revista Brasileira de Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010000500021&lang=pt" 
"S1516-35982010000500020-scl","Redução do nível de proteína bruta em rações para frangos de corte em ambiente de estresse por calor","Oliveira, Will Pereira de, Oliveira, Rita Flávia Miranda de, Donzele, Juarez Lopes, Gomes, Paulo Cezar, Martins, Mariana dos Santos, Assis, Ana Paula de","Revista Brasileira de Zootecnia; 39(5); 1092-1098","Revista Brasileira de Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010000500020&lang=pt" 
"S1516-35982010000500023-scl","The effect of non-genetic factors on the early body weights of Tunisian local goats","Mabrouk, Ouni, Sghaier, Najari, Costa, Roberto Germano, Amor, Gaddour, Amel, Ammar Elgaaied, Delgado, Juan Vicente","Revista Brasileira de Zootecnia; 39(5); 1112-1117","Revista Brasileira de Zootecnia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010000500023&lang=pt" 
"S1516-35982010000500026-scl","Balanço de nitrogênio em fêmeas leiteiras em confinamento alimentadas com concentrado à base de farelo de soja ou farelo de algodão","Santos, Stefanie Alvarenga, Campos, José Maurício de Souza, Valadares Filho, Sebastião de Campos, Oliveira, André Soares de, Souza, Shirley Motta de, Santiago, Alberto Magno Ferreira","Revista Brasileira de Zootecnia; 39(5); 1135-1140","Revista Brasileira de Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010000500026&lang=pt" 
"S1516-35982010000500029-scl","Efeito da gordura protegida sobre a produção e composição do leite em ovelhas da raça Bergamácia","Stradiotto, Monalissa de Melo, Siqueira, Edson Ramos de, Emediato, Rodrigo Martins de Souza, Maestá, Sirlei Aparecida, Martins, Marcela Buosi","Revista Brasileira de Zootecnia; 39(5); 1154-1160","Revista Brasileira de Zootecnia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010000500029&lang=pt" 
"S1516-35982010000500003-scl","Fertilizers for Daphnia sp. (Crustacea, Cladocera) production in experimental tanks","Cunha, Patrícia de Souza Lima, Lanna, Eduardo Arruda Teixeira, Bastos, Rafael Kopschitz Xavier, Quadros, Moisés, Rezende, Fabrício Pereira, Freitas, Leandro Monteiro de","Revista Brasileira de Zootecnia; 39(5); 955-960","Revista Brasileira de Zootecnia","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-35982010000500003&lang=pt" 
"S1134-80462010000400008-esp","Tras el terremoto de Chile","Fernández Rebolledo, R.","Revista de la Sociedad Española del Dolor; 17(4); 217-217","Revista de la Sociedad Española del Dolor","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462010000400008&lang=pt" 
"S1134-80462010000400007-esp","Biofeedback de resistencia galvánica y psicoterapia: Una combinación de éxito en la lucha contra el dolor","Pujol i Gaja, S.","Revista de la Sociedad Española del Dolor; 17(4); 216-216","Revista de la Sociedad Española del Dolor","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462010000400007&lang=pt" 
"S1134-80462010000400010-esp","Positive data in sativex® phase IIb trial: Support advancing into phase III development in cancer pain","Guy, G., Gover, J., Rogerson, M., Atwell, B., Dineen, J.","Revista de la Sociedad Española del Dolor; 17(4); 219-221","Revista de la Sociedad Española del Dolor","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462010000400010&lang=pt" 
"S1134-80462010000400006-esp","Consideraciones de la Organización Médica Colegial para el desarrollo de los cuidados paliativos en España","Gómez Sancho, M., Altisent Trota, R., Bátiz Cantera, J., Ciprés Casasnovas, L., Corral Collantes, P., González Fernández, J.L., Herranz Martínez, J.A., Rocafort Gil, J., Rodríguez Sendín, J.J.","Revista de la Sociedad Española del Dolor; 17(4); 213-215","Revista de la Sociedad Española del Dolor","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462010000400006&lang=pt" 
"S1134-80462010000400001-esp","¿Quo vadis dolor?","Insausti Valdivia, J., Bedmar Cruz, M.D., Pozo Martín, C. del, Abejón González, D., Córdoba Benedicto, J.L. de, Calle Reviriego, J.L. de la, Martí Acebedo, I., González-Escalada Castellón, J.R., Busquets Julià, C., Sala Paya, J., Padrol Munté, A., Franco Gay, M.L., Ramón, J.M., Calvo Sáez, J.I., Sulleiro Carnero, R., Pezonaga Pérez, L., Rubio Artiga, C., Barutell Farinós, C. de, López Pérez, A.E., Collado, A., Rodrigo Royo, M.D., Quero López, J., Cía Blasco, P., Rodríguez Hernández, J.L., Caramés Álvarez, M., Zueras Batista, R.","Revista de la Sociedad Española del Dolor; 17(4); 187-189","Revista de la Sociedad Española del Dolor","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462010000400001&lang=pt" 
"S1134-80462010000400009-esp","Paliativos sin fronteras","Astudillo, W., Vega de Seoane, I.","Revista de la Sociedad Española del Dolor; 17(4); 217-218","Revista de la Sociedad Española del Dolor","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1134-80462010000400009&lang=pt" 
"S1130-01082010000500006-esp","NOD2/CARD15: geographic differences in the Spanish population and clinical applications in Crohn&#039;s disease","Barreiro-de-Acosta, M., Mendoza, J. L., Lana, R., Domínguez-Muñoz, J. E., Díaz-Rubio, M.","Revista Española de Enfermedades Digestivas; 102(5); 321-326","Revista Española de Enfermedades Digestivas","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082010000500006&lang=pt" 
"S1130-01082010000500002-esp","Impact of the total number of harvested lymph nodes after colon cancer resections on survival in patients without involved lymph node","Rivadulla-Serrano, M. I., Martínez-Ramos, D., Armengol-Carrasco, M., Escrig-Sos, J., Daroca-José, J. M., Paiva-Coronel, G. A., Fortea-Sanchís, C., Salvador-Sanchis, J. L.","Revista Española de Enfermedades Digestivas; 102(5); 296-301","Revista Española de Enfermedades Digestivas","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082010000500002&lang=pt" 
"S1130-01082010000500011-esp","Cecal volvulus in a cardiac transplant patient: Report of a case and critical review","Bueno-Delgado, A., Martínez-Regueira, F., Martí-Cruchaga, P., Zozaya-Larequi, G., García-Lallana, A., Rábago, G., Cienfuegos, J. A.","Revista Española de Enfermedades Digestivas; 102(5); 338-339","Revista Española de Enfermedades Digestivas","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082010000500011&lang=pt" 
"S1130-01082010000500014-esp","Endoscopic resection of an oesophageal submucosal tumour: a diserable goal","Morena-López, F. de-la, Esteban-Fernández-Zarza, C., Esteban, J. M., Botella-Mateu, B., García-García, J. A., Santiago-Sánchez, M., Nevado-Santos, M., Cuenca-Morón, B. de","Revista Española de Enfermedades Digestivas; 102(5); 342-344","Revista Española de Enfermedades Digestivas","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082010000500014&lang=pt" 
"S1130-01082010000500001-esp","Intraductal papillary mucinous neoplasm of the pancreas: an emerging indication for surgical therapy","Carballo-Álvarez, F.","Revista Española de Enfermedades Digestivas; 102(5); 293-295","Revista Española de Enfermedades Digestivas","Inglês","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-01082010000500001&lang=pt" 
