"S0103-50532004000600008-scl","Structure and electronic properties of alkylthiophenes coupled by Head-to-Tail and Head-to-Head regioselectivity","Oliveira, Marcos A. de, Almeida, Wagner B. de, Santos, Hélio F. dos","Journal of the Brazilian Chemical Society; 15(6); 832-838","Journal of the Brazilian Chemical Society","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532004000600008&lang=pt" 
"S0103-50532004000600005-scl","Intramolecular ene reactions catalyzed by NbCl5, TaCl5 and InCl3","Andrade, Carlos Kleber Z., Vercillo, Otilie E., Rodrigues, Juliana P., Silveira, Denise P.","Journal of the Brazilian Chemical Society; 15(6); 813-817","Journal of the Brazilian Chemical Society","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532004000600005&lang=pt" 
"S0103-50532004000600003-scl","Voltammetric determination of dipyrone using a N,N&#039;-ethylenebis(salicylideneaminato)oxovanadium(IV) modified carbon-paste electrode","Teixeira, Marcos F. S., Marcolino-Júnior, Luiz H., Fatibello-Filho, Orlando, Dockal, Edward R., Cavalheiro, Éder T. G.","Journal of the Brazilian Chemical Society; 15(6); 803-808","Journal of the Brazilian Chemical Society","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532004000600003&lang=pt" 
"S0101-73302004000400002-scl","Performatividade, privatização e o pós-Estado do Bem-Estar","Ball, Stephen J.","Educação &amp; Sociedade; 25(89); 1105-1126","Educação &amp; Sociedade","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302004000400002&lang=pt" 
"S0101-73302004000400003-scl","A reestruturação do trabalho docente: precarização e flexibilização","Oliveira, Dalila Andrade","Educação &amp; Sociedade; 25(89); 1127-1144","Educação &amp; Sociedade","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302004000400003&lang=pt" 
"S0101-73302004000400004-scl","Formação de professores na cultura do desempenho","Santos, Lucíola Licinio de C. P.","Educação &amp; Sociedade; 25(89); 1145-1157","Educação &amp; Sociedade","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302004000400004&lang=pt" 
"S0101-73302004000400005-scl","Caminhos da profissão e da profissionalidade docentes","Lüdke, Menga, Boing, Luiz Alberto","Educação &amp; Sociedade; 25(89); 1159-1180","Educação &amp; Sociedade","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302004000400005&lang=pt" 
"S0101-73302004000400006-scl","Tecnologia e educação: trabalho e formação docente","Barreto, Raquel Goulart","Educação &amp; Sociedade; 25(89); 1181-1201","Educação &amp; Sociedade","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302004000400006&lang=pt" 
"S0101-73302004000400007-scl","Precarização do trabalho docente e seus efeitos sobre as práticas curriculares","Sampaio, Maria das Mercês Ferreira, Marin, Alda Junqueira","Educação &amp; Sociedade; 25(89); 1203-1225","Educação &amp; Sociedade","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302004000400007&lang=pt" 
"S0101-73302004000400009-scl","Reforma educativa y luchas docentes en América Latina","Gentili, Pablo, Suárez, Daniel, Stubrin, Florencia, Gindín, Julián","Educação &amp; Sociedade; 25(89); 1251-1274","Educação &amp; Sociedade","Espanhol","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302004000400009&lang=pt" 
