"S1517-83822005000300001-scl","Isolation of bovine coronavirus (BCoV) in monolayers of HmLu-1 cells","Jerez, José Antonio, Gregori, Fábio, Brandão, Paulo Eduardo, Rodriguez, Cesar Alejandro Rosales, Ito, Fumio Honma, Buzinaro, Maria da Glória, Sakai, Takeo","Brazilian Journal of Microbiology; 36(3); 207-210","Brazilian Journal of Microbiology","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822005000300001&lang=pt" 
"S1517-83822005000300002-scl","Prevalence and molecular analysis of Anaplasma platys in dogs in Lara, Venezuela","Huang, Haibin, Unver, Ahmet, Perez, Miriam J., Orellana, Nelson G., Rikihisa, Yasuko","Brazilian Journal of Microbiology; 36(3); 211-216","Brazilian Journal of Microbiology","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822005000300002&lang=pt" 
"S1517-83822005000300005-scl","Production of glucosyltransferase by Erwinia sp. using experimental design and response surface methodology","Kawaguti, Haroldo Yukio, Manrich, Eiric, Fleuri, Luciana Francisco, Sato, Hélia Harumi","Brazilian Journal of Microbiology; 36(3); 227-234","Brazilian Journal of Microbiology","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822005000300005&lang=pt" 
"S1517-83822005000300006-scl","Production of xylanase and CMCase on solid state fermentation in different residues by Thermoascus aurantiacus miehe","Silva, Roberto da, Lago, Ellen S., Merheb, Carolina W., Macchione, Mariana M., Park, Yong Kun, Gomes, Eleni","Brazilian Journal of Microbiology; 36(3); 235-241","Brazilian Journal of Microbiology","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822005000300006&lang=pt" 
"S1517-83822005000300009-scl","Bacterial diversity in rice-field water in Rio Grande do Sul","Reche, Maria Helena Lima Ribeiro, Fiuza, Lídia Mariana","Brazilian Journal of Microbiology; 36(3); 253-257","Brazilian Journal of Microbiology","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822005000300009&lang=pt" 
"S1516-93322005000300017-scl","Nutrição, metabolismo e suplementação na atividade física","Prouvot, Paulo de Aguiar","Revista Brasileira de Ciências Farmacêuticas; 41(3); 408-408","Revista Brasileira de Ciências Farmacêuticas","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322005000300017&lang=pt" 
"S1516-93322005000300016-scl","Intervenção e regulação no Brasil: A Indústria Farmacêutica São Paulo","Mieli, Paulo Roberto","Revista Brasileira de Ciências Farmacêuticas; 41(3); 407-408","Revista Brasileira de Ciências Farmacêuticas","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322005000300016&lang=pt" 
"S1516-93322005000300015-scl","","Gioielli, Luiz Antonio","Revista Brasileira de Ciências Farmacêuticas; 41(3); 407-407","Revista Brasileira de Ciências Farmacêuticas","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322005000300015&lang=pt" 
"S1516-93322005000300001-scl","Evolução da profissão farmacêutica nos últimos 40 anos","Barbério, José Carlos","Revista Brasileira de Ciências Farmacêuticas; 41(3); i-iv","Revista Brasileira de Ciências Farmacêuticas","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322005000300001&lang=pt" 
"S1516-93322005000300004-scl","Estudo termoanalítico de comprimidos revestidos contendo captopril através de termogravimetria (TG) e calorimetria exploratória diferencial (DSC)","Bazzo, Giovana Carolina, Silva, Marcos Antonio Segatto","Revista Brasileira de Ciências Farmacêuticas; 41(3); 315-322","Revista Brasileira de Ciências Farmacêuticas","Português","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-93322005000300004&lang=pt" 
