"S1806-83242013000600490-scl","Correlation between inflammatory infiltrate and epithelial lining in 214 cases of periapical cysts","Alcantara, Barbara Albertini Roquim, Carli, Marina Lara de, Beijo, Luiz Alberto, Pereira, Alessandro Antonio Costa, Hanemann, Joao Adolfo Costa","Brazilian Oral Research; 27(6); 490-495","Brazilian Oral Research","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-83242013000600490&lang=pt" 
"S0104-40602013000400008-scl","Formação de professores: a questão da inclusão de jovens que estão fora da escola e do mercado de trabalho","Ribeiro, Luís Távora Furtado","Educar em Revista; (50); 105-116","Educar em Revista","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602013000400008&lang=pt" 
"S0104-40602013000400013-scl","A sociedade do espetáculo e a reconfiguração da autoridade pedagógica","Zuin, Antônio A. S.","Educar em Revista; (50); 207-222","Educar em Revista","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602013000400013&lang=pt" 
"S0104-40602013000400016-scl","Do sentido de Scurrere à aposta no futuro: elementos de aproximação entre currículo e prospecção","Thiesen, Juarez da Silva","Educar em Revista; (50); 253-268","Educar em Revista","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40602013000400016&lang=pt" 
"S0101-90742013000200008-scl","Distribuição e concentração da riqueza com base em inventários post mortem na presença de casos de riqueza líquida negativa","Valentin, Agnaldo, Motta, José Flávio, Costa, Iraci del Nero da","História (São Paulo); 32(2); 139-162","História (São Paulo)","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-90742013000200008&lang=pt" 
"S0101-90742013000200005-scl","Preservar e proteger em um museu de ciências","Mantovani, Marta Silvia Maria, Glezer, Raquel, Massabki, Paulo Henrique Bernardelli","História (São Paulo); 32(2); 64-86","História (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-90742013000200005&lang=pt" 
"S0101-90742013000200004-scl","Natureza e progresso econômico no Noroeste Paulista (1910-1920)","Mahl, Marcelo Lapuente","História (São Paulo); 32(2); 49-63","História (São Paulo)","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-90742013000200004&lang=pt" 
"S0074-02762013000801065-scl","Oviposition behaviour of Phlebotomus argentipes - A laboratory-based study","Kumar, Vijay, Rama, Aarti, Kesari, Shreekant, Bhunia, Gouri Sankar, Dinesh, Diwakar Singh, Das, Pradeep","Memórias do Instituto Oswaldo Cruz; 108(8); 1065-1067","Memórias do Instituto Oswaldo Cruz","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762013000801065&lang=pt" 
"S0074-02762013000801024-scl","A comparison of larval, ovitrap and MosquiTRAP surveillance for Aedes (Stegomyia) aegypti","Resende, Marcelo Carvalho de, Silva, Ivoneide Maria, Ellis, Brett R, Eiras, Alvaro Eduardo","Memórias do Instituto Oswaldo Cruz; 108(8); 1024-1030","Memórias do Instituto Oswaldo Cruz","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762013000801024&lang=pt" 
"S0074-02762013000801074-scl","Cell vacuolation induced by Haemophilus influenzae supernatants in HEp-2 cells","Espinoza-Mellado, Maria del Rosario, Lopez-Villegas, Edgar Oliver, Arteaga-Garibay, Ramon I, Giono-Cerezo, Silvia","Memórias do Instituto Oswaldo Cruz; 108(8); 1074-1077","Memórias do Instituto Oswaldo Cruz","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0074-02762013000801074&lang=pt" 
