"S1516-31802016005012101-scl","Liver failure following biliopancreatic diversions: a narrative review","Cazzo, Everton, Pareja, José Carlos, Chaim, Elinton Adami","Sao Paulo Medical Journal; (ahead); -","Sao Paulo Medical Journal","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-31802016005012101&lang=pt" 
"S0718-07052016000100009-chl","&quot;¿Cómo hablan y escriben mis alumnos?&quot;: Concepciones lingüístico-educativas de docentes de nivel primario","Iparraguirre, María Sol, Scheuer, Nora","Estudios pedagógicos (Valdivia); 42(1); 139-158","Estudios pedagógicos (Valdivia)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07052016000100009&lang=pt" 
"S0718-07052016000100010-chl","Osteogénesis imperfecta y educación física: Un caso inédito de inclusión educativa","Martos-García, Daniel, Valencia-Peris, Alexandra","Estudios pedagógicos (Valdivia); 42(1); 159-175","Estudios pedagógicos (Valdivia)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07052016000100010&lang=pt" 
"S0718-07052016000100017-chl","Nuevas tendencias de aprendizaje colaborativo en e-learning: Claves para su implementación efectiva","Avello Martínez, Raidell, Duart, Josep M","Estudios pedagógicos (Valdivia); 42(1); 271-282","Estudios pedagógicos (Valdivia)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07052016000100017&lang=pt" 
"S0718-07052016000100002-chl","Formación para la enseñanza del lenguaje oral y escrito en carreras de educación parvularia: variedad de aproximaciones y similares dilemas","Adlerstein, Cynthia, Pardo, Marcela, Díaz, Carmen, Villalón, Malva","Estudios pedagógicos (Valdivia); 42(1); 17-36","Estudios pedagógicos (Valdivia)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07052016000100002&lang=pt" 
"S0718-07052016000100014-chl","Los blogs en la formación docente inicial","Pinya, Carme, Tur, Gemma, Rosselló, Maria Rosa","Estudios pedagógicos (Valdivia); 42(1); 223-233","Estudios pedagógicos (Valdivia)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-07052016000100014&lang=pt" 
"S0303-76572016000100501-scl","Conversando sobre desgaste mental no trabalho e suas possibilidades de enfrentamento: uma experiência no serviço público municipal de Guarulhos","Lembo, Alzira Pinto, Oliveira, Aniella Pupim de, Carrelli, Eliana","Revista Brasileira de Saúde Ocupacional; 41(); -","Revista Brasileira de Saúde Ocupacional","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0303-76572016000100501&lang=pt" 
"S0101-73302016005005101-scl","DESIGUALDADES DE RENDA: A ESCOLARIDADE EM QUESTÃO","Ribeiro, Marcelo Gomes","Educação &amp; Sociedade; (ahead); -","Educação &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-73302016005005101&lang=pt" 
"S0104-07072016000400315-scl","PROFILE OF CONSUMPTION OF PSYCHOACTIVE SUBSTANCES AND ITS RELATIONSHIP TO SOCIODEMOGRAPHIC CHARACTERISTICS: A CONTRIBUTION TO A BRIEF INTERVENTION IN PRIMARY HEALTH CARE, RIO DE JANEIRO, BRAZIL","Abreu, Angela Maria Mendes, Parreira, Pedro Miguel Santos Dinis, Souza, Maria Helena do Nascimento, Barroso, Teresa Maria Mendes Diniz de Andrade","Texto &amp; Contexto - Enfermagem; 25(4); -","Texto &amp; Contexto - Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000400315&lang=pt" 
"S0102-79722016000104301-scl","Heart disease and the stress hypothesis in the mid-twentieth century: a historical review","Rogers, Heather L.","Psicologia: Reflexão e Crítica; 29(); -","Psicologia: Reflexão e Crítica","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-79722016000104301&lang=pt" 
"S0104-07072016000400321-scl","IMPLEMENTATION OF THE INTEGRALITY PRINCIPLE IN TECHNICAL NURSING COURSES AT SCHOOLS IN THE SUS NETWORK","Tafner, Daniela Priscila Oliveira do Vale, Reibnitz, Kenya Schmidt, Lazzari, Daniele Delacanal","Texto &amp; Contexto - Enfermagem; 25(4); -","Texto &amp; Contexto - Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000400321&lang=pt" 
"S0104-07072016000400323-scl","TUBERCULOSIS CONTROL ACTIONS: ANALYSIS BASED ON THE ACCESS AND PRIMARY HEALTH CARE QUALITY IMPROVEMENT PROGRAM","Clementino, Francisco de Sales, Marcolino, Emanuella de Castro, Gomes, Luciano Bezerra, Guerreiro, Joria Viana, de Miranda, Francisco Arnoldo Nunes","Texto &amp; Contexto - Enfermagem; 25(4); -","Texto &amp; Contexto - Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000400323&lang=pt" 
"S0102-79722016000103122-scl","Tolerance of abuse within Mexican adolescent relationships","Ayala, Lourdes Cortés, Molleda, Carolina Bringas, Pineda, Cristina Estrada, Bellerín, M Ángeles Antuña, Franco, Luis Rodríguez, Diaz, Francisco Javier Rodríguez","Psicologia: Reflexão e Crítica; 29(); -","Psicologia: Reflexão e Crítica","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-79722016000103122&lang=pt" 
"S0100-879X2016001200604-scl","Mannose-binding lectin 2 (Mbl2) gene polymorphisms are related to protein plasma levels, but not to heart disease and infection by Chlamydia","Queiroz, M.A.F., Gomes, S.T.M., Almeida, N.C.C., Souza, M.I.M., Costa, S.R.C.F., Hermes, R.B., Lima, S.S., Zaninotto, M.M., Fossa, M.A.A., Maneschy, M.A., Martins-Feitosa, R.N., Azevedo, V.N., Machado, L.F.A., Ishak, M.O.G., Ishak, R., Vallinoto, A.C.R.","Brazilian Journal of Medical and Biological Research; 49(12); -","Brazilian Journal of Medical and Biological Research","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2016001200604&lang=pt" 
"S0104-07072016000400317-scl","EXPERIENCE OF DIAGNOSIS DISCLOSURE FOR TEENAGERS WITH HIV","Brum, Crhis Netto de, Paula, Cristiane Cardoso de, Padoin, Stela Maris de Mello, Zuge, Samuel Spiegelberg","Texto &amp; Contexto - Enfermagem; 25(4); -","Texto &amp; Contexto - Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000400317&lang=pt" 
"S0104-07072016000400324-scl","INVISIBILITY OF SOCIAL VULNERABILITY AND SOCIAL RIGHTS TO A COMPREHENSIVE HEALTH CARE IN CHILE","Arcos, Estela, Canales, Mónica, Muñoz, Luz Angélica, Toffoletto, María Cecilia, Sánchez, Ximena, Vollrath, Antonia","Texto &amp; Contexto - Enfermagem; 25(4); -","Texto &amp; Contexto - Enfermagem","Inglês, Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000400324&lang=pt" 
"S0104-07072016000400318-scl","MATERNAL AND CHILD RISK FACTORS ASSOCIATED WITH NEONATAL MORTALITY","Gaiva, Maria Aparecida Munhoz, Fujimori, Elizabeth, Sato, Ana Paula Sayuri","Texto &amp; Contexto - Enfermagem; 25(4); -","Texto &amp; Contexto - Enfermagem","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072016000400318&lang=pt" 
