"S0100-40422010000700032-scl","O uso de aparelhos de micro-ondas domésticos em aulas experimentais de química orgânica: nitração de salicilaldeído","Teixeira, Eurídes Francisco, Santos, Ana Paula Bernardo dos, Bastos, Renato Saldanha, Pinto, Angelo C., Kümmerle, Arthur Eugen, Coelho, Roberto Rodrigues","Química Nova; 33(7); 1603-1606","Química Nova","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422010000700032&lang=pt" 
"S1516-80342010000300024-scl","Fonoaudiologia e Núcleos de Apoio à Saúde da Família: conceitos e referências","Molini-Avejonas, Daniela Regina, Mendes, Vera Lúcia Ferreira, Amato, Cibelle Albuquerque de la Higuera","Revista da Sociedade Brasileira de Fonoaudiologia; 15(3); 465-474","Revista da Sociedade Brasileira de Fonoaudiologia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342010000300024&lang=pt" 
"S1516-80342010000300022-scl","Estimulação da sucção não nutritiva na &quot;mama vazia&quot; em bebês prematuros: relato de casos","Venson, Crisiane, Fujinaga, Cristina Ide, Czluniak, Gilsane Raquel","Revista da Sociedade Brasileira de Fonoaudiologia; 15(3); 452-457","Revista da Sociedade Brasileira de Fonoaudiologia","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-80342010000300022&lang=pt" 
"S0256-01002010000300001-sza","&quot;They should know where they stand&quot;: attitudes to HIV Voluntary Counselling and testing amongst a group of out-of-school youth","Francis, Dennis","South African Journal of Education; 30(3); -","South African Journal of Education","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-01002010000300001&lang=pt" 
"S0256-01002010000300002-sza","Responses of South African teachers to the challenge of school integration","Vandeyar, Saloshna","South African Journal of Education; 30(3); -","South African Journal of Education","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-01002010000300002&lang=pt" 
"S0256-01002010000300003-sza","Creative thinking in prospective teachers: the status quo and the impact of contextual factors","Meintjes, Hannetjie, Grosser, Mary","South African Journal of Education; 30(3); -","South African Journal of Education","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-01002010000300003&lang=pt" 
"S0256-01002010000300004-sza","Educators&#039; disciplinary capabilities after the banning of corporal punishment in South African schools","Maphosa, Cosmas, Shumba, Almon","South African Journal of Education; 30(3); -","South African Journal of Education","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-01002010000300004&lang=pt" 
"S0256-01002010000300005-sza","Teacher leadership: a survey analysis of KwaZulu-Natal teachers&#039; perceptions","Grant, Callie, Gardner, Karen, Kajee, Farhana, Moodley, Ronnie, Somaroo, Sharila","South African Journal of Education; 30(3); -","South African Journal of Education","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-01002010000300005&lang=pt" 
"S0256-01002010000300006-sza","Reflection as learning about the self in context: mentoring as catalyst for reflective development in pre-service teachers","Frick, Liezel, Carl, Arend, Beets, Peter","South African Journal of Education; 30(3); -","South African Journal of Education","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-01002010000300006&lang=pt" 
"S0256-01002010000300007-sza","Teachers&#039; beliefs and their intention to use interactive simulations in their classrooms","Kriek, Jeanne, Stols, Gerrit","South African Journal of Education; 30(3); -","South African Journal of Education","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-01002010000300007&lang=pt" 
"S0256-01002010000300008-sza","Primary school teachers&#039; knowledge and misperceptions of attention deficit hyperactivity disorder (ADHD)","Perold, Mariechen, Louw, Charmaine, Kleynhans, Sandra","South African Journal of Education; 30(3); -","South African Journal of Education","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-01002010000300008&lang=pt" 
"S0256-01002010000300009-sza","Learners&#039; perceptions as to what contributes to their school success: a case study","Moloi, K.C., Dzvimbo, K.P., Potgieter, F.J., Wolhuter, C.C., van der Walt, J.L.","South African Journal of Education; 30(3); -","South African Journal of Education","Inglês","2010","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S0256-01002010000300009&lang=pt" 
