"S1852-42652012000100012-arg","Hidrografía urbana de Bahía Blanca","Campo, Alicia M.","Revista Universitaria de Geografía; 21(1); -","Revista Universitaria de Geografía","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-42652012000100012&lang=pt" 
"S1852-42652012000100003-arg","Estudio de la evolución de las coberturas espaciales en el suroeste de la provincia del Chaco, entre 1989 y 2010, mediante la Teledetección","Insaurralde, Juan Ariel","Revista Universitaria de Geografía; 21(1); -","Revista Universitaria de Geografía","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-42652012000100003&lang=pt" 
"S1852-15682012000100003-arg","La economía feminista y su aporte a la teoría económica moderna","Perona, Eugenia","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba; (27); 27-43","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-15682012000100003&lang=pt" 
"S1852-15682012000100004-arg","Masculinidades cool. Hacer género y clase en los clubs electrónicos","Blázquez, Gustavo","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba; (27); 45-57","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-15682012000100004&lang=pt" 
"S1852-15682012000100002-arg","Feminismo, religión y democracia en el proceso de legalización del aborto en la ciudad de México","Ruiba, Alba","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba; (27); 13-26","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-15682012000100002&lang=pt" 
"S1852-15682012000100006-arg","Salud intercultural y participación comunitaria en mujeres indígenas del amazonas boliviano: Una aproximación crítica","Aizenberg, Lila","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba; (27); 71-86","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-15682012000100006&lang=pt" 
"S1852-15682012000100005-arg","Cronotopos del incesto en dos películas argentinas","Uzín, María Magdalena","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba; (27); 59-69","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-15682012000100005&lang=pt" 
"S1852-15682012000100010-arg","La cirugía cosmética: Productora de mundos posibles. Una mirada a la realidad mexicana","Muñiz, Elsa","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba; (27); 119-132","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-15682012000100010&lang=pt" 
"S1852-15682012000100014-arg","Del hogar a las urnas. Recorridos de la ciudadanía política femenina: Argentina, 1946- 1955","Spinetta, Marina Inés","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba; (27); 145-147","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-15682012000100014&lang=pt" 
"S1852-15682012000100015-arg","Variaciones del amor: Las semiologías de Roland Barthes","Canseco, Adriana","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba; (27); 145-147","Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba","Espanhol","2012","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-15682012000100015&lang=pt" 
