"S0864-34662015000500002-cub","Cobertura de los servicios de salud en la etapa prerrevolucionaria y primeros años del Gobierno Revolucionario","Ferrer Gracia, Helenio, Pérez Maza, Benito","Revista Cubana de Salud Pública; 41(); -","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000500002&lang=pt" 
"S1645-64322015000200008-prt","","Monteiro, João Gouveia","e-Journal of Portuguese History; 13(2); 102-107","e-Journal of Portuguese History","Inglês","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-64322015000200008&lang=pt" 
"S1645-64322015000200002-prt","The Muslim Minority in the Portuguese Kingdom (1170-1496): Identity and Writing","Barros, Maria Filomena Lopes de","e-Journal of Portuguese History; 13(2); 18-35","e-Journal of Portuguese History","Inglês","2015","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-64322015000200002&lang=pt" 
"S0864-34662015000500010-cub","Enfoque social de la mercadotecnia y los desafíos de la cobertura universal en salud","Suárez Lugo, Nery","Revista Cubana de Salud Pública; 41(); -","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000500010&lang=pt" 
"S0864-34662015000500006-cub","Cobertura universal de salud y conciliación de criterios en base a la experiencia cubana","Castell-Florit Serrate, Pastor, Gispert Abreu, Estela de los Ángeles, Lozano Lefrán, Anabel","Revista Cubana de Salud Pública; 41(); -","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000500006&lang=pt" 
"S0864-34662015000500007-cub","La cobertura universal y la conducción epidemiológica del sistema de salud en Cuba","Martínez Calvo, Silvia","Revista Cubana de Salud Pública; 41(); -","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000500007&lang=pt" 
"S0864-34662015000500009-cub","Implicaciones familiares y sanitarias del envejecimiento poblacional en la cobertura universal","Louro Bernal, Isabel, Bayarre Vea, Héctor, Alvarez Lauzarique, María Esther","Revista Cubana de Salud Pública; 41(); -","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000500009&lang=pt" 
"S0864-34662015000500008-cub","Enfermería en la cobertura universal en salud: nuevos términos, viejas acciones","Martínez Trujillo, Nelcy","Revista Cubana de Salud Pública; 41(); -","Revista Cubana de Salud Pública","Espanhol","2015","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662015000500008&lang=pt" 
"S0065-17372015000300019-mex","Registro de Eretmocerus leucaenae Myartseva (Hymenoptera: Aphelinidae) como parasitoide de la mosquita blanca Tetraleurodes sp. (Hemiptera: Aleyrodidae) en San Luis Potosí, México","Myartseva, Svetlana Nikolaevna, Ruiz-Cancino, Enrique, Coronado-Blanco, Juana María, Thompson Farfán, Rabindranath Manuel","Acta zoológica mexicana; 31(3); 493-494","Acta zoológica mexicana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0065-17372015000300019&lang=pt" 
"S0065-17372015000300013-mex","Primer reporte de Peltophorus polymitus Boheman (Coleoptera: Curculionidae) en tres especies de Agave (Asparagaceae) en México","González-Hernández, Héctor, Figueroa-Castro, Pedro, Rubio-Cortés, Ramón, Jones, Robert W., Valdés-Carrasco, Jorge M.","Acta zoológica mexicana; 31(3); 473-476","Acta zoológica mexicana","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0065-17372015000300013&lang=pt" 
