"S1517-83822016000500099-scl","Microbiology of organic and conventionally grown fresh produce","Maffei, Daniele F., Batalha, Erika Y., Landgraf, Mariza, Schaffner, Donald W., Franco, Bernadette D.G.M.","Brazilian Journal of Microbiology; 47(); 99-105","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000500099&lang=pt" 
"S1517-83822016000500038-scl","Mosquito-transmitted viruses - the great Brazilian challenge","Mota, Mânlio Tasso de Oliveira, Terzian, Ana Carolina, Silva, Maria Luana Cristiny Rodrigues, Estofolete, Cássia, Nogueira, Maurício Lacerda","Brazilian Journal of Microbiology; 47(); 38-50","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000500038&lang=pt" 
"S1517-83822016000500086-scl","Microbial interactions: ecology in a molecular perspective","Braga, Raíssa Mesquita, Dourado, Manuella Nóbrega, Araújo, Welington Luiz","Brazilian Journal of Microbiology; 47(); 86-98","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000500086&lang=pt" 
"S1517-83822016000500077-scl","Current applications and different approaches for microbial L-asparaginase production","Cachumba, Jorge Javier Muso, Antunes, Felipe Antonio Fernandes, Peres, Guilherme Fernando Dias, Brumano, Larissa Pereira, Santos, Júlio César Dos, Silva, Silvio Silvério Da","Brazilian Journal of Microbiology; 47(); 77-85","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000500077&lang=pt" 
"S1517-83822016000500031-scl","Antimicrobial resistance in Enterobacteriaceae in Brazil: focus on β-lactams and polymyxins","Sampaio, Jorge Luiz Mello, Gales, Ana Cristina","Brazilian Journal of Microbiology; 47(); 31-37","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000500031&lang=pt" 
"S0718-22362016000200003-chl","Gubernamentalidad y políticas de empleo: la construcción discursiva del joven trabajador en Chile","Rivera-Aguilera, Guillermo","Ultima década; 24(45); 34-54","Ultima década","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22362016000200003&lang=pt" 
"S0718-71812016000200010-chl","Encanto desde Hollywood: glamour y feminidad en la revista Ecran (Chile 1930-1931)","Robles Parada, Andrea","Aisthesis; (60); 191-215","Aisthesis","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-71812016000200010&lang=pt" 
"S0718-22362016000200006-chl","El movimiento estudiantil chileno (2006-2016) y el uso de la web social: nuevos repertorios de acción e interacción comunicativa","Cárdenas Neira, Camila","Ultima década; 24(45); 93-116","Ultima década","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22362016000200006&lang=pt" 
"S1517-83822016000500003-scl","Diarrheagenic Escherichia coli","Gomes, Tânia A.T., Elias, Waldir P., Scaletsky, Isabel C.A., Guth, Beatriz E.C., Rodrigues, Juliana F., Piazza, Roxane M.F., Ferreira, Luís C.S., Martinez, Marina B.","Brazilian Journal of Microbiology; 47(); 3-30","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000500003&lang=pt" 
"S0100-15742016000401192-scl","As funções educativas dos e-parlamentos: uma análise longitudinal do caso brasileiro","Braga, Sérgio Soares, Mitozo, Isabele Batista, Tadra, Julia","Cadernos de Pesquisa; 46(162); 1192-1215","Cadernos de Pesquisa","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742016000401192&lang=pt" 
"S1991-38772016000400002-sza","The use and abuse of police data in protest analysis South Africa&#039;s Incident Registration Information System (IRIS)","Alexander, Peter, Runciman, Carin, Maruping, Boitumelo","SA Crime Quarterly; (58); 9-21","SA Crime Quarterly","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1991-38772016000400002&lang=pt" 
"S1982-45132016000300429-scl","ANÁLISE COMPARATIVA DE METODOLOGIAS APLICADAS À DELIMITAÇÃO DA BACIA HIDROGRÁFICA DO RIO DOCE – RN","Costa, Franklin Roberto da, Souza, Raquel Franco de, Silva, Sebastião Milton Pinheiro da","Sociedade &amp; Natureza; 28(3); 429-442","Sociedade &amp; Natureza","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-45132016000300429&lang=pt" 
"S2238-38752016000300755-scl","A MORAL COMO PARTE INTEGRAL DA PRODUÇÃO DA VIDA SOCIAL. UMA LEITURA HETERODOXA DOS ESCRITOS DE ÉMILE DURKHEIM","Balbi, Fernando Alberto","Sociologia &amp; Antropologia; 6(3); 755-778","Sociologia &amp; Antropologia","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2238-38752016000300755&lang=pt" 
"S0100-15742016000401028-scl","O Catecismo de Montpellier e a educação da criança no Brasil Imperial","Anjos, Juarez José Tuchinski dos","Cadernos de Pesquisa; 46(162); 1028-1048","Cadernos de Pesquisa","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742016000401028&lang=pt" 
"S1982-45132016000300375-scl","A mineração em Minas Gerais: uma análise de sua expansão e os impactos ambientais e sociais causados por décadas de exploração","Rezende, Vanessa Leite","Sociedade &amp; Natureza; 28(3); 375-384","Sociedade &amp; Natureza","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-45132016000300375&lang=pt" 
"S0100-15742016000400984-scl","Análisis de la implicación: construcción del sujeto y del objeto de investigación","Soledad Manrique, María, Di Matteo, María Florencia, Sanchez Troussel, Lorena","Cadernos de Pesquisa; 46(162); 984-1008","Cadernos de Pesquisa","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-15742016000400984&lang=pt" 
