"S2225-62532012000900004-sza","Proceedings of the Special General Meeting, 2012","","Journal of the Southern African Institute of Mining and Metallurgy; 112(9); 775-785","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012000900004&lang=pt" 
"S2225-62532012000100004-sza","Mining sector needs action to follow strong words","Dixon, Roger","Journal of the Southern African Institute of Mining and Metallurgy; 112(1); VII-VII","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012000100004&lang=pt" 
"S2225-62532012001200005-sza","Mining IndabaTM invests in the future of South Africa&#039;s education","","Journal of the Southern African Institute of Mining and Metallurgy; 112(12); ix-ix","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012001200005&lang=pt" 
"S2225-62532012001200010-sza","Patenting in the field of percolation leaching","Taberer, R.F.","Journal of the Southern African Institute of Mining and Metallurgy; 112(12); 1031-1036","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012001200010&lang=pt" 
"S2225-62532012001200014-sza","Optimization of the transition from open-pit to underground operation in combined mining using (0-1) integer programming","Bakhtavar, E., Shahriar, K., Mirhassani, A.","Journal of the Southern African Institute of Mining and Metallurgy; 112(12); 1059-1064","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012001200014&lang=pt" 
"S2225-62532012000100005-sza","Rock engineering method to pre-evaluate old, small coal pillars for secondary mining","van der Merwe, J. N.","Journal of the Southern African Institute of Mining and Metallurgy; 112(1); 1-6","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012000100005&lang=pt" 
"S2225-62532012000800013-sza","The development of a remote-controlled highwall rockbroom-a world first for the open-pit mining industry","van Rensburg, D., Melis, L.","Journal of the Southern African Institute of Mining and Metallurgy; 112(8); 755-759","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012000800013&lang=pt" 
"S2225-62532012000800012-sza","Trial of the BX conical-ended borehole overcoring stress measurement technique","Ogasawara, H., Kato, H., Hofmann, G., de Bruin, P.","Journal of the Southern African Institute of Mining and Metallurgy; 112(8); 749-754","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012000800012&lang=pt" 
"S2225-62532012001200006-sza","International Percolation Leaching Conference and Short Course","van Staden, P.J.","Journal of the Southern African Institute of Mining and Metallurgy; 112(12); x-x","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012001200006&lang=pt" 
"S2225-62532012000800010-sza","Origins of some fractures around tabular stopes in deep South African mines","van Aswegen, G., Stander, M.","Journal of the Southern African Institute of Mining and Metallurgy; 112(8); 729-735","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012000800010&lang=pt" 
"S2225-62532012000100013-sza","The plasma-assisted manufacture of zirconium metal powder from zirconium tetrachloride","Nel, J.T., Havenga, J.L., Makhofane, M.M., Jansen, A.A.","Journal of the Southern African Institute of Mining and Metallurgy; 112(1); 63-68","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012000100013&lang=pt" 
"S2225-62532012001200013-sza","Potential for bioleaching copper sulphide rougher concentrates of Nchanga Mine, Chingola, Zambia","Manchisi, J., Hansford, G.S., GaylardI, P., Simukanga, S., Nyirenda, R.L., Sichalwe, A.","Journal of the Southern African Institute of Mining and Metallurgy; 112(12); 1051-1058","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012001200013&lang=pt" 
"S2225-62532012000800007-sza","A philosophical view on the testing of rock support for rockburst conditions","Stacey, T.R.","Journal of the Southern African Institute of Mining and Metallurgy; 112(8); 01-08","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012000800007&lang=pt" 
"S2225-62532012000100011-sza","A holistic approach to control and optimization of a PGM concentrate flash drying unit","de Clerk, D.J., de Vaal, P.L.","Journal of the Southern African Institute of Mining and Metallurgy; 112(1); 45-53","Journal of the Southern African Institute of Mining and Metallurgy","Inglês","2012","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2225-62532012000100011&lang=pt" 
