"S0185-30582012000200002-mex","República I y la crítica al elenchos socrático","González Varela, José Edgar","Nova tellus; 30(2); 39-72","Nova tellus","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-30582012000200002&lang=pt" 
"S0185-30582012000200004-mex","Handling of Facts and Strategy in Cicero&#039;s Speech in Defence of King Deiotarus","Nótári, Tamás","Nova tellus; 30(2); 99-116","Nova tellus","Inglês","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-30582012000200004&lang=pt" 
"S0185-30582012000200003-mex","Mística y exégesis en la filosofía de Plotino","Martino, Gabriel","Nova tellus; 30(2); 73-98","Nova tellus","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-30582012000200003&lang=pt" 
"S0185-30582012000200006-mex","Los herederos mexicanos de Virgilio: De Landívar y Alegre a Francisco Cabrera","Herrera Zapién, Tarsicio","Nova tellus; 30(2); 153-185","Nova tellus","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-30582012000200006&lang=pt" 
"S0185-30582012000200016-mex","Gaspar de Villagrá: legista, soldado y poeta","Santana Henríquez, Germán","Nova tellus; 30(2); 329-333","Nova tellus","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-30582012000200016&lang=pt" 
"S0185-30582012000200018-mex","Obras completas. VI. Escritos varios","López Férez, Juan Antonio","Nova tellus; 30(2); 343-347","Nova tellus","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-30582012000200018&lang=pt" 
"S0185-30582012000200001-mex","La polisemia del gr. ἀργός (&#039;blanco&#039;, &#039;veloz&#039;)","Méndez Dosuna, Julián","Nova tellus; 30(2); 11-37","Nova tellus","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-30582012000200001&lang=pt" 
"S0185-30582012000200014-mex","Riflettendo sulle vostre osservazioni","Rossetti, Livio","Nova tellus; 30(2); 307-319","Nova tellus","Italiano","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0185-30582012000200014&lang=pt" 
"S0187-893X2012000400004-mex","¿Por qué enseñar ciencia a través de la indagación? Un caso en la Universidad Autónoma de la Ciudad de México (UACM)","Chernicoff, Leandro, Echeverría, Elia","Educación química; 23(4); 433-450","Educación química","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000400004&lang=pt" 
"S0187-893X2012000300011-mex","Hugh Longbourne Callendar","Wisniak, Jaime","Educación química; 23(3); 396-404","Educación química","Inglês","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0187-893X2012000300011&lang=pt" 
