"S0101-20612010000300025-scl","Avaliação físico-química e microbiológica da carne soleada do Pantanal","Alves, Larissa Lima, Delbem, Ádina Cléia Botazzo, Abreu, Urbano Gomes Pinto de, Lara, Jorge Antonio Ferreira de","Food Science and Technology (Campinas); 30(3); 729-734","Food Science and Technology (Campinas)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000300025&lang=pt" 
"S0101-20612010000300026-scl","Perfil sensorial de bolos de chocolate formulados com farinha de yacon (Smallanthus sonchifolius)","Padilha, Vivianne Montarroyos, Rolim, Priscilla Moura, Salgado, Silvana Magalhães, Livera, Alda Souza, Andrade, Samara Alvachian Cardoso, Guerra, Nonete Barbosa","Food Science and Technology (Campinas); 30(3); 735-740","Food Science and Technology (Campinas)","Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000300026&lang=pt" 
"S0101-20612010000300027-scl","Obtention and characterization of gluten-free baked products","Schamne, Cristiane, Dutcosky, Silvia Deboni, Demiate, Ivo Mottin","Food Science and Technology (Campinas); 30(3); 741-750","Food Science and Technology (Campinas)","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000300027&lang=pt" 
"S0101-20612010000300029-scl","Origanum vulgare L. essential oil as inhibitor of potentially toxigenic Aspergilli","Mitchell, Teresa Cristina, Stamford, Tânia Lúcia Montenegro, Souza, Evandro Leite de, Lima, Edeltrudes de Oliveira, Carmo, Egberto Santos","Food Science and Technology (Campinas); 30(3); 755-760","Food Science and Technology (Campinas)","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000300029&lang=pt" 
"S0101-20612010000300032-scl","Inhibitory effect of the essential oil from Cinnamomum zeylanicum Blume leaves on some food-related bacteria","Trajano, Vinicius Nogueira, Lima, Edeltrudes de Oliveira, Travassos, Antônio Eustáquio, Souza, Evandro Leite de","Food Science and Technology (Campinas); 30(3); 771-775","Food Science and Technology (Campinas)","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000300032&lang=pt" 
"S0101-20612010000300033-scl","Study of clarification process of sugar cane juice for consumption","Prati, Patricia, Moretti, Roberto Hermínio","Food Science and Technology (Campinas); 30(3); 776-783","Food Science and Technology (Campinas)","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000300033&lang=pt" 
"S0101-20612010000300035-scl","Partial characterization and inactivation of peroxidases and polyphenol-oxidases of umbu-cajá (Spondias spp.)","Silva, Cíntia Reis da, Koblitz, Maria Gabriela Bello","Food Science and Technology (Campinas); 30(3); 790-796","Food Science and Technology (Campinas)","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000300035&lang=pt" 
"S0101-20612010000300036-scl","Stability studies and shelf life estimation of a soy-based dessert","Granato, Daniel, Masson, Maria Lucia, Freitas, Renato João Sossela de","Food Science and Technology (Campinas); 30(3); 797-807","Food Science and Technology (Campinas)","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000300036&lang=pt" 
"S0101-20612010000300039-scl","β-carotene biotransformation to obtain aroma compounds","Uenojo, Mariana, Pastore, Glaucia Maria","Food Science and Technology (Campinas); 30(3); 822-827","Food Science and Technology (Campinas)","Inglês","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612010000300039&lang=pt" 
"S0101-28002010000300002-scl","Fórum nacional de discussão das diretrizes do KDIGO para o distúrbio mineral e ósseo da doença renal crônica (DMO-DRC): uma análise crítica frente à relidade Brasileira","Moysés, Rosa Maria Affonso, Cancela, Ana Ludimila Espada, Gueiros, José Edvanilson Barros, Barreto, Fellype Carvalho, Neves, Carolina Lara, Canziani, Maria Eugênia Fernandes, Oliveira, Rodrigo Bueno de, Jorgetti, Vanda, Carvalho, Aluizio Barbosa de","Jornal Brasileiro de Nefrologia; 32(3); 229-236","Jornal Brasileiro de Nefrologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002010000300002&lang=pt" 
"S0101-28002010000300003-scl","Glomerulonefrite aguda após infecção de vias aéreas superiores ou pele: análise descritiva de 82 pacientes entre 14 e 64 anos de idade","Marques, Vilmar de Paiva, Neves, Precil Diego Miranda de Menezes, Mendonça, Helena Moisés, Fugikaha, Itsuzi, Fernandes, Edson Luiz","Jornal Brasileiro de Nefrologia; 32(3); 237-241","Jornal Brasileiro de Nefrologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002010000300003&lang=pt" 
"S0101-28002010000300004-scl","Declínio cognitivo, depressão e qualidade de vida em pacientes de diferentes estágios da doença renal crônica","Condé, Simone Aparecida de Lima, Fernandes, Natália, Santos, Fabiane Rossi dos, Chouab, Alfredo, Mota, Márcia Maria Elia Peruzzi da, Bastos, Marcus Gomes","Jornal Brasileiro de Nefrologia; 32(3); 242-248","Jornal Brasileiro de Nefrologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002010000300004&lang=pt" 
"S0101-28002010000300005-scl","Perfil das doenças glomerulares em um hospital público do Distrito Federal","Ferraz, Fabio Humberto Ribeiro Paes, Martins, Carla Guapindaia Braga, Cavalcanti, Janaína Costa, Oliveira, Frederico Lopes de, Quirino, Renata Miguel, Chicon, Rosana, Cavechia, Sergio Raimundini","Jornal Brasileiro de Nefrologia; 32(3); 249-256","Jornal Brasileiro de Nefrologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002010000300005&lang=pt" 
"S0101-28002010000300006-scl","Experiência inicial com a técnica de Buttonhole em um centro de hemodiálise Brasileiro","Silva, Geni dos Santos Teles, Silva, Roseli Amaro da, Nicolino, Alessandra Membrides, Pavanetti, Luiz Carlos, Alasmar, Vitor Luiz, Guzzardi, Roberto, Zanolli, Maurício Braz, Guilhen, José Cícero, Araújo, Ivan de Melo","Jornal Brasileiro de Nefrologia; 32(3); 257-262","Jornal Brasileiro de Nefrologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002010000300006&lang=pt" 
"S0101-28002010000300007-scl","Aspectos clínicos da doença renal policística autossômica recessiva DRPAR","Dias, Natasha Favoretto, Lanzarini, Vivian, Onuchic, Luiz Fernando, Koch, Vera Hermina Kalika","Jornal Brasileiro de Nefrologia; 32(3); 263-267","Jornal Brasileiro de Nefrologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002010000300007&lang=pt" 
"S0101-28002010000300008-scl","Geografia da diálise peritoneal no Brasil: análise de uma coorte de 5.819 pacientes (BRAZPD)","Fernandes, Natália Maria da Silva, Chaoubah, Alfredo, Bastos, Kleyton, Lopes, Antônio Alberto, Divino-Filho, José Carolino, Pecoits-Filho, Roberto, Bastos, Marcus Gomes","Jornal Brasileiro de Nefrologia; 32(3); 268-274","Jornal Brasileiro de Nefrologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002010000300008&lang=pt" 
"S0101-28002010000300009-scl","Alteração do teor de cálcio no banho de DP para 2,5 mEq/L é eficaz no reestabelecimento dos valores preconizados por diretrizes atuais em pacientes com PTH &lt; 150 pg/dL","Moraes, Thyago Proença de, Bucharles, Sergio Gardano Elias, Ribeiro, Silvia Carreira, Frumento, Ricardo, Riella, Miguel Carlos, Pecoits-Filho, Roberto","Jornal Brasileiro de Nefrologia; 32(3); 275-280","Jornal Brasileiro de Nefrologia","Inglês, Português","2010","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-28002010000300009&lang=pt" 
