"S0102-09352014000300845-scl","Comportamento ingestivo de vacas leiteiras em pastagem de azevém alimentadas com diferentes fontes proteicas","Krolow, R.H., Silva, M.A., Paim, N.R., Medeiros, R.B., Velho, I.M.P.H.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(3); 845-852","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000300845&lang=pt" 
"S0102-09352014000300861-scl","Comportamento ingestivo e respostas fisiológicas de novilhos submetidos a dietas com torta de amendoim","Oliveira, P.A., Oliveira, R.L., Carvalho, G.G.P., Ribeiro, O.L., Leite, M.C.P., Correia, B.R., Ferreira, A.C., Santana Filho, N.B.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(3); 861-869","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000300861&lang=pt" 
"S0102-09352014000300827-scl","Intake, milk production and weight change curves for lactating Holstein x Zebu cows under grazing","Santos, S.A., Valadares Filho, S.C., Detmann, E., Ruas, J.R.M., Prados, L.F., Mariz, L.D.S.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(3); 827-836","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000300827&lang=pt" 
"S0102-09352014000300837-scl","Diurnal behavior of dairy cows on alfalfa pastures supplemented with corn silage and concentrate","Peres Netto, D., Ribeiro, A.R.B., Rodrigues, A.A., Ferreira, R.P., Mendonça, F.C., Freitas, A.R., Campana, M., Wechsler, F.S.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(3); 837-844","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000300837&lang=pt" 
"S0102-09352014000300940-scl","Isolation, enumeration, molecular identification and probiotic potential evaluation of lactic acid bacteria isolated from sheep milk","Acurcio, L.B., Souza, M.R., Nunes, A.C., Oliveira, D.L.S., Sandes, S.H.C., Alvim, L.B.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(3); 940-948","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000300940&lang=pt" 
"S0102-09352014000300681-scl","Desempenho reprodutivo do beijupirá (Rachycentron canadum) capturado no litoral de Pernambuco","Peregrino Jr., R.B., Hamilton, S., Domingues, E.C., Manzella Jr., J.C., Hazin, F.H.V., Cavalli, R.O.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(3); 681-687","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000300681&lang=pt" 
"S0102-09352014000300933-scl","Composição físico-química e valores energéticos de farinhas de silagem de peixe para frangos de corte","Oliveira, C.R.C., Ludke, M.C.M.M., Ludke, J.V., Lopes, E.C., Pereira, P.S., Cunha, G.T.G.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(3); 933-939","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000300933&lang=pt" 
"S0102-09352014000300697-scl","Clinical, biochemical and haemathological effects in Rhamdia quelen exposed to cypermethrin","Montanha, F.P., Fredianelli, A.C., Wagner, R., Sacco, S.R., Rocha, D.C.C., Pimpão, C.T.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(3); 697-704","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000300697&lang=pt" 
"S0102-09352014000300927-scl","Frequência de alimentação para juvenis de tambaqui","Souza, R.C., Campeche, D.F.B., Campos, R.M.L., Figueiredo, R.A.C.R., Melo, J.F.B.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(3); 927-932","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000300927&lang=pt" 
"S0102-09352014000300911-scl","Uso de indicadores indigestíveis obtidos in situ e in vivo para determinar a digestibilidade de nutrientes em equinos","Oliveira, K., Costa, C., Bittar, C.M.M., Santos, V.P., Sá, J.C., Meirelles, P.R.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(3); 911-918","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000300911&lang=pt" 
"S0102-09352014000300665-scl","Establishment of peritoneal liquid electrophoretogram from healthy horses and horses submitted to experimentally induced intestinal obstruction","Nogueira, A.F.S., Di Filippo, P.A., Anai, L.A., Vieira, M.C., Simplício, K.M.M.G., Santana, A.E.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(3); 665-671","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000300665&lang=pt" 
"S0102-09352014000300919-scl","Influência do aquecimento artificial de ovos de matrizes pesadas sobre o rendimento de incubação","Mendes, P.M.M., Baião, N.C., Lara, L.J.C., Barbosa, V.M., Rocha, J.S.R., Pompeu, M.A., Batista, J.V.M.D.S.P., Clímaco, W.L.D.S.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(3); 919-926","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000300919&lang=pt" 
"S0102-09352014000300713-scl","ELISA and modified toxin-binding inhibition test for quality control of the clostridial vaccine processes","Sobrinho, E.M., Almeida, A.C., Brandi, I.V., Colen, F., Lobato, F.C.F., Cangussu, A.S.R., Santos, H.O., Quintilio, W., Sari, R.S.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(3); 713-720","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000300713&lang=pt" 
"S0102-09352014000300672-scl","Estudo radiográfico do posicionamento da falange distal e suas possíveis correlações com obesidade em equinos de patrulhamento da Polícia Militar do Estado de Minas Gerais","Xavier, V.F., Lima, I.R., Marval, C. A. D., Silveira, D., Vieira, R.A.M., Castro, T.D.C., Moura, D.A.D., Vilela, S.B., Faleiros, R.R.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(3); 672-680","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000300672&lang=pt" 
"S0102-09352014000300903-scl","Proteína bruta e energia metabolizável para codornas de corte de um a 14 dias de idade","Reis, R.S., Barreto, S.L.T., Torres, R.A., Muniz, J.C.L., Mendonça, M.O., Viana, G.S., Ribeiro, C.L.N., Costa, S.L., Santos, M.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(3); 903-910","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000300903&lang=pt" 
"S0102-09352014000300949-scl","Factors that determine the quality of bigeye tuna, caught in the western tropical Atlantic Ocean","Nóbrega, C.C., Mendes, P.P., Mendes, E.S.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(3); 949-958","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000300949&lang=pt" 
"S0102-09352014000300705-scl","Avaliação da absorção colostral em neonatos ovinos da raça Bergamácia","Ulian, C.M.V., Fernandes, S., Ramos, P.R.R., Dias, A., Lourenço, M.L.G., Chiacchio, S.B.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(3); 705-712","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000300705&lang=pt" 
"S0102-09352014000300641-scl","Bacterial microbiota present in the gallbladder of cattle and antimicrobial resistance of Staphylococcus isolates","Dias, F.S., Santos, I.F., Franco, R.M., Nascimento, E.R.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(3); 641-647","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000300641&lang=pt" 
"S0102-09352014000300648-scl","Prevalence and spatial analysis of antileptospiral agglutinins in dairy cattle - Microregion of Sete Lagoas, Minas Gerais, 2009/2010","Nicolino, R.R., Lopes, L.B., Rodrigues, R.O., Teixeira, J.F.B., Haddad, J.P.A.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(3); 648-654","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000300648&lang=pt" 
"S0102-09352014000300737-scl","Incidência de infecção do sítio cirúrgico e fatores de risco associados na clínica cirúrgica de pequenos animais","Corsini, C.M.M., Borges, A.P.B., Alberto, D.S., José, R.M., Silva, C.H.O.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(3); 737-744","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000300737&lang=pt" 
"S0102-09352014000300731-scl","Detection of Leishmania infantum in the smegma of infected dogs","Silva, L.C., Assis, V.P., Ribeiro, V.M., Tafuri, W.L., Toledo Júnior, J.C., Silva, S.O., Melo, M.N., Rachid, M.A., Valle, G.R.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(3); 731-736","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000300731&lang=pt" 
"S0102-09352014000300655-scl","A new surgical technique to treat corneal perforations using amniotic membrane and surgical adhesive","Pontes, K.C.S., Borges, A.P.B., Eleotério, R.B., Frazão, A.C.N., Machado, D.P.D., Reis, E.C.C., Sepúlveda, R.V., Duarte, T.S., Laus, J.L.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(3); 655-664","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000300655&lang=pt" 
"S0102-09352014000300721-scl","Distribuição espacial de acidentes escorpiônicos em Belo Horizonte, Minas Gerais, 2005 a 2009","Barbosa, A.D., Silva, J.A., Cardoso, M.F.E.C., Meneses, J.N.C., Cunha, M.C.M., Haddad, J.P.A., Nicolino, R.R., Magalhães, D.F.","Arquivo Brasileiro de Medicina Veterinária e Zootecnia; 66(3); 721-730","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-09352014000300721&lang=pt" 
