"S1808-16572013000300003-scl","In vivo evaluation of antiseptics and disinfectants on control of Caseous Lymphadenitis: clinical, haematological, serological and microbiological monitoring","Santiago, Lauana Borges, Pinheiro, Raymundo Rizaldo, Alves, Francisco Selmo Fernandes, Santos, Vanderlan Warlington Souza dos, Rodrigues, Apoliana de Sousa, Lima, Ana Milena César, Oliveira, Eduardo Luiz de, Albuquerque, Fernando Henrique Melo Andrade Rodrigues de","Arquivos do Instituto Biológico; 80(3); 273-280","Arquivos do Instituto Biológico","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1808-16572013000300003&lang=pt" 
"S1806-00132013000300004-scl","Efeito comparativo entre a dipirona sódica e a dipirona sódica associada à cafeína no controle da dor pós-exodontia","Vicentini, Carllini Barroso, Ramacciato, Juliana Cama, Teixeira, Rubens Gonçalves, Groppo, Francisco Carlos, Motta, Rogério Heládio Lopes","Revista Dor; 14(3); 174-178","Revista Dor","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-00132013000300004&lang=pt" 
"S0104-44782013000300008-scl","Os determinantes dos resultados de soma positiva em Minas Gerais e no Rio Grande do Sul","Nunes, Felipe","Revista de Sociologia e Política; 21(47); 91-112","Revista de Sociologia e Política","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782013000300008&lang=pt" 
"S0104-44782013000300005-scl","Elite econômica no Brasil: discussões acerca da internacionalização da carreira de executivos brasileiros","Pohlmann, Markus, Valarini, Elizângela","Revista de Sociologia e Política; 21(47); 39-53","Revista de Sociologia e Política","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-44782013000300005&lang=pt" 
"S1806-00132013000300010-scl","Ansiedade associada a fatores sociodemográficos e clínicos de mulheres com síndrome da fibromialgia","Andrade, Alexandro, Steffens, Ricardo de Azevedo Klumb, Ganzert, Marina Luiz, Viana, Maick da Silveira, Liz, Carla Maria de, Brandt, Ricardo, Dominski, Fábio Hech","Revista Dor; 14(3); 200-203","Revista Dor","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-00132013000300010&lang=pt" 
"S1982-21702013000300009-scl","Avaliação do símbolo de orientação na cartografia tátil","Silva, Renan Ramos da, Silva, Luiz Felipe Coutinho Ferreira da","Boletim de Ciências Geodésicas; 19(3); 498-509","Boletim de Ciências Geodésicas","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702013000300009&lang=pt" 
"S1982-21702013000300007-scl","Avaliação de critérios de heterogeneidade baseados em atributos morfológicos para segmentação de imagens por crescimento de regiões","Ferreira, Rodrigo da Silva, Costa, Gilson A. O. P., Feitosa, Raul Queiroz","Boletim de Ciências Geodésicas; 19(3); 452-471","Boletim de Ciências Geodésicas","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702013000300007&lang=pt" 
"S1982-21702013000300005-scl","Avaliação da varredura laser terrestre em diferentes distâncias da árvore para mensurar variáveis dendrométricas","Martins Neto, Rorai Pereira, Buck, André Leonardo Bortolotto, Silva, Matheus Nunes, Christel, Lingnau, Machado, Álvaro Muriel Lima, Pesck, Vagner Alex","Boletim de Ciências Geodésicas; 19(3); 420-433","Boletim de Ciências Geodésicas","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702013000300005&lang=pt" 
"S1982-21702013000300006-scl","Robustness analysis of geodetic networks in the case of correlated observations","Yetkin, Mevlut, Berber, Mustafa, Inal, Cevat","Boletim de Ciências Geodésicas; 19(3); 434-451","Boletim de Ciências Geodésicas","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702013000300006&lang=pt" 
"S1982-21702013000300001-scl","Análise de séries temporais de multicaminho em estações de monitoramento contínuo","Alves, Daniele Barroca Marra, Souza, Eniuce Menezes de, Kaneshiro, Victor Yudi, Souza, Jéssica Saldanha","Boletim de Ciências Geodésicas; 19(3); 353-373","Boletim de Ciências Geodésicas","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702013000300001&lang=pt" 
"S1982-21702013000300010-scl","A aula inaugural do curso de geometria aplicada às artes no conservatório imperial de artes e ofícios. (Paris, Janeiro de 1865)","Laussedat, Aimé","Boletim de Ciências Geodésicas; 19(3); 511-524","Boletim de Ciências Geodésicas","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702013000300010&lang=pt" 
"S1414-753X2013000300001-scl","Editorial","Jacobi, Pedro Roberto, Empinotti, Vanessa","Ambiente &amp; Sociedade; 16(3); -","Ambiente &amp; Sociedade","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2013000300001&lang=pt" 
"S1414-753X2013000300010-scl","Decrescimento em dez perguntas: perspectivas para o debate social, econômico e ambiental","Boccato-Franco, Alan Ainer","Ambiente &amp; Sociedade; 16(3); 145-150","Ambiente &amp; Sociedade","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-753X2013000300010&lang=pt" 
