"S1851-37432015000200003-arg","Intoxicación por Datura stramonium: serie de tres casos","Saracco, Aldo Sergio, Lima, Cristian O","Acta toxicológica argentina; 23(2); 83-88","Acta toxicológica argentina","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-37432015000200003&lang=pt" 
"S1851-37432015000200002-arg","Convulsiones por isoniazida: una causa toxicológica a considerar","Díaz, Mariano, Lamenza, Claudia, Trapassi, Horacio, Cargnel, Elda, Mandolesi, Graciela, Cardoso, Patricia","Acta toxicológica argentina; 23(2); 79-82","Acta toxicológica argentina","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-37432015000200002&lang=pt" 
"S1851-37432015000200004-arg","Fermentação em estado sólido de Aspergillus parasiticus e produção de aflatoxinas","","Acta toxicológica argentina; 23(2); 89-94","Acta toxicológica argentina","Português","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-37432015000200004&lang=pt" 
"S1852-73372015000300003-arg","Análisis de riesgo de desnutrición en pacientes internados en el Hospital Interzonal General de Agudos &quot;Prof. Dr. Ramón Carrillo&quot;","Di Sibio, Mariana Laura, Álvarez, María Sofía, Caamaño, María Victoria, Nastasi, Victoria Raquel, Ramón, Evangelina Teresa, Campos, María Josefina, Di Sibio, Antonio","Diaeta; 33(152); 12-16","Diaeta","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73372015000300003&lang=pt" 
"S1852-73372015000300004-arg","Rol del Comité de Ética en Investigación en Proyectos de Nutrición","Fridman, Diego Hernán","Diaeta; 33(152); 17-21","Diaeta","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73372015000300004&lang=pt" 
"S1852-73372015000300002-arg","Formulación de mermeladas dietéticas de arándano (Vaccinium Corymbosum L.) y mango (Mangífera Indica L.)","Olivares La Madrid, Ana Paula, Valdiviezo, Ana Sofía, Uriburu, María Laura, Ramón, Adriana Noemí","Diaeta; 33(152); 07-11","Diaeta","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73372015000300002&lang=pt" 
"S1852-73372015000300006-arg","Actividades científicas 2015","Freijo, Soledad, Patané, Julieta, Ampuero, Luciana, Nigro, Melisa","Diaeta; 33(152); 29-32","Diaeta","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73372015000300006&lang=pt" 
"S1852-73372015000300001-arg","","Stambullian, Marcela","Diaeta; 33(152); 01-01","Diaeta","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73372015000300001&lang=pt" 
"S1852-73372015000300005-arg","Cuidado nutricional durante el embarazo: guía visual para la consejería en nutrición","López, Laura Beatriz, Barretto, Luciana, Mackinnon, María José, Poy, Mabel Susana, Terraza, Raúl Aníbal, Wiedemann, Adriana, Zanini, Anabella, Concilio, Celeste, Aimar, María Andrea","Diaeta; 33(152); 21-22","Diaeta","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-73372015000300005&lang=pt" 
"S1853-35232015000400006-arg","Apuntes sobre el rol del audiovisual en una genealogía materialista de la representación","Mazás, Fernando","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos; (54); 63-77","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-35232015000400006&lang=pt" 
"S1853-35232015000400011-arg","Los blogs de moda como creadores de modelos estéticos","Ceccato, Daniela","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos; (54); 149-163","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-35232015000400011&lang=pt" 
"S1853-35232015000400002-arg","Adolescentes y redes sociales online: El photo sharing como motor de la sociabilidad","Basile, Diego, Linne, Joaquín","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos; (54); 17-27","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-35232015000400002&lang=pt" 
"S1853-35232015000400005-arg","El funcionamiento indicial de la imagen en el nuevo cine documental latinoamericano","Steinberg, Lorena","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos; (54); 51-61","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-35232015000400005&lang=pt" 
"S1853-35232015000400013-arg","El color en la imagen: una relación del pasado - presente y futuro","Negreira, Eugenia Verónica","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos; (54); 177-194","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-35232015000400013&lang=pt" 
"S1853-35232015000400009-arg","El Fileteado Porteño: motivos decorativos en el margen de la comunicación publicitaria","Bavoleo, Mariana","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos; (54); 117-135","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-35232015000400009&lang=pt" 
"S1853-35232015000400004-arg","Una apertura de Pina: Algunas reflexiones en torno al documental de Wim Wenders","Zuleta, Virginia E","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos; (54); 39-49","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-35232015000400004&lang=pt" 
"S1853-35232015000400012-arg","Imagen digital y sitios de redes sociales en internet: ¿Más allá de la espectacularización de la vida cotidiana?","Garrido, Natalia","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos; (54); 165-176","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-35232015000400012&lang=pt" 
"S1853-35232015000400010-arg","Una reflexión sobre los aportes de la Epistemología Feminista al campo de los Estudios Comunicacionales","Acevedo, Mariela","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos; (54); 137-148","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-35232015000400010&lang=pt" 
"S1853-35232015000400015-arg","La &quot;belleza&quot; im-posible visual/digital de las tapas de las revistas: Aportes de la biopolítica para entender su u-topia","Couto, Jorge","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos; (54); 211-225","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-35232015000400015&lang=pt" 
"S1853-35232015000400007-arg","Las fotos sacadas de la ESMA por Victor Basterra en el Museo de Arte y Memoria de La Plata: el lugar de la imagen en los trabajos de la memoria de la última dictadura militar argentina: Un estudio de caso","Larralde Armas, Florencia","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos; (54); 79-102","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-35232015000400007&lang=pt" 
"S1853-35232015000400014-arg","Cuerpos publicitarios: cuerpos de diseño: Las imágenes del cuerpo en el discurso publicitario de la televisión. Un análisis discursivo","Zaretti, Ayelén","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos; (54); 195-209","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-35232015000400014&lang=pt" 
"S1853-35232015000400001-arg","Prólogo","Couto, Jorge","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos; (54); 11-16","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-35232015000400001&lang=pt" 
"S1853-35232015000400008-arg","La música y la imagen: Anotaciones a partir de El Artista","Frère Affanni, Tomás","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos; (54); 103-115","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-35232015000400008&lang=pt" 
"S1853-35232015000400003-arg","El Photoshop en guerra: algo más que un retoque cosmético","Bórquez, María José","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos; (54); 29-37","Cuadernos del Centro de Estudios en Diseño y Comunicación. Ensayos","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-35232015000400003&lang=pt" 
"S0004-48222015000300002-arg","Retrogradación de granulitas miloníticas y formación de filonitas en la megacizalla de Azul, Tandilia","Frisicale, María C, Angeletti, Melisa, Dimieri, Luis V, Martínez, Juan C, Dristas, Jorge A","Revista de la Asociación Geológica Argentina; 72(3); 314-325","Revista de la Asociación Geológica Argentina","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0004-48222015000300002&lang=pt" 
"S0004-48222015000300009-arg","Procesos metamórficos y metasomáticos en el skarn Loma Marcelo, basamento Neoproterozoico de las sierras Australes de la provincia de Buenos Aires","Ballivián Justiniano, Carlos A, Lanfranchini, Mabel E, Recio Hernández, Clemente, de Barrio, Raúl E","Revista de la Asociación Geológica Argentina; 72(3); 404-418","Revista de la Asociación Geológica Argentina","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0004-48222015000300009&lang=pt" 
"S0004-48222015000300010-arg","Caracterización geoquímica del magmatismo de arco Devónico y Carbonífero-Pérmico en el noroeste de Patagonia, Argentina","","Revista de la Asociación Geológica Argentina; 72(3); 419-432","Revista de la Asociación Geológica Argentina","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0004-48222015000300010&lang=pt" 
"S0004-48222015000300007-arg","Minerales asbestiformes en vermiculitas del sector centro-occidental de la provincia de Córdoba","Lescano, Leticia, Marfil, Silvina, Sfragulla, Jorge, Bonalumi, Aldo, Maiza, Pedro","Revista de la Asociación Geológica Argentina; 72(3); 378-384","Revista de la Asociación Geológica Argentina","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0004-48222015000300007&lang=pt" 
"S0004-48222015000300005-arg","Geocronología, paleoambientes y paleosuelos holocenos en las barrancas del arroyo Iglesia, provincia de San Juan (30° 20’ S Y 69° 11´ O)","Suvires, Graciela M","Revista de la Asociación Geológica Argentina; 72(3); 345-354","Revista de la Asociación Geológica Argentina","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0004-48222015000300005&lang=pt" 
"S0004-48222015000300003-arg","Análisis mineralógico de las magnetitas hidrotermales del pórfiro DE CU-(MO) San Pedro, provincia de Mendoza","Gómez, Anabel L. R, Rubinstein, Nora A, Geuna, Silvana E","Revista de la Asociación Geológica Argentina; 72(3); 326-331","Revista de la Asociación Geológica Argentina","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0004-48222015000300003&lang=pt" 
"S0004-48222015000300012-arg","Gerardo E. Bossi (1939−2015)","Georgieff, Sergio M","Revista de la Asociación Geológica Argentina; 72(3); 438-443","Revista de la Asociación Geológica Argentina","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0004-48222015000300012&lang=pt" 
"S0004-48222015000300006-arg","Tracción de losa en el margen boreal del océano paleotetis y deformación en el interior de Gondwana (incluyendo el cordón plegado de Ventana)","Vizán, Haroldo, Prezzi, Claudia, Japas, María S, Van Zele, María A, Geuna, Silvana E, Renda, Emiliano M","Revista de la Asociación Geológica Argentina; 72(3); 355-377","Revista de la Asociación Geológica Argentina","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0004-48222015000300006&lang=pt" 
"S0004-48222015000300008-arg","Genesis of dioctahedral K- and Na-bearing micas at the strongly altered late proterozoic unconformity of the Tandilia belt, central-eastern Argentina","Martínez, Juan C, Massonne, Hans J, Dristas, Jorge A, Frisicale, María C","Revista de la Asociación Geológica Argentina; 72(3); 385-403","Revista de la Asociación Geológica Argentina","Inglês","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0004-48222015000300008&lang=pt" 
"S0004-48222015000300001-arg","Geometría y cinemática de las estructuras tectónicas en el extremo septentrional de la faja corrida y plegada del Agrio, Cuenca Neuquina","Lebinson, Fernando, Turienzo, Martín, Sánchez, Natalia, Araujo, Vanesa, Dimieri, Luis V","Revista de la Asociación Geológica Argentina; 72(3); 299-313","Revista de la Asociación Geológica Argentina","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0004-48222015000300001&lang=pt" 
"S0004-48222015000300011-arg","Presencia de Indio en sistemas epitermales polimetálicos de Patagonia","Jovic, Sebastián, López, Luciano, Guido, Diego, Redigonda, Juan, Páez, Gerardo, Ruiz, Remigio, Permuy Vidal, Conrado","Revista de la Asociación Geológica Argentina; 72(3); 433-437","Revista de la Asociación Geológica Argentina","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0004-48222015000300011&lang=pt" 
"S0004-48222015000300004-arg","Análisis fitolíticos de la formación San Salvador (plioceno−pleistoceno inferior) en la cuenca del río Uruguay, Entre Ríos, Argentina","Patterer, Noelia I","Revista de la Asociación Geológica Argentina; 72(3); 332-344","Revista de la Asociación Geológica Argentina","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S0004-48222015000300004&lang=pt" 
"S1850-11682015000300006-arg","Simulación de coextrusión de caucho por elementos finitos para el diseño de matrices en la indestria del neumático","Toscano, B, Arechaga, T","Anales (Asociación Física Argentina); 26(3); 135-138","Anales (Asociación Física Argentina)","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-11682015000300006&lang=pt" 
"S1850-11682015000300005-arg","Corrosión de un acero inoxidable austenítico en biodiesel","Roman, A. S, Mendez, C. M, Ares, A. E","Anales (Asociación Física Argentina); 26(3); 128-134","Anales (Asociación Física Argentina)","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-11682015000300005&lang=pt" 
"S1850-11682015000300004-arg","Influencia del tiempo de inmersión en bioetanol sobre la resistencia a la corrosión de aleaciones Al-Si","Kramer, G. R, Mendez, C. M, Ares, A. E","Anales (Asociación Física Argentina); 26(3); 124-127","Anales (Asociación Física Argentina)","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-11682015000300004&lang=pt" 
