"S0100-736X2011000800001-scl","Infecção por leptospiras em ovinos e caracterização da resposta inflamatória renal","Carvalho, Sônia Maria de, Gonçalves, Larissa Maria Feitosa, Macedo, Nicodemos Alves de, Goto, Hiro, Silva, Silvana Maria Medeiros de Sousa, Mineiro, Ana Lys Bezerra Barradas, Kanashiro, Edite Hatsumi Yamashiro, Costa, Francisco Assis Lima","Pesquisa Veterinária Brasileira; 31(8); 637-642","Pesquisa Veterinária Brasileira","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2011000800001&lang=pt" 
"S0100-736X2011000800004-scl","Effects of zearalenone in prepubertal gilts","Teixeira, Letícia C., Montiani-Ferreira, Fabiano, Locatelli-Dittrich, Rosângela, Santin, Elizabeth, Alberton, Geraldo C.","Pesquisa Veterinária Brasileira; 31(8); 656-662","Pesquisa Veterinária Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2011000800004&lang=pt" 
"S0100-736X2011000800007-scl","Perfil de resistência a antimicrobianos de Staphylococcus spp. isolados de frangos de corte e poedeiras comerciais no estado de Pernambuco","Barros, Mércia R., Costa, Mateus M. da, França, Chirles A. de, Saukas, Tomoe N., Silva, Leonildo B.G. da, Silva, Vanessa Anny S., Cavalcante, Raíssa V., Mota, Rinaldo A.","Pesquisa Veterinária Brasileira; 31(8); 672-676","Pesquisa Veterinária Brasileira","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2011000800007&lang=pt" 
"S1130-14732011000400001-esp","Manejo y tratamiento microquirúrgico de las dilataciones infundibulares de la arteria comunicante posterior: Serie de nueve casos y revisión de la literatura","González-Darder, J. M., Verdú-López, F., Quilis-Quesada, V.","Neurocirugía; 22(4); 301-309","Neurocirugía","Espanhol","2011","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-14732011000400001&lang=pt" 
"S1413-24782011000200013-scl","","","Revista Brasileira de Educação; 16(47); 505-508","Revista Brasileira de Educação","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782011000200013&lang=pt" 
"S1413-24782011000200001-scl","","","Revista Brasileira de Educação; 16(47); 285-288","Revista Brasileira de Educação","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782011000200001&lang=pt" 
"S1413-24782011000200004-scl","A volta do papel das crianças no contrato geracional","Qvortrup, Jens","Revista Brasileira de Educação; 16(47); 323-332","Revista Brasileira de Educação","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782011000200004&lang=pt" 
"S1413-24782011000200008-scl","Abordagens na formação de professores: uma reconstrução aproximativa do campo conceitual","Devechi, Catia Piccolo Viero, Trevisan, Amarildo Luiz","Revista Brasileira de Educação; 16(47); 409-426","Revista Brasileira de Educação","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782011000200008&lang=pt" 
"S1413-24782011000200012-scl","","","Revista Brasileira de Educação; 16(47); 493-503","Revista Brasileira de Educação","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782011000200012&lang=pt" 
"S1413-24782011000200011-scl","Por um Plano Nacional de Educação (2011-2020) como política de Estado","Oliveira, Dalila Andrade, Dourado, Luiz Fernandes, Cabral Neto, Antonio, Cury, Carlos Roberto Jamil, Oliveira, João Ferreira de, Pinto, José Marcelino de Rezende, Vieira, Lívia Maria Fraga, Machado, Maria Margarida, Gomes, Nilma Lino","Revista Brasileira de Educação; 16(47); 483-492","Revista Brasileira de Educação","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782011000200011&lang=pt" 
"S0034-72802011000400009-scl","Pupila dilatada fixa (síndrome de Urrets-Zavalia) após ceratoplastia lamelar profunda","Batista, Jefferson Luiz Alves, Grisolia, Ana Beatriz Diniz, Pazos, Henrique Baltar, Nogueira Filho, Pedro Antonio, Gomes, José Álvaro Pereira","Revista Brasileira de Oftalmologia; 70(4); 248-251","Revista Brasileira de Oftalmologia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802011000400009&lang=pt" 
"S0034-72802011000400008-scl","Anoftalmia bilateral como defeito congênito isolado: uma abordagem etiológica e psicossocial","Corso, Diego Davi, Bonamigo, Elcio Luiz, Corso, Mário Alberto, Rodrigues, Eduardo Büchele","Revista Brasileira de Oftalmologia; 70(4); 243-247","Revista Brasileira de Oftalmologia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802011000400008&lang=pt" 
"S0034-72802011000400002-scl","Diagnosis and treatment of hyperfiltering blebs","Cronemberger, Sebastião, Faria, Daniela Silveira de, Reimann, Jamile Moreira, Maestrini, Heloisa Andrade, Calixto, Nassim","Revista Brasileira de Oftalmologia; 70(4); 211-217","Revista Brasileira de Oftalmologia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-72802011000400002&lang=pt" 
